filename	mapp_sample_id	sample_id	sample_type	source_taxon	factor	distant	full
202404241731_EB_QC_00.mzML	EB_QC_00	EB_QC_00	QC	Biscutella laevigata	NA	NA	QC_Biscutella laevigata_NA_NA
202404241731_EB_QC_01.mzML	EB_QC_01	EB_QC_01	QC	Biscutella laevigata	NA	NA	QC_Biscutella laevigata_NA_NA
202404241731_EB_QC_02.mzML	EB_QC_02	EB_QC_02	QC	Biscutella laevigata	NA	NA	QC_Biscutella laevigata_NA_NA
202404241731_EB_QC_03.mzML	EB_QC_03	EB_QC_03	QC	Biscutella laevigata	NA	NA	QC_Biscutella laevigata_NA_NA
202404241731_EB_QC_04.mzML	EB_QC_04	EB_QC_04	QC	Biscutella laevigata	NA	NA	QC_Biscutella laevigata_NA_NA
202404241731_EB_QC_with_worm_00.mzML	EB_QC_with_worm_00	EB_QC_with_worm_00	QC	"Biscutella laevigata, Plutella xylostella"	NA	NA	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"
202404241731_EB_QC_with_worm_01.mzML	EB_QC_with_worm_01	EB_QC_with_worm_01	QC	"Biscutella laevigata, Plutella xylostella"	NA	NA	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"
202404241731_EB_QC_with_worm_02.mzML	EB_QC_with_worm_02	EB_QC_with_worm_02	QC	"Biscutella laevigata, Plutella xylostella"	NA	NA	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"
202404241731_EB_QC_with_worm_03.mzML	EB_QC_with_worm_03	EB_QC_with_worm_03	QC	"Biscutella laevigata, Plutella xylostella"	NA	NA	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"
202404241731_EB_QC_with_worm_04.mzML	EB_QC_with_worm_04	EB_QC_with_worm_04	QC	"Biscutella laevigata, Plutella xylostella"	NA	NA	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"
202404241731_EB_dbgi_mapp_blk_pre01.mzML	EB_dbgi_mapp_blk_pre01	EB_dbgi_mapp_blk_pre01	BK	NA	NA	NA	BK_Biscutella laevigata_NA_NA
202404241731_EB_dbgi_mapp_blk_pre02.mzML	EB_dbgi_mapp_blk_pre02	EB_dbgi_mapp_blk_pre02	BK	NA	NA	NA	BK_Biscutella laevigata_NA_NA
202404241731_EB_dbgi_mapp_blk_pre03.mzML	EB_dbgi_mapp_blk_pre03	EB_dbgi_mapp_blk_pre03	BK	NA	NA	NA	BK_Biscutella laevigata_NA_NA
202404241731_EB_dbgi_mapp_blk_pre04.mzML	EB_dbgi_mapp_blk_pre04	EB_dbgi_mapp_blk_pre04	BK	NA	NA	NA	BK_Biscutella laevigata_NA_NA
202404241731_EB_tp24_000006_01_01.mzML	EB_tp24_000006_01_01	EB_tp24_000006_01_01	sample	Plutella xylostella	treatment	NA	sample_Plutella xylostella_treatment_NA
202404241731_EB_tp24_000011_01_01.mzML	EB_tp24_000011_01_01	EB_tp24_000011_01_01	sample	Biscutella laevigata	treatment	no	sample_Biscutella laevigata_treatment_no
202404241731_EB_tp24_000012_01_01.mzML	EB_tp24_000012_01_01	EB_tp24_000012_01_01	sample	Biscutella laevigata	treatment	yes	sample_Biscutella laevigata_treatment_yes
202404241731_EB_tp24_000013_01_01.mzML	EB_tp24_000013_01_01	EB_tp24_000013_01_01	sample	Biscutella laevigata	treatment	no	sample_Biscutella laevigata_treatment_no
202404241731_EB_tp24_000014_01_01.mzML	EB_tp24_000014_01_01	EB_tp24_000014_01_01	sample	Biscutella laevigata	treatment	no	sample_Biscutella laevigata_treatment_no
202404241731_EB_tp24_000015_01_01.mzML	EB_tp24_000015_01_01	EB_tp24_000015_01_01	sample	Biscutella laevigata	treatment	yes	sample_Biscutella laevigata_treatment_yes
202404241731_EB_tp24_000016_01_01.mzML	EB_tp24_000016_01_01	EB_tp24_000016_01_01	sample	Plutella xylostella	control	NA	sample_Plutella xylostella_control_NA
202404241731_EB_tp24_000017_01_01.mzML	EB_tp24_000017_01_01	EB_tp24_000017_01_01	sample	Biscutella laevigata	control	NA	sample_Biscutella laevigata_control_NA
202404241731_EB_tp24_000018_01_01.mzML	EB_tp24_000018_01_01	EB_tp24_000018_01_01	sample	Biscutella laevigata	control	NA	sample_Biscutella laevigata_control_NA
202404241731_EB_tp24_000019_01_01.mzML	EB_tp24_000019_01_01	EB_tp24_000019_01_01	sample	Biscutella laevigata	control	NA	sample_Biscutella laevigata_control_NA
202404241731_EB_tp24_000020_01_01.mzML	EB_tp24_000020_01_01	EB_tp24_000020_01_01	sample	Biscutella laevigata	treatment	yes	sample_Biscutella laevigata_treatment_yes
