#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
2138	spectra_filtered.mgf	*..*		:1488	50728	-1	0	220.118	1	0.999355	0	0	242.1	489200.0	PANTOTHENIC ACID M+H	MONA	temp/spectra_filtered.mgf2138	-1	MONA.mgf	0.415926				11	0	9.15527e-05	220.118	0	CCMSLIB00006679758
4212	spectra_filtered.mgf	*..*		:639	49879	-1	0	175.119	1	0.99912	0	0	313.8	4012000.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf4212	-1	MONA.mgf	0.609937				8	0	0.000106812	175.119	0	CCMSLIB00006678909
1469	spectra_filtered.mgf	*..*		:210	1215	-1	0	136.076	1	0.998791	0	0	12197500.0	2800000.0	Spectral Match to DL-Octopamine from NIST14 M+H-H2O	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1469	-1	GNPS-NIST14-MATCHES.mgf	1.45775				6	0	0.000198364	136.076	0	CCMSLIB00003135701
4364	spectra_filtered.mgf	*..*		:639	49879	-1	0	175.119	1	0.998704	0	0	313.8	3884000.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf4364	-1	MONA.mgf	0.609937				8	0	0.000106812	175.119	0	CCMSLIB00006678909
2645	spectra_filtered.mgf	*..*		:639	49879	-1	0	175.119	1	0.998507	0	0	313.8	22140000.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf2645	-1	MONA.mgf	66.8316				8	0	0.0117035	175.107	0	CCMSLIB00006678909
3472	spectra_filtered.mgf	*..*		:639	49879	-1	0	175.119	1	0.998507	0	0	313.8	22140000.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf3472	-1	MONA.mgf	0.0				8	0	0.0	175.119	0	CCMSLIB00006678909
3862	spectra_filtered.mgf	*..*		:118	3331	-1	0	148.04	1	0.998086	0	0	16374900.0	7459000.0	Glutamic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf3862	-1	GNPS-LIBRARY.mgf	222.326				6	0	0.0329132	148.073	0	CCMSLIB00003740029
2190	spectra_filtered.mgf	*..*		:118	3331	-1	0	148.04	1	0.998086	0	0	16374900.0	7459000.0	Glutamic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf2190	-1	GNPS-LIBRARY.mgf	137.807				6	0	0.020401	148.06	0	CCMSLIB00003740029
492	spectra_filtered.mgf	*..*		:118	3331	-1	0	148.04	1	0.998086	0	0	16374900.0	7459000.0	Glutamic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf492	-1	GNPS-LIBRARY.mgf	56.0712				6	0	0.00830078	148.048	0	CCMSLIB00003740029
1279	spectra_filtered.mgf	*..*		:153	3643	-1	0	165.051	1	0.997812	0	0	2051810.0	10080000.0	Spectral Match to L-Tyrosine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf1279	-1	GNPS-NIST14-MATCHES.mgf	22.4651				6	0	0.00370789	165.055	0	CCMSLIB00003138130
