CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2356	4251	1	0.9509	33.962
3191	4251	1	0.9541	33.974
3282	4251	1	0.9523	33.974
960	4251	1	0.9523	33.974
3560	4251	1	1.0	-0.010
3626	4251	1	0.9541	33.962
4117	4251	1	1.0	-0.021
4232	4251	1	0.9541	33.985
1789	4251	1	1.0	-0.002
2191	4251	1	1.0	-0.019
2356	4232	1	0.9868	-0.023
3191	4232	1	1.0	-0.011
3282	4232	1	0.9896	-0.011
960	4232	1	0.9896	-0.011
3560	4232	1	0.9541	-33.996
3626	4232	1	1.0	-0.023
4117	4232	1	0.9541	-34.006
1789	4232	1	0.9541	-33.988
2191	4232	1	0.9541	-34.004
2356	3626	1	0.9868	-0.000
3191	3626	1	1.0	0.011
3282	3626	1	0.9896	0.012
960	3626	1	0.9896	0.012
3560	3626	1	0.9541	-33.973
3626	4117	1	0.9541	33.983
1789	3626	1	0.9541	-33.965
2191	3626	1	0.9541	-33.981
960	1789	1	0.9523	33.976
1789	2191	1	1.0	0.016
1789	2356	1	0.9509	-33.965
1789	3191	1	0.9541	-33.976
1789	3282	1	0.9523	-33.976
1789	3560	1	1.0	0.008
1789	4117	1	1.0	0.018
2356	3282	1	0.9936	-0.012
3191	3282	1	0.9896	-0.000
3282	3560	1	0.9523	33.984
3282	4117	1	0.9523	33.995
960	3282	1	1.0	0.000
2191	3282	1	0.9523	-33.993
2356	3560	1	0.9509	33.973
3191	3560	1	0.9541	33.984
960	3560	1	0.9523	33.984
3560	4117	1	1.0	0.010
2191	3560	1	1.0	-0.008
960	2191	1	0.9523	33.993
960	2356	1	0.9936	0.012
960	3191	1	0.9896	0.000
960	4117	1	0.9523	33.995
2356	3191	1	0.9868	-0.012
3191	4117	1	0.9541	33.994
2191	3191	1	0.9541	-33.992
2356	4117	1	0.9509	33.983
2191	2356	1	0.9509	-33.981
2191	4117	1	1.0	0.002
2693	3786	2	0.9746	-162.052
1423	3786	2	0.9787	15.996
1827	3786	2	0.9473	15.995
1996	3786	2	0.9465	0.001
1423	1927	2	0.9339	30.010
1827	1927	2	0.9024	30.009
1927	3175	2	0.9166	132.042
2693	3175	2	0.9773	-15.995
2693	3201	2	0.9125	-15.995
2693	4266	2	0.8916	-15.995
528	2693	2	0.9603	30.010
1996	2693	2	0.9514	162.053
3175	4266	2	0.8903	0.000
1827	4266	2	0.9151	162.052
3175	3201	2	0.9053	-0.000
528	3201	2	0.892	14.015
1423	3201	2	0.8892	162.052
1827	3201	2	0.898	162.051
1304	1423	2	0.8929	-308.110
1423	1827	2	0.9497	0.001
1423	1996	2	0.9384	15.995
1423	3175	2	0.9744	162.053
1827	1996	2	0.9723	15.994
1827	3175	2	0.9563	162.052
528	3175	2	0.9554	14.016
1304	3175	2	0.9062	-146.058
