CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
2217	2302	-548.489	0.000	0.7610	0.5649	1
2217	2312	-0.009	0.000	0.8680	0.6410	1
2217	2369	-491.480	0.000	0.7606	0.5418	1
2217	2405	-354.322	0.000	0.7989	0.6065	1
2217	2430	-0.009	0.000	0.8879	0.6765	1
2217	2559	-519.510	0.000	0.8342	0.6765	1
2217	2668	-336.275	0.000	0.8179	0.6065	1
2217	2768	23.956	0.000	0.7359	0.6213	1
2217	2784	-855.606	0.000	0.8193	0.6238	1
2217	2819	-336.276	0.000	0.8073	0.6765	1
2217	2822	-368.340	0.000	0.8272	0.6704	1
2217	2830	-336.276	0.000	0.8430	0.6805	1
2217	2845	-859.638	0.000	0.8117	0.6003	1
2217	2896	-312.276	0.000	0.8152	0.6282	1
2217	2928	-326.290	0.000	0.8325	0.6065	1
2217	2968	-338.291	0.000	0.8330	0.7000	1
2217	3000	-362.291	0.000	0.8185	0.6639	1
2217	3012	-334.260	0.000	0.8506	0.7004	1
2217	3040	-338.291	0.000	0.8465	0.7015	1
2217	3043	-0.008	0.000	0.8838	0.6410	1
2217	3059	37.983	0.000	0.7581	0.5798	1
2217	3090	-308.243	0.000	0.8251	0.6395	1
2217	3092	-620.476	0.000	0.8609	0.6765	1
2217	3107	38.011	0.000	0.8057	0.6314	1
2217	3138	-0.009	0.000	0.8350	0.5780	1
2217	3179	-368.337	0.000	0.8170	0.6395	1
2217	3182	-334.260	0.000	0.8542	0.7402	1
2217	3260	-642.474	0.000	0.7725	0.5770	1
2217	3303	-0.009	0.000	0.8787	0.6661	1
2217	3344	-340.306	0.000	0.8380	0.7004	1
2217	3375	-644.474	0.000	0.8178	0.6025	1
2217	3410	-312.275	0.000	0.8361	0.7377	1
2217	3430	-568.459	0.000	0.8079	0.6040	1
2217	3501	-598.502	0.000	0.8659	0.7622	1
2217	3513	-859.637	0.000	0.7919	0.5875	1
2217	3535	-517.495	0.000	0.7810	0.5780	1
2217	3536	-851.576	0.000	0.8220	0.6488	1
2217	3587	-851.574	0.000	0.7964	0.6238	1
2217	3597	-863.668	0.000	0.8052	0.6488	1
2217	3603	-600.520	0.000	0.8476	0.7015	1
2217	3638	-256.213	0.000	0.7595	0.5110	1
2217	3645	-600.519	0.000	0.8376	0.7015	1
2217	3729	-598.504	0.000	0.8164	0.6389	1
2217	3739	-519.511	0.000	0.8286	0.7377	1
2217	3781	-833.620	0.000	0.8210	0.5960	1
2217	3799	-576.520	0.000	0.7820	0.5988	1
2217	3821	-807.603	0.000	0.8093	0.6205	1
2217	3938	-517.495	0.000	0.7727	0.5697	1
2217	3949	-520.387	0.000	0.8323	0.6395	1
2217	4007	-642.460	0.000	0.8578	0.7169	1
2217	4008	-326.285	0.000	0.7422	0.5846	1
2217	4070	-547.542	0.000	0.8284	0.7377	1
2217	4071	-602.535	0.000	0.8021	0.5391	1
2217	4105	37.972	0.000	0.8441	0.5956	1
2217	4110	-522.401	0.000	0.8316	0.6477	1
2217	4172	0.000	0.000	0.9217	0.7012	1
2217	4187	-256.213	0.000	0.7299	0.5422	1
2217	4205	-574.505	0.000	0.8426	0.6765	1
2217	4213	-594.474	0.000	0.8520	0.6765	1
2217	4242	-306.229	0.000	0.7693	0.5873	1
2217	4260	-519.510	0.000	0.8460	0.7377	1
2217	4319	-519.510	0.000	0.8342	0.6765	1
2217	4358	-599.507	0.000	0.8071	0.6378	1
2217	4371	-547.542	0.000	0.8369	0.7377	1
2217	4376	-598.504	0.000	0.8351	0.6765	1
2217	4401	37.983	0.000	0.8441	0.5956	1
2219	2238	225.157	0.000	0.7296	0.6244	1
2219	2995	-222.166	0.000	0.7028	0.5954	1
2219	3855	207.146	0.000	0.7016	0.5986	1
2220	2272	0.001	0.000	0.7121	0.5832	1
2220	2426	17.002	0.000	0.7270	0.6111	1
2221	3009	29.974	0.000	0.7561	0.6559	1
2221	3170	25.980	0.000	0.7010	0.4759	1
2221	3420	47.985	0.000	0.7733	0.8037	1
2221	3953	25.943	0.000	0.7496	0.5824	1
2222	2315	8.025	0.000	0.8417	0.5308	1
2222	2328	23.999	0.000	0.8965	0.6579	1
2222	2438	-2.016	0.000	0.8294	0.5322	1
2222	2830	21.981	0.000	0.7464	0.5401	1
2222	2837	246.256	0.000	0.8688	0.5487	1
2222	3004	246.257	0.000	0.8688	0.5487	1
2222	3306	-21.986	0.000	0.8449	0.5618	1
2222	3436	284.212	0.000	0.8266	0.5456	1
2222	3704	284.212	0.000	0.7999	0.4771	1
2222	3841	26.015	0.000	0.8522	0.5505	1
2222	4172	358.257	0.000	0.7052	0.5848	1
2222	4373	52.031	0.000	0.7951	0.4638	1
2222	4435	284.212	0.000	0.8166	0.5058	1
2224	2359	66.083	0.000	0.8129	0.5731	1
2224	2503	40.068	0.000	0.8483	0.6903	1
2224	3412	-15.995	0.000	0.8716	0.6877	1
2224	3496	58.079	0.000	0.9452	0.7910	1
2224	3996	84.094	0.000	0.8604	0.8172	1
2224	4116	2.016	0.000	0.7418	0.3843	1
2225	3277	443.108	0.000	0.7513	0.4279	1
2225	4171	738.199	0.000	0.7268	0.4439	1
2228	2408	262.230	0.000	0.7050	0.4558	1
2228	2686	2.017	0.000	0.7461	0.5646	1
2228	2702	-4.028	0.000	0.7751	0.5462	1
2228	2746	264.245	0.000	0.7090	0.4166	1
2228	3025	-2.015	0.000	0.7804	0.5768	1
2228	3099	4.032	0.000	0.7987	0.6463	1
2228	3405	0.001	0.000	0.7463	0.5601	1
2228	4067	111.057	0.000	0.7353	0.5039	1
2228	4276	-4.027	0.000	0.7384	0.5222	1
2228	4327	0.002	0.000	0.8011	0.5931	1
2228	4356	78.995	0.000	0.7888	0.5756	1
2229	3081	30.011	0.000	0.7519	0.6062	1
2230	3311	-17.991	0.000	0.7263	0.5875	1
2230	4245	-17.993	0.000	0.7591	0.6126	1
2232	2248	-2.052	0.000	0.7453	0.6123	1
2232	2308	101.085	0.000	0.7556	0.7297	1
2232	2336	87.105	0.000	0.7135	0.6741	1
2232	2424	117.079	0.000	0.7702	0.6074	1
2232	2427	87.105	0.000	0.7008	0.7065	1
2232	2478	131.095	0.000	0.7424	0.6227	1
2232	2530	101.084	0.000	0.7647	0.6872	1
2232	2814	25.020	0.000	0.7424	0.4815	1
2232	2832	140.120	0.000	0.7076	0.5095	1
2232	2836	101.084	0.000	0.7617	0.7260	1
2232	2843	226.188	0.000	0.7557	0.5323	1
2232	3016	103.100	0.000	0.7681	0.7575	1
2232	3116	87.105	0.000	0.7508	0.6876	1
2232	3192	29.063	0.000	0.8127	0.5950	1
2232	3210	119.095	0.000	0.7435	0.6522	1
2232	3293	145.147	0.000	0.7932	0.6515	1
2232	3317	-6.047	0.000	0.7637	0.5254	1
2232	3447	57.094	0.000	0.7982	0.6048	1
2232	3511	103.100	0.000	0.7361	0.6886	1
2232	3611	87.105	0.000	0.7718	0.7239	1
2232	3705	87.105	0.000	0.7634	0.6639	1
2232	3737	103.100	0.000	0.7282	0.6809	1
2232	3870	-11.005	0.000	0.8227	0.7131	1
2232	3933	87.105	0.000	0.7676	0.6641	1
2232	4026	27.048	0.000	0.7087	0.4926	1
2232	4028	73.053	0.000	0.7777	0.6607	1
2232	4430	87.104	0.000	0.7159	0.6506	1
2234	2350	-28.031	0.000	0.8742	0.7411	1
2234	2847	-14.016	0.000	0.9197	0.8011	1
2234	2935	-4.031	0.000	0.7638	0.5865	1
2234	3256	-2.016	0.000	0.7536	0.6587	1
2234	3304	-30.010	0.000	0.7094	0.7195	1
2234	3649	-16.031	0.000	0.8037	0.6779	1
2234	4303	-4.046	0.000	0.7418	0.6255	1
2235	2772	-24.000	0.000	0.7788	0.6631	1
2235	2835	-102.068	0.000	0.7204	0.5376	1
2235	3206	0.001	0.000	0.8570	0.7048	1
2236	2644	100.016	0.000	0.7251	0.4445	1
2236	2950	67.063	0.000	0.7606	0.5365	1
2237	2291	-397.245	0.000	0.7061	0.5617	1
2237	2308	90.032	0.000	0.7225	0.6398	1
2237	2336	76.053	0.000	0.7529	0.6414	1
2237	2373	-188.191	0.000	0.7267	0.6309	1
2237	2377	-441.308	0.000	0.7512	0.6776	1
2237	2406	75.033	0.000	0.8083	0.5590	1
2237	2530	90.032	0.000	0.7162	0.6558	1
2237	2536	-21.999	0.000	0.7311	0.6781	1
2237	2633	75.021	0.000	0.8096	0.5506	1
