G1	G2	G3	G4	G5	G6	GNPSLinkout_Cluster	GNPSLinkout_Network	INCHI	LibraryID	MQScore	RTConsensus	RTMean	RTStdErr	Smiles	SpectrumID	SumPeakIntensity	UniqueFileSourcesCount	cluster index	componentindex	number of spectra	parent mass	precursor charge	precursor mass	sum(precursor intensity)
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"1.0","main.cluster index_upperinput":"1.0"}	This Node is a Singleton	N/A	N/A	N/A	11.2479	11.2479	0	N/A	N/A	93503928.44804378	25	1	-1	25	820.5929	1	820.5929	93503928.44804378
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"2.0","main.cluster index_upperinput":"2.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=430&task=940dc415fa834273bacecbbd3a188a6b&show=true	N/A	N/A	N/A	4.0014	4.0014	0	N/A	N/A	5928269.26178506	19	2	430	19	610.2022	1	610.2022	5928269.26178506
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"3.0","main.cluster index_upperinput":"3.0"}	This Node is a Singleton	N/A	N/A	N/A	2.3627	2.3627	0	N/A	N/A	9339435.122124804	25	3	-1	25	167.0703	1	167.0703	9339435.122124804
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"4.0","main.cluster index_upperinput":"4.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=11&task=940dc415fa834273bacecbbd3a188a6b&show=true	N/A	ReSpect:PT110640 1-Isothiocyanato-8-(methylsulfinyl)-octane|8-Methylsulfinyloctyl isothiocyanate	0.8238530000000001	3.1294	3.1294	0	c	CCMSLIB00000221591	7353336.411682536	25	4	11	25	234.0979	1	234.0979	7353336.411682536
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"5.0","main.cluster index_upperinput":"5.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=16&task=940dc415fa834273bacecbbd3a188a6b&show=true	N/A	N/A	N/A	7.6125	7.6125	0	N/A	N/A	8868715.082498293	13	5	16	13	444.3679	1	444.3679	8868715.082498293
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"6.0","main.cluster index_upperinput":"6.0"}	This Node is a Singleton	N/A	N/A	N/A	3.4686	3.4686	0	N/A	N/A	5153392.832776577	24	6	-1	24	626.2811	1	626.2811	5153392.832776577
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"7.0","main.cluster index_upperinput":"7.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=213&task=940dc415fa834273bacecbbd3a188a6b&show=true	N/A	N/A	N/A	2.1774	2.1774	0	N/A	N/A	172806076.01093185	21	7	213	21	207.0585	1	207.0585	172806076.01093185
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"8.0","main.cluster index_upperinput":"8.0"}	This Node is a Singleton	N/A	N/A	N/A	2.0356	2.0356	0	N/A	N/A	7714413.022474187	21	8	-1	21	227.0790	1	227.0790	7714413.022474187
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"9.0","main.cluster index_upperinput":"9.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=92&task=940dc415fa834273bacecbbd3a188a6b&show=true	N/A	N/A	N/A	2.4644	2.4644	0	N/A	N/A	3647673.1257952405	20	9	92	20	268.1037	1	268.1037	3647673.1257952405
0.0	0.0	0.0	0.0	0.0	0.0	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?task=940dc415fa834273bacecbbd3a188a6b&view=view_all_clusters_withID&show=true#{"main.cluster index_lowerinput":"10.0","main.cluster index_upperinput":"10.0"}	https://gnps.ucsd.edu/ProteoSAFe/result.jsp?view=network_displayer&componentindex=37&task=940dc415fa834273bacecbbd3a188a6b&show=true	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	Spectral Match to Hypoxanthine from NIST14	0.965276	1.1560	1.1560	0	C1=NC2=C(N1)C(=O)NC=N2	CCMSLIB00003138239	68546396.79541549	25	10	37	25	137.0458	1	137.0458	68546396.79541549
