CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2391	2596	1	0.8337	130.026
2583	2767	1	0.8691	176.033
2596	2840	1	0.8339	211.070
113	1107	1	0.8274	144.042
1458	2767	1	0.8549	341.096
1458	2391	1	0.8262	0.000
113	2641	1	0.8798	161.068
2641	2767	1	0.9	194.043
127	2767	1	0.82	194.043
2583	2641	1	0.9007	-18.010
101	1107	1	0.8529	116.010
1458	2840	1	0.85	341.096
127	2583	1	0.8074	18.010
1458	2641	1	0.9079	147.053
1458	2583	1	0.8587	165.063
113	1458	1	0.8717	14.015
101	2583	1	0.8241	151.047
2115	2391	1	0.7942	-130.026
101	2641	1	0.8817	133.037
1107	2391	1	0.7917	-130.026
1107	2583	1	0.9084	35.037
2596	2767	1	0.8446	211.069
2391	2840	1	0.7639	341.096
1107	2641	1	0.9067	17.026
2596	2641	1	0.9176	17.026
101	2840	1	0.8291	327.080
101	2391	1	0.8389	-14.016
1107	1458	1	0.8894	-130.026
113	2840	1	0.8067	355.111
2767	2840	1	0.9305	0.000
101	113	1	0.8514	-28.031
1683	2583	1	0.8444	0.000
127	2391	1	0.8099	-147.053
113	2583	1	0.8189	179.078
1683	2284	1	0.8171	-0.036
101	2596	1	0.8825	116.010
2583	2840	1	0.8528	176.033
113	2391	1	0.8156	14.015
2641	2840	1	0.8856	194.043
101	127	1	0.8422	133.037
113	2767	1	0.8226	355.111
127	2641	1	0.8784	0.000
127	1458	1	0.8734	-147.053
1107	2596	1	0.9147	0.000
1458	2596	1	0.8952	130.026
127	1107	1	0.8559	-17.026
127	2596	1	0.8685	-17.026
113	2596	1	0.8739	144.042
101	2767	1	0.8311	327.080
2391	2641	1	0.8186	147.053
113	127	1	0.8209	161.068
101	1458	1	0.8949	-14.016
1107	2840	1	0.8359	211.070
1107	2767	1	0.8612	211.069
2583	2596	1	0.8675	-35.036
127	2840	1	0.8196	194.043
468	3584	2	0.8548	-162.053
468	2489	2	0.8701	-14.015
1618	4059	2	0.8586	79.956
888	4224	2	0.8992	-368.085
1583	2489	2	0.8947	162.053
468	3216	2	0.98	0.000
248	888	2	0.9139	-28.041
22	1618	2	0.8291	45.057
1618	4224	2	0.8635	-368.095
22	4059	2	0.7899	125.014
4059	4224	2	0.8342	-448.051
1501	1579	2	0.8656	162.061
248	4059	2	0.8507	51.925
888	1735	2	0.9088	45.068
2960	4059	2	0.8586	-45.058
2960	4321	2	0.8676	-14.016
1501	4224	2	0.8854	-493.101
468	1735	2	0.8391	-242.009
22	888	2	0.821	45.048
1579	3584	2	0.8656	-162.053
3584	4321	2	0.862	-14.016
1501	4321	2	0.862	-14.008
1583	3584	2	0.8743	14.016
1579	3216	2	0.9616	0.000
44	98	2	0.8003	162.053
2960	4224	2	0.8718	-493.109
1579	1735	2	0.8542	-242.009
44	4321	2	0.7285	-28.031
888	1618	2	0.8893	0.010
468	2960	2	0.8625	-162.053
2489	3216	2	0.8677	14.016
2960	3584	2	0.9497	0.000
1322	4059	2	0.7823	-78.053
22	248	2	0.8375	73.089
22	4224	2	0.809	-323.037
1735	2960	2	0.9315	79.956
1735	3584	2	0.9348	79.956
1583	2960	2	0.891	14.016
468	1501	2	0.8548	-162.061
888	3584	2	0.8964	125.024
2489	4321	2	0.8349	-162.053
248	4224	2	0.8903	-396.126
1618	1735	2	0.8637	45.058
1579	2489	2	0.8632	-14.015
2678	4321	2	0.7426	125.014
98	3216	2	0.8298	-14.015
1735	4224	2	0.8814	-413.152
98	1579	2	0.8395	-14.016
3584	4059	2	0.851	-45.058
1501	1583	2	0.8743	-14.008
468	1579	2	0.9657	0.000
248	1322	2	0.7639	129.978
1322	1618	2	0.8059	-158.009
888	2960	2	0.9002	125.024
1501	3584	2	1.0	0.008
98	4383	2	0.7293	-162.053
1501	4059	2	0.851	-45.050
44	4383	2	0.839	0.000
98	468	2	0.8347	-14.016
3584	4224	2	0.8854	-493.109
44	1583	2	0.7339	-28.031
1501	1735	2	0.9348	-79.949
888	1501	2	0.8964	125.017
248	1735	2	0.8735	17.027
888	4059	2	0.8491	79.966
1735	4059	2	0.8683	34.898
1583	4321	2	0.9228	-0.000
888	1322	2	0.7814	158.019
248	1618	2	0.8961	-28.031
1583	2678	2	0.7321	-125.015
1579	2960	2	0.8687	-162.053
1501	2960	2	0.9497	0.008
2297	2398	3	0.7179	2.015
2935	3029	4	0.8896	-59.967
310	819	4	0.8583	-87.032
372	383	4	0.8907	-13.998
372	1627	4	0.9328	-1.978
643	3649	4	0.8294	46.005
1627	4303	4	0.9132	1.981
2935	4336	4	0.8677	-75.944
3029	4336	4	0.849	-15.977
310	3029	4	0.8497	15.977
1153	1187	4	0.8335	-46.005
643	1187	4	0.9579	14.016
383	2935	4	0.9285	14.016
372	1036	4	0.8944	0.018
372	4303	4	0.9834	0.003
474	1627	4	0.9009	-1.996
819	4336	4	0.8534	87.032
474	3029	4	0.8791	-59.967
2935	3649	4	0.8562	-12.000
1036	4336	4	0.8501	-75.944
277	4336	4	0.8374	-47.949
277	4303	4	0.9268	27.980
277	445	4	0.8359	-205.096
277	372	4	0.9274	27.977
277	1036	4	0.8838	27.995
383	4303	4	0.8878	14.001
372	474	4	0.911	0.018
1578	3649	4	0.8025	2.016
474	4303	4	0.9079	-0.015
2935	4303	4	0.9448	-0.015
1153	3649	4	0.882	-14.016
372	2031	4	0.8967	0.018
383	1578	4	0.8168	-0.000
310	1036	4	0.8255	75.944
1627	2935	4	0.9492	1.996
474	4336	4	0.8513	-75.944
2031	4303	4	0.8853	-0.015
383	1036	4	0.902	14.016
277	3029	4	0.861	-31.973
1036	1627	4	0.9206	-1.996
1036	4303	4	0.889	-0.015
474	2935	4	0.9425	0.000
277	474	4	0.8957	27.995
372	3029	4	0.8504	-59.949
277	2935	4	0.9193	27.995
3029	4303	4	0.8472	59.952
445	1613	4	0.8925	15.978
310	474	4	0.8383	75.944
643	3806	4	0.956	0.055
372	2935	4	0.9463	0.018
2752	3806	4	0.8542	1.003
277	1613	4	0.8347	-189.118
310	4336	4	0.9259	0.000
1036	2935	4	0.9312	0.000
1036	3029	4	0.855	-59.967
372	3649	4	0.8466	-11.982
383	3649	4	0.8301	2.016
3649	4303	4	0.847	11.985
277	2031	4	0.8535	27.995
474	1036	4	0.9048	0.000
383	474	4	0.8743	14.016
420	1037	7	0.8712	-148.037
92	271	7	0.7035	313.102
1037	3787	7	0.8457	222.056
259	271	7	0.7312	-74.018
1037	2628	7	0.8039	296.075
92	1037	7	0.8734	-74.019
2628	3787	7	0.8745	-74.019
92	2628	7	0.8374	222.056
92	3787	7	0.8531	148.037
420	2481	7	0.7445	72.018
271	4000	7	0.764	-17.027
420	2628	7	0.7703	148.038
259	4000	7	0.778	-91.045
420	3787	7	0.8472	74.019
271	420	7	0.7072	-239.083
92	420	7	0.9156	74.018
4050	4113	8	0.8891	42.047
3220	3887	8	0.8481	-44.026
3220	4050	8	0.8731	-14.016
3887	4113	8	0.7638	72.057
1131	3220	8	0.7983	14.015
2254	4050	8	0.7027	0.000
3887	4050	8	0.7978	30.011
1131	4113	8	0.7756	42.046
2317	3887	8	0.7697	-100.089
2317	4050	8	0.8951	-70.078
2317	4113	8	0.9443	-28.032
