feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
1	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104667635	QUZHZFAQJATMCA-QAZQWDDOSA-N	InChI=1S/C45H74O10/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-40(47)52-36-38(37-53-45-44(51)43(50)42(49)39(35-46)55-45)54-41(48)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h5-8,11-14,17-20,38-39,42-46,49-51H,3-4,9-10,15-16,21-37H2,1-2H3/b7-5-,8-6-,13-11-,14-12-,19-17-,20-18-/t38-,39-,42+,43+,44-,45-/m1/s1	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](CO[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	C45H74O10	pos_1_1proton1ethylamine	774.5281985680001	1,2-Di-O-alpha-linolenoyl-3-O-beta-galactopyranosyl-sn-glycerol	QUZHZFAQJATMCA	Fatty acids	Glycerolipids	Glycosyldiacylglycerols	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	nan	nan	nan	6	3	7.5	1	275	Fatty acids	1.0	Glycerolipids	1.0	Glycosyldiacylglycerols	1.0
1000	2.0	0.41125202	ISDB	http://www.wikidata.org/entity/Q105031474	HOPWAAYGPGJTDW-UTJQPWESSA-N	InChI=1S/C24H44O3/c1-3-5-7-8-9-10-11-12-13-14-15-16-17-18-19-20-24(25)27-23-22-26-21-6-4-2/h9-10,12-13H,3-8,11,14-23H2,1-2H3/b10-9-,13-12-	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCOCCCC	C24H44O3	nan	380.329045268	2-Butoxyethyl linoleate	HOPWAAYGPGJTDW	Fatty acids	Fatty esters	Wax monoesters	http://www.wikidata.org/entity/Q814421	Bidens pilosa	315599.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Coreopsideae']	['Bidens']	['Bidens pilosa']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	7.145008087158203	1	576	Fatty acids	1.0	Fatty esters	1.0	Wax monoesters	1.0
1004	2.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105162226	MEGPURSNXMUDAE-RLMOJYMMSA-N	InChI=1S/C8H13NO2/c1-9-5-2-4-3-6(9)8(11-4)7(5)10/h4-8,10H,2-3H2,1H3/t4-,5-,6+,7-,8-/m0/s1	CN1[C@@H]2C[C@@H]3C[C@H]1[C@H](O)[C@H]2O3	C8H13NO2	pos_1_1proton1methanol	155.094628656	Oscine	MEGPURSNXMUDAE	Alkaloids	Ornithine alkaloids	Tropane alkaloids	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	nan	nan	nan	6	3	7.5	1	36	Alkaloids	0.8333333333333334	Ornithine alkaloids	0.6666666666666666	Tropane alkaloids	0.6666666666666666
1006	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q104996484	FKBRNPNAUOXZMQ-QLCVYAKKSA-N	InChI=1S/C13H13NO6/c15-9-4-1-8(2-5-9)3-6-11(16)14-10(13(19)20)7-12(17)18/h1-6,10,15H,7H2,(H,14,16)(H,17,18)(H,19,20)/b6-3+/t10-/m1/s1	O=C(O)C[C@@H](NC(=O)/C=C/c1ccc(O)cc1)C(=O)O	C13H13NO6	pos_1_1proton1ethylamine	279.074287136	(2R)-2-[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]amino]butanedioic acid	FKBRNPNAUOXZMQ	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	nan	nan	nan	6	3	7.5	1	6	Shikimates and Phenylpropanoids	0.39655172413793105	Small peptides	0.29310344827586204	Aminoacids	0.25862068965517243
1007	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27114873	PSQYTAPXSHCGMF-BQYQJAHWSA-N	InChI=1S/C13H20O/c1-10-6-5-9-13(3,4)12(10)8-7-11(2)14/h7-8H,5-6,9H2,1-4H3/b8-7+	CC(=O)/C=C/C1=C(C)CCCC1(C)C	C13H20O	pos_1_minus1proton1iron	192.15141526	beta-Ionone	PSQYTAPXSHCGMF	Terpenoids	Apocarotenoids	Apocarotenoids (β-)	http://www.wikidata.org/entity/Q14947418	Diplotaxis harra	869410.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Brassiceae']	['Unknown']	['Unknown']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	nan	nan	nan	6	3	7.5	1	171	Amino acids and Peptides	0.3333333333333333	Apocarotenoids	0.3333333333333333	Apocarotenoids (β-)	0.3333333333333333
1008	4.0	0.0	MS1_match	http://www.wikidata.org/entity/Q418123	LDCRTTXIJACKKU-ONEGZZNKSA-N	InChI=1S/C6H8O4/c1-9-5(7)3-4-6(8)10-2/h3-4H,1-2H3/b4-3+	COC(=O)/C=C/C(=O)OC	C6H8O4	pos_2MHCH3CN	144.042258736	Dimethyl fumarate	LDCRTTXIJACKKU	Fatty acids	Fatty esters	Wax monoesters	http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana	309263.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	['Camelineae']	['Arabidopsis']	['Arabidopsis thaliana']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Brassicales']	['Brassicaceae']	nan	nan	nan	6	3	7.5	1	132	Fatty acids	0.6666666666666666	Fatty esters	0.6666666666666666	Wax monoesters	0.6666666666666666
1011	1.0	0.96789	ISDB	http://www.wikidata.org/entity/Q27140281	FNPHNLNTJNMAEE-UHFFFAOYSA-N	InChI=1S/C25H49NO4/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-25(29)30-23(21-24(27)28)22-26(2,3)4/h23H,5-22H2,1-4H3	CCCCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C	C25H49NO4	nan	427.366159048	Acylcarnitine C18:0	FNPHNLNTJNMAEE	Fatty acids	Fatty esters	Fatty acyl carnitines	http://www.wikidata.org/entity/Q130888	Drosophila melanogaster	505714.0	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	['Diptera']	['Drosophilidae']	['Drosophilini']	['Drosophila']	['Drosophila melanogaster']	nan	['Eukaryota']	['Metazoa']	['Arthropoda']	['Insecta']	nan	nan	nan	nan	nan	4	3	9.371560096740723	1	463	Fatty acids	0.5	Fatty esters	0.3125	Fatty acyl carnitines	0.3125
1012	14.0	0.42602038	ISDB	http://www.wikidata.org/entity/Q105186818	NWUMKWIRTFTXBF-NWANDNLSSA-N	InChI=1S/C15H22O/c1-9(2)15-12-6-5-10(3)7-13(12)11(4)8-14(15)16/h5,7-9,12,14-16H,6H2,1-4H3/t12-,14+,15+/m0/s1	CC1=CC[C@H]2C(=C1)C(C)=C[C@@H](O)[C@@H]2C(C)C	C15H22O	nan	218.167065324	(1R,2S,8aR)-4,6-dimethyl-1-propan-2-yl-1,2,8,8a-tetrahydronaphthalen-2-ol	NWUMKWIRTFTXBF	Terpenoids	Sesquiterpenoids	Cadinane sesquiterpenoids	http://www.wikidata.org/entity/Q15562594	Heterotheca inuloides	3898475.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Astereae']	['Unknown']	['Unknown']	nan	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	nan	nan	nan	nan	nan	4	3	7.2040815353393555	1	423	Terpenoids	1.0	Sesquiterpenoids	1.0	Cadinane sesquiterpenoids	1.0
1014	1.0|1.0	0.0|0.0	MS1_match|MS1_match	http://www.wikidata.org/entity/Q27154945|http://www.wikidata.org/entity/Q27154939	IEZWLIJBCDCGEU-UHFFFAOYSA-N|QDZNKMGEHAHOTA-UHFFFAOYSA-N	InChI=1S/C11H20O3S/c1-15-9-7-5-3-2-4-6-8-10(12)11(13)14/h2-9H2,1H3,(H,13,14)|InChI=1S/C9H16O3S/c1-13-7-5-3-2-4-6-8(10)9(11)12/h2-7H2,1H3,(H,11,12)	CSCCCCCCCCC(=O)C(=O)O|CSCCCCCCC(=O)C(=O)O	C11H20O3S|C9H16O3S	pos_1_1proton1ammonium|pos_1_1proton1ethylamine	232.1133155|204.082015372	2-Oxo-10-methylthiodecanoic acid|2-Oxo-8-methylthiooctanoic acid	IEZWLIJBCDCGEU|QDZNKMGEHAHOTA	Fatty acids|Fatty acids	Fatty Acids and Conjugates|Fatty Acids and Conjugates	Oxo fatty acids|Oxo fatty acids	http://www.wikidata.org/entity/Q158695|http://www.wikidata.org/entity/Q158695	Arabidopsis thaliana|Arabidopsis thaliana	309263.0|309263.0	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Brassicales']|['Brassicales']	['Brassicaceae']|['Brassicaceae']	['Camelineae']|['Camelineae']	['Arabidopsis']|['Arabidopsis']	['Arabidopsis thaliana']|['Arabidopsis thaliana']	nan|nan	['Eukaryota']|['Eukaryota']	['Archaeplastida']|['Archaeplastida']	['Streptophyta']|['Streptophyta']	['Magnoliopsida']|['Magnoliopsida']	['Brassicales']|['Brassicales']	['Brassicaceae']|['Brassicaceae']	nan|nan	nan|nan	nan|nan	6|6	3|3	7.5|7.5	1|1	49	Fatty acids	0.4444444444444444	Fatty Acids and Conjugates	0.3333333333333333	Oxo fatty acids	0.2222222222222222
1019	1.0	0.5556974	ISDB	http://www.wikidata.org/entity/Q105324606	XBOFXNQZWQRVGD-UHFFFAOYSA-N	InChI=1S/C22H40N2O/c1-24(25-2)20-15-13-11-9-7-5-3-4-6-8-10-12-14-17-22-18-16-19-23-21-22/h16,18-19,21H,3-15,17,20H2,1-2H3	CON(C)CCCCCCCCCCCCCCCc1cccnc1	C22H40N2O	nan	348.31406389999995	Xestamine E	XBOFXNQZWQRVGD	Alkaloids	Nicotinic acid alkaloids	Pyridine alkaloids	http://www.wikidata.org/entity/Q3454594	Calyx podatypa	298919.0	['Eukaryota']	['Metazoa']	['Porifera']	['Demospongiae']	['Haplosclerida']	['Phloeodictyidae']	['Unknown']	['Calyx']	['Calyx podatypa']	nan	['Eukaryota']	['Metazoa']	nan	nan	nan	nan	nan	nan	nan	2	1	4.722789525985718	1	16	Alkaloids	0.35714285714285715	Ornithine alkaloids	0.25	Polyamines	0.25
