row ID,row m/z,row retention time,202404241731_EB_QC_00.mzML Peak area,202404241731_EB_QC_01.mzML Peak area,202404241731_EB_QC_02.mzML Peak area,202404241731_EB_QC_03.mzML Peak area,202404241731_EB_QC_04.mzML Peak area,202404241731_EB_QC_with_worm_00.mzML Peak area,202404241731_EB_QC_with_worm_01.mzML Peak area,202404241731_EB_QC_with_worm_02.mzML Peak area,202404241731_EB_QC_with_worm_03.mzML Peak area,202404241731_EB_QC_with_worm_04.mzML Peak area,202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,202404241731_EB_tp24_000006_01_01.mzML Peak area,202404241731_EB_tp24_000011_01_01.mzML Peak area,202404241731_EB_tp24_000012_01_01.mzML Peak area,202404241731_EB_tp24_000013_01_01.mzML Peak area,202404241731_EB_tp24_000014_01_01.mzML Peak area,202404241731_EB_tp24_000015_01_01.mzML Peak area,202404241731_EB_tp24_000016_01_01.mzML Peak area,202404241731_EB_tp24_000017_01_01.mzML Peak area,202404241731_EB_tp24_000018_01_01.mzML Peak area,202404241731_EB_tp24_000019_01_01.mzML Peak area,202404241731_EB_tp24_000020_01_01.mzML Peak area,
1,820.5928723155029,11.2479346,5118896.447215775,5140002.75820186,4795666.107959621,4601271.702155026,3210199.397292125,6728660.819947729,5669042.971846548,4169053.2885623253,3517431.8380856,4338822.0835788455,726396.6712769283,485495.786542969,454672.29257690965,425975.5425934492,88640.16555390929,5928443.875616018,6481874.732803828,6105654.775627019,4690509.637271597,3639620.1702635023,720815.3556974997,2327470.214378182,5213625.57547046,3783349.039040154,5142337.198485905,
2,610.2022014417147,4.00141372631579,252546.86137728652,244388.59570560342,225654.7073472078,205676.86981096555,206841.46665628246,250152.76146636237,245093.88419911455,231098.34396855888,206369.7549753629,174902.27506047758,0,0,0,0,0,310918.24928556825,591413.0121471116,1080888.1400240022,55167.123323707645,8388.123836517343,0,536311.8965281696,108160.3940960561,574824.9169654101,419471.8850112946,
3,167.07031158447265,2.3626622559999997,393714.3418172045,405057.6316522452,419309.07835991774,460114.50675900123,544320.5628735545,361283.7553755489,420417.40336081217,437573.2993893367,455018.1360934187,434619.3375641125,5656.37489592852,5669.125412375251,5459.777383058742,4992.758092629592,32747.54435000611,104721.60863512741,1427274.544307537,1766684.8220599834,120649.76827811134,282262.1748231018,27071.261737867608,366163.00601922494,438169.08288407256,291114.7746006101,129370.44540001768,
4,234.09786209116592,3.129413448,342828.13925936836,323874.05001496704,340499.0826947921,343336.9502302894,330202.4142964591,351200.6200601153,325360.5736008553,332329.7218050948,299349.6386668135,289123.74113135226,23855.15183821283,25143.744424562294,26104.608344040906,23688.17392928394,76925.81376775331,379055.77432373713,92354.10656948012,107746.60316401602,216652.11815147926,264631.75925735896,83175.44294365116,160410.55841784054,57016.38095741892,2354575.6733676246,183895.5704659678,
5,444.36786475548377,7.612523923076923,542438.3980004351,640652.7577539404,532032.2456409823,241437.53627675984,225600.056752511,645673.6833265233,631334.44737789,537065.123433214,256335.950751651,224546.59318074767,0,0,0,0,184947.38270417092,1255.382076853286,0,0,0,0,4205395.5252226135,0,0,0,0,
6,626.2810554504395,3.468616791666667,364589.4776678013,345097.931856237,263357.32834327314,234366.35137929427,251242.06583740492,308100.11963288323,306553.875130827,278555.4402668186,281605.87200075435,202437.02310968173,0,1943.3980417631979,1227.2604387703595,1885.9832474933946,23935.725879523634,661787.2207714956,137678.28027239023,148040.1805391022,31012.146810213522,3923.647044433538,6706.451171077094,272139.2554696543,35883.631528814876,84363.95690152718,906960.209435343,
7,207.05849820091612,2.177353742857143,6635641.375641026,6797530.270652795,7052738.294000565,8497936.348102955,8969780.860700743,6215102.080265419,6160851.414974391,7331853.296865959,8911939.507540494,8547172.37249028,0,0,0,0,801.9146572584436,2702279.9781093197,1.4619392016083525E7,5850664.486133853,5.22869411598205E7,5575011.816115893,1229.7441068246476,4413138.99792887,8479902.468665522,3411773.590333168,344394.01774250314,
8,227.0790330797114,2.035563414285714,468435.78627557616,448194.0856302757,421768.24186975183,243198.80032943253,263783.10304505145,487598.3845052312,460857.8089024333,374743.49151296157,281216.8189137073,244875.35351460995,0,0,0,0,236758.6043341658,29884.74206431498,232208.70449315035,170103.58957261927,18604.8808897031,10332.890888951624,2827362.392386774,7397.884071131835,458310.3751008768,14213.732957378803,14563.351216090647,
9,268.103662109375,2.4644460350000004,128075.09163674468,135010.3974137523,134464.2305978546,177878.18792585106,183680.79359704672,113861.10122610233,145103.79605222805,141256.8402067975,177105.1025677029,176933.93680307773,0,0,0,0,0,576636.180952056,156739.04566066427,42720.39294287307,293523.0805897467,54788.458401952186,1708.6317947992418,124003.05997505487,636043.4095511859,84293.29061750742,163848.09728224296,
10,137.0457565307617,1.1560079720000003,5340535.773825017,5116451.4701207485,4590921.664720687,2466987.0442723245,2773015.2414966933,5595625.940106856,5351273.548272547,4692673.53799767,2953240.6309291935,2758013.1764960974,3826.545098992264,4146.4267420469705,2113.1509880178314,2000.836162575468,5343371.770953809,175501.88642151342,2677.640327002446,101666.8456726927,214216.43110670464,59679.466541845446,2.0851309057312828E7,79934.09862509326,21657.927069312354,9366.953051601628,36189.73110361902,
11,230.24777954101563,5.7878142079999995,323601.9208194683,315565.8006611922,302437.42385127745,271723.39308997174,279104.4263425242,331312.32005996496,324727.87726967427,307875.65682154906,269022.5371110133,275949.8758209384,28599.946933355677,25528.951730631452,29533.08447809355,30742.58354213292,3182376.5399136003,137451.07565861807,249041.00977749834,282397.76693662786,96159.49613197354,265005.84085882374,746103.8342267186,175101.68100101303,106026.00202764965,155979.13920125825,51004.12309209336,
12,483.3450052361739,11.154256052631577,447692.3141095355,408247.27223425603,390794.4419019221,446302.67200009065,379247.75099882216,421532.8096443793,409203.7347756462,347352.1098868414,469768.26003890357,419487.0931687518,0,0,0,0,3784.2079852292536,312308.87767675496,79287.16318763835,74174.28504613611,0,23336.489909033517,0,283572.51430289465,44434.004974378,129773.02635866798,49864.13156422843,
13,342.2274188232422,6.101390808,303701.14349769044,352513.3894180911,397913.6665315834,287590.15305332857,331165.0936786516,295701.4158027357,303443.65960903367,332849.9218179454,335442.8521681381,328037.62110652594,460852.6022778345,504184.03176077525,524694.8199401208,498563.2425967425,488124.9875095675,459962.7996685784,479153.85685918963,567727.0459709147,552456.320611153,446324.5841983601,517555.05361439317,518013.3933766409,521181.7223465777,546425.0919843486,582280.1220051819,
14,587.5160395304362,11.3254065,123598.15090534979,121350.74674904467,89604.03731003686,36166.051673145725,21675.287738525793,122796.89732765315,129101.63899909901,63672.59535907859,33807.62231915048,36760.07944031423,0,0,0,0,6001.146453229522,0,0,0,0,0,649569.7206969191,0,0,0,0,
15,568.2384384155273,3.2056298299999995,193513.3434213902,183173.76585003576,180004.71432514576,131802.54590664752,186644.5581530162,158871.46476119457,180520.23336010362,176519.37109179536,131161.61020406627,155560.45284164167,0,0,0,0,4734.536996759691,337418.3789372589,109617.56866980618,135206.55173662252,53077.4422397109,13169.415785141335,0,330411.1932782589,86282.67834639936,279701.66542382527,517403.31340174115,
16,225.14839202945706,2.716571816,503311.6718212725,473914.16359828535,503210.099400283,433542.82733176905,459670.53389961144,494158.828894781,478064.87302993826,530957.4038193772,430292.75808418274,389901.0613476044,7654.894433546978,8215.941488727192,9558.75813014205,6029.771121476079,31921.152402592827,485081.39218559384,230747.93516317234,281874.24378155597,36095.62155954197,33621.547685337115,4851.974305698874,1731771.8502982105,146963.48432959002,1396845.2361465672,823212.1436263325,
17,467.3731314356963,10.651387374999997,664287.1745833735,695764.5688919547,662656.8189686873,769702.3409083055,715903.7694238991,644126.4764570363,556763.4627376656,528606.5953174145,669691.7584622004,662468.7351197957,6593.876087585656,3477.327916040164,2441.8356244483693,4837.147252280701,0,223086.19839574164,78909.27293885706,63507.08652697321,10927.675818149559,35493.42223009238,9283.065096035363,675213.9394593138,57151.34178955141,419755.6199982279,60653.89140193302,
18,252.16272690716912,2.9473441588235296,26288.56463322668,29758.93423323193,28224.825738797015,27071.016308665698,42464.34099383517,20143.620638188084,32052.35121849302,27928.095152746566,34687.438125005705,36919.003400898975,0,0,0,0,38668.98995850575,37914.36545644241,0,14706.554907931535,441127.8263055631,24692.0874257602,4083.002721495534,0,0,0,35487.6625390155,
