"sirius_smiles"	"sirius_sirius_confidenceRank"	"sirius_structurePerIdRank"	"sirius_formulaRank"	"sirius_#adducts"	"sirius_#predictedFPs"	"sirius_ConfidenceScore"	"sirius_CSI:FingerIDScore"	"sirius_ZodiacScore"	"sirius_SiriusScore"	"sirius_molecularFormula"	"sirius_adduct"	"sirius_InChIkey2D"	"sirius_InChI"	"sirius_name"	"sirius_xlogp"	"sirius_pubchemids"	"sirius_links"	"sirius_dbflags"	"sirius_ionMass"	"sirius_retentionTimeInSeconds"	"sirius_id"	"sirius_featureId"	"sirius_chebiid"	"sirius_chebiasciiname"	"sirius_searchscore"	"sirius_entitystar"	"feature_id"
"[B-](C(CC1=CC=CC=C1)NC(=O)C2CCCN2C(=O)C(C)NC(=O)C(C)N)(O)(O)O"	16	1	1	1	2	"0.993046991624205"	-351.744602905005	"0.7281407035175882"	14.7927886460473	"C19H31BN4O6"	"[M + Na]+"	"ANOXGHSCMGFIMG"	"InChI=1S/C19H30BN4O6/c1-12(21)17(25)22-13(2)19(27)24-10-6-9-15(24)18(26)23-16(20(28,29)30)11-14-7-4-3-5-8-14/h3-5,7-8,12-13,15-16,28-30H,6,9-11,21H2,1-2H3,(H,22,25)(H,23,26)/q-1"	"[(1R)-1-[[(2S)-1-[(2S)-2-[[(2S)-2-aminopropanoyl]amino]propanoyl]pyrrolidine-2-carbonyl]amino]-2-phenylethyl]-trihydroxyboranuide"	0.77349937	"5496546"	"PubChem:(5496546);PubChem class - bio and metabolites"	16777218	444.226654052734	145.85592	"2211_mapp_batch_00109_sirius_2374"	2374	NA	NA	NA	NA	2374
"[B-](C(CCCN)NC(=O)C1CCCN1C(=O)C(CC2=CC=CC=C2)NC(=O)C)(O)(O)O"	3249	1	1	1	1	"N/A"	-306.485567741852	"N/A"	13.3167040027185	"C20H33BN4O6"	"[M + Na]+"	"VMTKKSKOYBVAEG"	"InChI=1S/C20H32BN4O6/c1-14(26)23-16(13-15-7-3-2-4-8-15)20(28)25-12-6-9-17(25)19(27)24-18(10-5-11-22)21(29,30)31/h2-4,7-8,16-18,29-31H,5-6,9-13,22H2,1H3,(H,23,26)(H,24,27)/q-1"	"[(1R)-1-[[(2S)-1-[(2R)-2-acetamido-3-phenylpropanoyl]pyrrolidine-2-carbonyl]amino]-4-aminobutyl]-trihydroxyboranuide"	0.794032395	"446933"	"PubChem:(446933);PubChem class - bio and metabolites"	16777218	458.242370605469	168.475014	"642_mapp_batch_00109_sirius_684"	684	NA	NA	NA	NA	684
"[B-](C(CCCSC(=N)N)NC(=O)C1CCCN1C(=O)C(CC2=CC=CC=C2)NC(=O)CC)(O)(O)O"	3202	1	3	1	1	"N/A"	-373.522608560511	"0.12964824120603016"	2.01909553660618	"C22H36BN5O6S"	"[M + K]+"	"JPDBKYWRYKCUDQ"	"InChI=1S/C22H35BN5O6S/c1-2-19(29)26-16(14-15-8-4-3-5-9-15)21(31)28-12-6-10-17(28)20(30)27-18(23(32,33)34)11-7-13-35-22(24)25/h3-5,8-9,16-18,32-34H,2,6-7,10-14H2,1H3,(H3,24,25)(H,26,29)(H,27,30)/q-1"	"Tri166 (Bifunctional Boronate Inhibitor)"	2.34953284	"16740933"	"PubChem:(16740933);PubChem class - bio and metabolites"	16777218	547.214660644531	179.228964	"3404_mapp_batch_00109_sirius_3691"	3691	NA	NA	NA	NA	3691
"[B-](CNC(=O)C1=C(C=CC=C1F)F)(O)(O)O"	3194	1	1	1	2	"N/A"	-395.723451157697	"0.9999999999999999"	50.7740643748216	"C8H10BF2NO4"	"[M + H]+"	"WTOJBPXTZMRWEB"	"InChI=1S/C8H9BF2NO4/c10-5-2-1-3-6(11)7(5)8(13)12-4-9(14,15)16/h1-3,14-16H,4H2,(H,12,13)/q-1"	"[(2,6-Difluorophenyl)carbonylamino]methyl-Trihydroxy-Boron"	1.37477684	"53301828"	"PubChem:(53301828);PubChem class - bio and metabolites"	16777218	233.078155517578	106.686096	"2922_mapp_batch_00109_sirius_3148"	3148	NA	NA	NA	NA	3148
"[B-](CNC(=O)C1=CC=CC=C1F)(O)(O)O"	230	1	1	1	2	"0.7218904967367685"	-399.885870675331	"0.9999999999999999"	130.45253311232	"C8H11BFNO4"	"[M + H]+"	"GSERMWXQEOLTTB"	"InChI=1S/C8H10BFNO4/c10-7-4-2-1-3-6(7)8(12)11-5-9(13,14)15/h1-4,13-15H,5H2,(H,11,12)/q-1"	"[(2-Fluorophenyl)carbonylamino]methyl-Trihydroxy-Boron"	1.20677447	"53301827"	"PubChem:(53301827);PubChem class - bio and metabolites"	16777218	215.087936401367	30.2078028	"2870_mapp_batch_00109_sirius_3091"	3091	NA	NA	NA	NA	3091
"[B-](CNS(=O)(=O)CC1=CC=CC=C1)(O)(O)O"	3210	1	1	1	2	"N/A"	-460.195231524866	"0.9999999999999999"	41.4014370501625	"C8H14BNO5S"	"[M + H]+"	"QZYOTSAVZBJVCP"	"InChI=1S/C8H13BNO5S/c11-9(12,13)7-10-16(14,15)6-8-4-2-1-3-5-8/h1-5,10-13H,6-7H2/q-1"	"null"	0.755259633	"46931228"	"PubChem:(46931228);PubChem class - bio and metabolites"	16777218	247.078536987305	38.3493606	"947_mapp_batch_00109_sirius_1007"	1007	NA	NA	NA	NA	1007
"B(C(C(C)C)NC(=O)C1CCCN1C(=O)C(C(C2=CC=CC=C2)C3=CC=CC=C3)NC(=O)OCC4=CC=CC=C4)(O)O"	3213	1	8	1	3	"N/A"	-579.479490628515	"0.010552763819095479"	-0.681324173079432	"C32H38BN3O6"	"[M + Na]+"	"FJIBGQLZMLFABG"	"InChI=1S/C32H38BN3O6/c1-22(2)29(33(40)41)35-30(37)26-19-12-20-36(26)31(38)28(34-32(39)42-21-23-13-6-3-7-14-23)27(24-15-8-4-9-16-24)25-17-10-5-11-18-25/h3-11,13-18,22,26-29,40-41H,12,19-21H2,1-2H3,(H,34,39)(H,35,37)"	"[1-[[1-[3,3-diphenyl-2-(phenylmethoxycarbonylamino)propanoyl]pyrrolidine-2-carbonyl]amino]-2-methylpropyl]boronic acid"	4.79399824	"444282;10370815;21951667;101936572"	"PubChem:(444282 10370815 21951667 101936572);PubChem class - bio and metabolites"	16777218	593.275329589844	578.3622	"2196_mapp_batch_00109_sirius_2357"	2357	NA	NA	NA	NA	2357
"B(C1=C(C=CC(=C1)C#N)Cl)(O)O"	3054	1	1	1	1	"0.0484002963852532"	-249.678256415003	"0.9999999999999999"	76.8649969062215	"C7H5BClNO2"	"[M + Na]+"	"YNZXUVCJPQNYHR"	"InChI=1S/C7H5BClNO2/c9-7-2-1-5(4-10)3-6(7)8(11)12/h1-3,11-12H"	"3-Borono-4-chlorobenzonitrile"	1.49732625	"2763279"	"PubChem:(2763279);PubChem class - safety and toxic"	67108866	203.003067016602	90.898542	"2961_mapp_batch_00109_sirius_3189"	3189	NA	NA	NA	NA	3189
"B(C1=CC(=C(C=C1)B(O)O)[N+](=O)[O-])(O)O"	3196	1	1	1	2	"N/A"	-352.176957507503	"0.9999999999999999"	64.4695678168785	"C6H7B2NO6"	"[M + H]+"	"GGASDGRERPDUQP"	"InChI=1S/C6H7B2NO6/c10-7(11)4-1-2-5(8(12)13)6(3-4)9(14)15/h1-3,10-13H"	"2-Nitrobenzene-1,4-diboronic acid"	0.326443166	"206655"	"PubChem:(206655);PubChem class - safety and toxic"	67108866	210.060691833496	48.325506	"2079_mapp_batch_00109_sirius_2226"	2226	NA	NA	NA	NA	2226
"B(C1=CC(=CC(=C1)F)OC(C)C)(O)O"	2195	1	1	1	2	"0.15213024528576088"	-280.878883157218	"0.9999999999999999"	87.1790742135182	"C9H12BFO3"	"[M + H]+"	"HJJYROZZJOJOOW"	"InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3"	"3-Fluoro-5-Isopropoxybenzeneboronic Acid"	2.15604806	"44558177;45788923"	"PubChem:(44558177 45788923);PubChem class - safety and toxic"	67108866	198.097358703613	37.8328068	"3210_mapp_batch_00109_sirius_3468"	3468	NA	NA	NA	NA	3468
