"canopus_id"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#all classifications"	"canopus_featureId"	"feature_id"
"1_mapp_batch_00109_sirius_1"	"C45H83NO10"	"[M + Na]+"	"C45H83NO10"	"Fatty acids"	0.959788799285889	"Sphingolipids"	0.835037231445312	"Neutral glycosphingolipids"	0.967541396617889	"Alkyl glycosides"	0.6360884308815	"Alkyl glycosides"	0.6360884308815	"Fatty acyl glycosides"	0.932266235351562	"Fatty Acyls"	0.992440104484558	"Lipids and lipid-like molecules"	0.992077231407166	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monosaccharides; Acetals; Secondary alcohols; Secondary carboxylic acid amides; Fatty acyl glycosides; Carbonyl compounds; Oxanes; Glycosyl compounds; Alkyl glycosides; O-glycosyl compounds; Polyols; Fatty acyl glycosides of mono- and disaccharides; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	1	1
"2_mapp_batch_00109_sirius_2"	"C30H31N3O11"	"[M + H]+"	"C30H31N3O11"	"Amino acids and Peptides"	0.516890704631805	"Coumarins"	0.753740429878235	"Tripeptides"	0.367568343877792	"N-acyl-alpha amino acids and derivatives"	0.992910087108612	"Amino acids and derivatives"	0.991905927658081	"Amino acids, peptides, and analogues"	0.991448283195496	"Carboxylic acids and derivatives"	0.996777236461639	"Organic acids and derivatives"	0.999959468841553	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alkyl aryl ethers; Benzoic acids and derivatives; Benzamides; Hippuric acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Aniline and substituted anilines; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Organic carbonic acids and derivatives; Carboxylic acid amides; Ureas; Carboxylic acid derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Phenol ethers; Benzenoids; Amines; Tertiary alkylarylamines; Tetrahydrofurans; Dialkylarylamines; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities"	2	2
"3_mapp_batch_00109_sirius_3"	"C9H10O3"	"[M + H]+"	"C9H10O3"	"Shikimates and Phenylpropanoids"	0.944962203502655	"Phenylpropanoids (C6-C3)"	0.962057650089264	"Cinnamic acids and derivatives"	0.946885228157044	"Alkyl-phenylketones"	0.994379937648773	"Ketones"	0.9637291431427	"Carbonyl compounds"	0.998823940753937	"Organooxygen compounds"	1	"Organic oxygen compounds"	1	"Organic compounds; Ketones; Acetophenones; Alkyl aryl ethers; Phenols; Anisoles; Methoxyphenols; Ethers; Benzoyl derivatives; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Aryl ketones; Aryl alkyl ketones; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities"	3	3
"4_mapp_batch_00109_sirius_4"	"C10H19NOS2"	"[M + H]+"	"C10H19NOS2"	"Fatty acids"	0.936798095703125	"Fatty acyls"	0.940030455589294	"Fatty alcohols"	0.0239723194390535	"Azepanes"	0.00160522595979273	NA	NA	NA	NA	"Azepanes"	0.00160522595979273	"Organoheterocyclic compounds"	0.00709471851587295	"Organic compounds; Organosulfur compounds; Organonitrogen compounds; Sulfoxides; Isothiocyanates; Sulfinyl compounds; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	4	4
"5_mapp_batch_00109_sirius_5"	"C25H49NO5"	"[M + H]+"	"C25H49NO5"	"Fatty acids"	0.999929070472717	"Fatty esters"	0.999954581260681	"Fatty acyl carnitines"	0.99448424577713	"Acyl carnitines"	0.776623129844666	"Acyl carnitines"	0.776623129844666	"Fatty acid esters"	0.999827861785889	"Fatty Acyls"	0.999709904193878	"Lipids and lipid-like molecules"	0.998680889606476	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Quaternary ammonium salts; Carboxylic acid derivatives; Acyl carnitines; Carboxylic acid salts; Carboxylic acids; Carboxylic acid esters; Carbonyl compounds; Amines; Organic salts; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Tetraalkylammonium salts; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	5	5
"6_mapp_batch_00109_sirius_6"	"C25H43N3O15"	"[M + H]+"	"C25H43N3O15"	"Carbohydrates"	0.867842197418213	"Aminosugars and aminoglycosides"	0.698619365692139	"Aminosugars"	0.401376992464065	"Glycosylamines"	0.714371681213379	"Glycosyl compounds"	0.97377997636795	"Carbohydrates and carbohydrate conjugates"	0.99980765581131	"Organooxygen compounds"	1	"Organic oxygen compounds"	1	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; Glycosylamines; O-glycosyl compounds; Aminosaccharides; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	6	6
"7_mapp_batch_00109_sirius_7"	"C10H10N2OS"	"[M + H]+"	"C10H10N2OS"	"Alkaloids"	0.995871961116791	"Tryptophan alkaloids"	0.756819903850555	"Simple indole alkaloids"	0.894655048847198	"3-alkylindoles"	0.683345556259155	"3-alkylindoles"	0.683345556259155	"Indoles"	0.929810464382172	"Indoles and derivatives"	0.97614312171936	"Organoheterocyclic compounds"	0.999529242515564	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrroles; Thiazoles; Indoles and derivatives; Organonitrogen compounds; Substituted pyrroles; Benzenoids; Indoles; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	7	7
"8_mapp_batch_00109_sirius_8"	"C11H12N2O2"	"[M + Na]+"	"C11H12N2O2"	"Amino acids and Peptides"	0.997843623161316	"Small peptides"	0.997147858142853	"Aminoacids"	0.988784432411194	"Alpha amino acids"	0.983547151088715	"Amino acids and derivatives"	0.999881029129028	"Amino acids, peptides, and analogues"	0.999892473220825	"Carboxylic acids and derivatives"	0.999894738197327	"Organic acids and derivatives"	0.999909400939941	"Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrroles; Indoles and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Indolyl carboxylic acids and derivatives; Carbonyl compounds; Substituted pyrroles; Alpha amino acids; Benzenoids; Amines; Primary amines; Indoles; Aralkylamines; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; 3-alkylindoles; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	8	8
"9_mapp_batch_00109_sirius_9"	"C9H17NO8"	"[M + H]+"	"C9H17NO8"	"Amino acids and Peptides"	0.734092593193054	"Small peptides"	0.845863819122314	"Aminosugars"	0.669737339019775	"Alpha amino acids and derivatives"	0.862136602401733	"Amino acids and derivatives"	0.781246662139893	"Amino acids, peptides, and analogues"	0.759760677814484	"Carboxylic acids and derivatives"	0.9992635846138	"Organic acids and derivatives"	0.999976754188538	"Organic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Hydroxy fatty acids; Amino acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid amides; Amino fatty acids; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Alpha hydroxy acids and derivatives; Hexoses; Monosaccharides; Secondary alcohols; Secondary carboxylic acid amides; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Amines; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	9	9
"10_mapp_batch_00109_sirius_10"	"C5H4N4O"	"[M + H]+"	"C5H4N4O"	"Alkaloids"	0.996750116348267	"Pseudoalkaloids"	0.666742205619812	"Purine alkaloids"	0.655751466751099	"6-oxopurines"	0.75638210773468	"Purinones"	0.968103587627411	"Purines and purine derivatives"	0.945778727531433	"Imidazopyrimidines"	0.987384557723999	"Organoheterocyclic compounds"	0.999999761581421	"Organic compounds; Organoheterocyclic compounds; Pyrimidines and pyrimidine derivatives; Imidazoles; Pyrazoles; Purines and purine derivatives; Hypoxanthines; Organic acids and derivatives; Organonitrogen compounds; Pyrimidones; Organooxygen compounds; Azoles; Purinones; Diazines; 6-oxopurines; Imidazopyrimidines; Vinylogous amides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	10	10
"11_mapp_batch_00109_sirius_11"	"C14H31NO"	"[M + H]+"	"C14H31NO"	"Fatty acids"	0.901906490325928	"Fatty acyls"	0.790436327457428	"Fatty alcohols"	0.660574853420258	"1,2-aminoalcohols"	0.954736471176148	"Alkanolamines"	0.989023327827454	"Amines"	0.999957919120789	"Organonitrogen compounds"	0.999999165534973	"Organic nitrogen compounds"	0.999985933303833	"Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	11	11
"14_mapp_batch_00109_sirius_14"	"C40H68O"	"[M + Na]+"	"C40H68O"	"Terpenoids"	0.996111333370209	"Polyprenols"	0.659586071968079	"Carotenoids (C40, Ψ-Ψ)"	0.167322725057602	"Prenol lipids"	0.996998071670532	NA	NA	NA	NA	"Prenol lipids"	0.996998071670532	"Lipids and lipid-like molecules"	0.999938011169434	"Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	14	14
"15_mapp_batch_00109_sirius_15"	"C27H37NO12"	"[M + H]+"	"C27H37NO12"	"Alkaloids"	0.906295359134674	"Tyrosine alkaloids"	0.827007472515106	"Isoquinoline alkaloids"	0.508498847484589	"Aminoglycosides"	0.0722087845206261	"Aminosaccharides"	0.101555444300175	"Carbohydrates and carbohydrate conjugates"	0.985695540904999	"Organooxygen compounds"	0.999996542930603	"Organic oxygen compounds"	1	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Phenols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Carboxylic acid amides; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Tertiary carboxylic acid amides; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Methyl esters; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities"	15	15
"16_mapp_batch_00109_sirius_16"	"C13H20O3"	"[M + H]+"	"C13H20O3"	"Terpenoids"	0.964406132698059	"Apocarotenoids"	0.964304149150848	"Apocarotenoids (β-)"	0.642960965633392	"Cyclohexanols"	0.0406435616314411	"Secondary alcohols"	0.811425864696503	"Alcohols and polyols"	0.95322459936142	"Organooxygen compounds"	1	"Organic oxygen compounds"	1	"Organic compounds; Ketones; Alcohols and polyols; Organooxygen compounds; Secondary alcohols; Carbonyl compounds; Cyclic ketones; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	16	16
"17_mapp_batch_00109_sirius_17"	"C28H50O5"	"[M + H]+"	"C28H50O5"	"Fatty acids"	0.795121133327484	"Fatty Acids and Conjugates"	0.389082610607147	"Diacylglycerols"	0.518243253231049	"Branched fatty acids"	0.68165111541748	"Branched fatty acids"	0.68165111541748	"Fatty acids and conjugates"	0.733511924743652	"Fatty Acyls"	0.620545744895935	"Lipids and lipid-like molecules"	0.691067218780518	"Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	17	17
"18_mapp_batch_00109_sirius_18"	"C11H25NO3S"	"[M + H]+"	"C11H25NO3S"	"Fatty acids"	0.828856229782104	"Fatty acyls"	0.498500794172287	"Fatty alcohols"	0.240875586867332	"Fatty Acyls"	0.0866048857569695	NA	NA	NA	NA	"Fatty Acyls"	0.0866048857569695	"Lipids and lipid-like molecules"	0.0555862374603748	"Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfones; Sulfonyls; Amines; Organic oxides; Hydrocarbon derivatives; Trialkyl amine oxides; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	18	18
