"feature_id_full","feature_id","feature_mz","feature_rt","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"3621_506.22_3.8",3621,506.222742986201,3.84189714736842,6.59106724910593e-05,4.18104425720118,0.550666085325672,-0.860750337023507,"Carbohydrates","Small peptides","Aminoglycosides","Tobramax",NA,"NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O","C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N",NA,NA,NA,NA,"NLVFBUXFDBBNBW","InChI=1S/C18H37N5O9/c19-3-9-8(25)2-7(22)17(29-9)31-15-5(20)1-6(21)16(14(15)28)32-18-13(27)11(23)12(26)10(4-24)30-18/h5-18,24-28H,1-4,19-23H2/t5-,6+,7+,8-,9+,10+,11-,12+,13+,14-,15+,16-,17+,18+/m0/s1","NLVFBUXFDBBNBW-PBSUHMDJSA-N","InChI=1S/C18H37N5O9/c19-3-9-8(25)2-7(22)17(29-9)31-15-5(20)1-6(21)16(14(15)28)32-18-13(27)11(23)12(26)10(4-24)30-18/h5-18,24-28H,1-4,19-23H2","NLVFBUXFDBBNBW"
"1700_221.19_1.4",1700,221.185970488757,1.4022831,7.22045464980656e-05,4.1414354553825,0.545168829295045,-0.875225018267052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2908_339.08_2.4",2908,339.084643893772,2.37989517777778,0.000343003549177734,3.46470138613702,0.556949333353548,-0.844382005821755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2087_490.29_6.1",2087,490.293328094482,6.138939015,0.000420277060187805,3.37646431426708,1.76310254874229,0.81811638972293,"Fatty acids","Fatty esters","Fatty acyl carnitines","2-[7-[2-(3-hydroxyoct-1-enyl)-5-oxocyclopentyl]heptanoylamino]-3-methylpentanoic acid",NA,NA,"CCCCCC(C=CC1CCC(=O)C1CCCCCCC(=O)NC(C(C)CC)C(=O)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C26H45NO5/c1-4-6-9-12-21(28)17-15-20-16-18-23(29)22(20)13-10-7-8-11-14-24(30)27-25(26(31)32)19(3)5-2/h15,17,19-22,25,28H,4-14,16,18H2,1-3H3,(H,27,30)(H,31,32)","JHROCXRVEIGATO"
"3614_397.22_4.8",3614,397.215439797478,4.836421725,0.000422656111626098,3.37401284672548,1.85557754207395,0.891868290568224,"Amino acids and Peptides","Small peptides","N-acyl amines","(3-propan-2-ylphenyl) N-[heptoxycarbonyl(methyl)amino]sulfanyl-N-methylcarbamate",NA,NA,"CCCCCCCOC(=O)N(C)SN(C)C(=O)OC1=CC=CC(=C1)C(C)C",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C20H32N2O4S/c1-6-7-8-9-10-14-25-19(23)21(4)27-22(5)20(24)26-18-13-11-12-17(15-18)16(2)3/h11-13,15-16H,6-10,14H2,1-5H3","NLMPLIZYNWJNMX"
"1190_437.21_4.2",1190,437.214381747776,4.16833218333333,0.000502906894798697,3.29851241020826,1.85412880668858,0.89074147174981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1443_506.22_3.8",1443,506.221664031619,3.773493,0.000613109862110051,3.21246169802131,0.572559422108817,-0.80450266624898,"Carbohydrates","Nicotinic acid alkaloids","Pyridine alkaloids","methyl 2-[[3-[(2,4-difluorophenyl)carbamoylamino]-1-(1-methylpyrrole-2-carbonyl)pyrrolidine-2-carbonyl]amino]-3-methylbutanoate",NA,NA,"CC(C)C(C(=O)OC)NC(=O)C1C(CCN1C(=O)C2=CC=CN2C)NC(=O)NC3=C(C=C(C=C3)F)F",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C24H29F2N5O5/c1-13(2)19(23(34)36-4)29-21(32)20-17(9-11-31(20)22(33)18-6-5-10-30(18)3)28-24(35)27-16-8-7-14(25)12-15(16)26/h5-8,10,12-13,17,19-20H,9,11H2,1-4H3,(H,29,32)(H2,27,28,35)","ZLZLMHDIKVHHCG"
"1800_933.56_10.8",1800,933.556257629394,10.78253025,0.000740272302456174,3.13060849959183,0.594669682272284,-0.749839569451327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3970_235.15_4.2",3970,235.147277468727,4.21549617142857,0.000763392028149653,3.11725237955681,1.76608932925295,0.820558316718498,"Amino acids and Peptides","Small peptides","Dipeptides","2-[7-(2-hydroxyethyl)-1,4,7-thiadiazonan-4-yl]ethanol",NA,NA,"C1CN(CCSCCN1CCO)CCO",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C10H22N2O2S/c13-7-3-11-1-2-12(4-8-14)6-10-15-9-5-11/h13-14H,1-10H2","LJVGEXMLKPRAQU"
"667_928.6_10.8",667,928.599381296258,10.7796205263158,0.00108329241646832,2.96525429709858,0.603887916690778,-0.727647288780105,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","1-Deoxy-gla-27",NA,NA,"CCCCCCCCCCCCCC(=O)OC1C(COC(C1OP(=O)(O)O)CO)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C48H92NO11P/c1-4-7-10-13-16-19-21-24-27-30-33-36-45(52)58-41(35-32-29-26-23-18-15-12-9-6-3)38-44(51)49-42-40-57-43(39-50)48(60-61(54,55)56)47(42)59-46(53)37-34-31-28-25-22-20-17-14-11-8-5-2/h41-43,47-48,50H,4-40H2,1-3H3,(H,49,51)(H2,54,55,56)","DAJVWAYAPWDUTO"
"3533_535.4_10.2",3533,535.400866699219,10.22990464,0.00109713375032383,2.95974042485301,1.67449331229688,0.743724614124415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2747_309.24_11.6",2747,309.242250141345,11.5596834210526,0.00138850517638907,2.85745249684781,0.560757210250911,-0.834551829194439,"Fatty acids","Fatty acyls","Fatty alcohols","null",NA,NA,"CC(=O)OC(CCCCCCCCCCCC#C)CC(CO)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C19H34O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-19(23-17(2)21)15-18(22)16-20/h1,18-20,22H,4-16H2,2H3","FHGZOCAZNHYWAL"
"2465_218.12_4.2",2465,218.120741344634,4.21674034761905,0.00157768948846715,2.80197846799285,1.74853520583404,0.80614684423171,"Alkaloids","Lysine alkaloids","Piperidine alkaloids","1-Butanesulfonic acid,4-(cyclohexylamino)-",NA,"CNc1c(C)n(C)n(-c2ccccc2)c1=O","C1CCC(CC1)NCCCCS(=O)(=O)O",NA,NA,NA,NA,"JILCEWWZTBBOFS","InChI=1S/C12H15N3O/c1-9-11(13-2)12(16)15(14(9)3)10-7-5-4-6-8-10/h4-8,13H,1-3H3","JILCEWWZTBBOFS-UHFFFAOYSA-N","InChI=1S/C10H21NO3S/c12-15(13,14)9-5-4-8-11-10-6-2-1-3-7-10/h10-11H,1-9H2,(H,12,13,14)","XNPKNHHFCKSMRV"
"1331_293.21_7.3",1331,293.210666503906,7.267050436,0.00163578747074174,2.78627312259617,1.6531211476318,0.725192455231066,"Fatty acids","Octadecanoids","Other Octadecanoids","9-Oxo-10,12,15-odta",NA,"CC/C=C\C/C=C\C=C\C(=O)CCCCCCCC(=O)O","CCC=CCC=CC=CC(=O)CCCCCCCC(=O)O",NA,NA,NA,NA,"ACHDMUPTZYZIGR","InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b4-3-,8-6-,14-11+","ACHDMUPTZYZIGR-CUHSZNQNSA-N","InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)","ACHDMUPTZYZIGR"
"2051_136.08_1.6",2051,136.075757446289,1.616202784,0.0020237597218783,2.69384105193939,1.70943464958315,0.773519270665767,NA,NA,NA,NA,NA,"ON=CCc1ccccc1",NA,NA,NA,NA,NA,"CXISHLWVCSLKOJ","InChI=1S/C8H9NO/c10-9-7-6-8-4-2-1-3-5-8/h1-5,7,10H,6H2","CXISHLWVCSLKOJ-UHFFFAOYSA-N",NA,NA
