"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","sample_Biscutella.laevigata_control_NA","sample_Biscutella.laevigata_control_NA.pval","sample_Biscutella.laevigata_treatment_proximal","sample_Biscutella.laevigata_treatment_proximal.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
10,"10_137.05_1.2","hypoxanthine_[10_137.05_1.2]",137.045756530762,1.156007972,0.0326849214106677,1.48565255493715,1.54548696510776,0.628061486319273,"Sarcine","hypoxanthine","CHEBI:17368",0.469612228098591,-26.372792382172,35.8755948120365,1,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)","FDGQSTZJBFJUBT","C5H4N4O","[M + H]+","C1=NC2=C(N1)C(=O)N=CN2","Alkaloids","Purine alkaloids","Pseudoalkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.878243512974052,0,0.874251497005988,0,0.86626746506986,0.00933333333333333,0.594810379241517
28,"28_289.09_0.6","NA_[28_289.09_0.6]",289.09171527365,0.647638563913043,0.0189198972030184,1.72308122756864,0.673290660473755,-0.570698642210126,"maltol beta-D-glucopyranoside",NA,NA,0.668053050989641,-24.5217744921878,87.2492116111943,1,"InChI=1S/C12H16O8/c1-5-11(6(14)2-3-18-5)20-12-10(17)9(16)8(15)7(4-13)19-12/h2-3,7-10,12-13,15-17H,4H2,1H3","YGSIRXHFAUFUEJ","C12H16O8","[M + H]+","CC1=C(C(=O)C=CO1)OC2C(C(C(C(O2)CO)O)O)O","Polyketides","4-pyrone derivatives","Cyclic polyketides","288.084517472","InChI=1S/C12H16O8/c1-5-11(6(14)2-3-18-5)20-12-10(17)9(16)8(15)7(4-13)19-12/h2-3,7-10,12-13,15-17H,4H2,1H3","YGSIRXHFAUFUEJ-UHFFFAOYSA-N","YGSIRXHFAUFUEJ","Cc1occc(=O)c1OC1OC(CO)C(O)C(O)C1O","C12H16O8","2-Methyl-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxypyran-4-one","http://www.wikidata.org/entity/Q104667691","Polyketides","Cyclic polyketides","nan","nan","nan","Gamblea innovans","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Apiales']","['Araliaceae']","['Unknown']","['Gamblea']","['Gamblea innovans']","nan","709202.0","http://www.wikidata.org/entity/Q11315952",4,1.41705050316284,0.0179640718562874,1.34406227991274,0.0359281437125748,1.38942503594182,0.031936127744511,0.0146666666666667,0.271457085828343
60,"60_537.54_10.9","NA_[60_537.54_10.9]",537.535703125,10.89341352,0.0334007432625765,1.47624386877993,1.4360455074451,0.522101468050313,"N,N''-Ethylenebis(palmitamide)",NA,NA,0.337191821728337,-96.0872554249017,14.2016756194973,1,"InChI=1S/C34H68N2O2/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)35-31-32-36-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h3-32H2,1-2H3,(H,35,37)(H,36,38)","UAXZKOFYXXDTFH","C34H68N2O2","[M + H]+","CCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCC","Fatty acids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.12375249500998,1.00100150250438,0.125748502994012,1.00100150250438,0.13373253493014,0.0153333333333333,0.281437125748503
61,"61_332.24_4.4","NA_[61_332.24_4.4]",332.243074937749,4.43332286818182,0.00988126633633156,2.00518739472014,1.5719627311333,0.652567013877352,"N-n-Undecylgluconamide",NA,NA,0.283250940302085,-109.518223066705,44.9050142750359,1,"InChI=1S/C17H35NO6/c1-2-3-4-5-6-7-8-9-10-11-18-17(24)16(23)15(22)14(21)13(20)12-19/h13-16,19-23H,2-12H2,1H3,(H,18,24)","SALJKOPFFFXOQN","C17H35NO6","[M - H2O + H]+","CCCCCCCCCCCNC(=O)C(C(C(C(CO)O)O)O)O","Fatty acids","Sphingoid bases","Sphingolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.872255489021956,0,0.872255489021956,0,0.862275449101796,0.012,0.413173652694611
89,"89_412.31_8.7","NA_[89_412.31_8.7]",412.305154419805,8.74335328666667,0.0310988086141509,1.50725624834329,1.7396538461863,0.798800269251302,"Oleoyl glutamic acid",NA,NA,0.600981330832562,-20.1286105891998,47.8256228306643,1,"InChI=1S/C23H41NO5/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(25)24-20(23(28)29)18-19-22(26)27/h9-10,20H,2-8,11-19H2,1H3,(H,24,25)(H,26,27)(H,28,29)","UUFVSGRELDGPGL","C23H41NO5","[M + H]+","CCCCCCCCC=CCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O","Fatty acids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.111776447105788,1.00100150250438,0.111776447105788,1.00100150250438,0.12375249500998,0.0226666666666667,0.0279441117764471
90,"90_270.28_9.6","NA_[90_270.28_9.6]",270.278921509338,9.636686196,0.0421887534044079,1.37480330698563,1.44809639096873,0.534157637051085,"Heptadecanamide",NA,NA,0.866033309370141,-3.58373669770425,16.5664054105927,1,"InChI=1S/C17H35NO/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17(18)19/h2-16H2,1H3,(H2,18,19)","REEPJBYQLCWOAR","C17H35NO","[M + H]+","CCCCCCCCCCCCCCCCC(=O)N","Fatty acids","Primary amides","Fatty amides","269.27186474","InChI=1S/C17H35NO/c1-16(2)14-12-10-8-6-4-5-7-9-11-13-15-18-17(3)19/h16H,4-15H2,1-3H3,(H,18,19)","AMLDBWWQKYLAHJ-UHFFFAOYSA-N","AMLDBWWQKYLAHJ","CC(=O)NCCCCCCCCCCCCC(C)C","C17H35NO","N-(13-Methyltetradecyl)acetamide","http://www.wikidata.org/entity/Q27155104","Fatty acids","Fatty amides","Fatty acids","Fatty amides","Primary amides","Capsicum annuum","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Solanales']","['Solanaceae']","['Capsiceae']","['Capsicum']","['Capsicum annuum']","nan","473836.0","http://www.wikidata.org/entity/Q1380",1,1.00100150250438,0.109780439121756,1.00100150250438,0.107784431137725,1.00100150250438,0.115768463073852,0.0213333333333333,0.151696606786427
99,"99_315.19_7.3","NA_[99_315.19_7.3]",315.193088686119,7.262130296,0.00319243518901888,2.49587791077157,1.65276868764851,0.724884827150715,"null",NA,NA,0.153105036354283,-238.45227685596,2.02051821265229,0.619597989949749,"InChI=1S/C16H22N6O/c23-16(13-6-7-15-18-19-20-22(15)11-13)17-10-12-4-3-9-21-8-2-1-5-14(12)21/h6-7,11-12,14H,1-5,8-10H2,(H,17,23)","QOXGZRZVWISVPL","C16H22N6O","[M + H]+","C1CCN2CCCC(C2C1)CNC(=O)C3=CN4C(=NN=N4)C=C3","Alkaloids","Pyridine alkaloids","Nicotinic acid alkaloids","292.203844756","InChI=1S/C18H28O3/c1-2-3-4-5-6-8-11-14-17(19)15-12-9-7-10-13-16-18(20)21/h3-4,6,8,11,14H,2,5,7,9-10,12-13,15-16H2,1H3,(H,20,21)/b4-3-,8-6-,14-11+","ACHDMUPTZYZIGR-CUHSZNQNSA-N","ACHDMUPTZYZIGR","CC/C=C\C/C=C\C=C\C(=O)CCCCCCCC(=O)O","C18H28O3","9-OxoOTrE","http://www.wikidata.org/entity/Q104909087","Fatty acids","Octadecanoids","Fatty acids","Octadecanoids","Other Octadecanoids","Isatis tinctoria","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Brassicales']","['Brassicaceae']","['Isatideae']","['Isatis']","['Isatis tinctoria']","nan","631500.0","http://www.wikidata.org/entity/Q212547",6,1.00100150250438,0.111776447105788,1.00100150250438,0.125748502994012,1.00100150250438,0.131736526946108,0.006,0.788423153692615
112,"112_219.1_0.7","gamma-glutamylalanine_[112_219.1_0.7]",219.097603246243,0.65211903,0.00869681603107294,2.0606397167179,1.74833630086995,0.805982720840243,"gamma-Gln-ala","gamma-glutamylalanine","CHEBI:50621",0.837518341962601,-5.98197968703327,62.9253268212159,1,"InChI=1S/C8H14N2O5/c1-4(7(12)13)10-6(11)3-2-5(9)8(14)15/h4-5H,2-3,9H2,1H3,(H,10,11)(H,12,13)(H,14,15)","WQXXXVRAFAKQJM","C8H14N2O5","[M + H]+","CC(C(=O)O)NC(=O)CCC(C(=O)O)N","Amino acids and Peptides","Dipeptides","Small peptides","218.090271548","InChI=1S/C8H14N2O5/c1-4(8(14)15)10-7(13)5(9)2-3-6(11)12/h4-5H,2-3,9H2,1H3,(H,10,13)(H,11,12)(H,14,15)/t4-,5-/m0/s1","JZDHUJAFXGNDSB-WHFBIAKZSA-N","JZDHUJAFXGNDSB","C[C@H](NC(=O)[C@@H](N)CCC(=O)O)C(=O)O","C8H14N2O5","Glutamylalanine","http://www.wikidata.org/entity/Q27144175","Amino acids and Peptides","Small peptides","nan","nan","nan","Arabidopsis thaliana","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Brassicales']","['Brassicaceae']","['Camelineae']","['Arabidopsis']","['Arabidopsis thaliana']","nan","309263.0","http://www.wikidata.org/entity/Q158695",6,1.00100150250438,0.139720558882236,1.00100150250438,0.131736526946108,1.00100150250438,0.153692614770459,0.01,0.439121756487026
121,"121_379.19_3.3","Bu-2545_[121_379.19_3.3]",379.190286908896,3.34217475714286,0.030784406795129,1.51166921069632,1.62080940996611,0.696714455159907,"Antibiotic Bu 2545","Bu-2545","CHEBI:223557",0.169525461767433,-442.755218659264,45.4597821245337,1,"InChI=1S/C16H30N2O6S/c1-8(23-3)10(17-15(22)9-6-5-7-18(9)2)14-12(20)11(19)13(21)16(24-14)25-4/h8-14,16,19-21H,5-7H2,1-4H3,(H,17,22)","WVXCVWNSJUNIRQ","C16H30N2O6S","[M + H]+","CC(C(C1C(C(C(C(O1)SC)O)O)O)NC(=O)C2CCCN2C)OC","Amino acids and Peptides","Dipeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.894211576846307,0,0.900199600798403,0,0.892215568862275,0.00533333333333333,0.564870259481038
130,"130_184.1_3.2","NA_[130_184.1_3.2]",184.096778551737,3.15152784166667,0.0143501145696266,1.84314463156009,1.65287767584297,0.724979959364172,"[(2R)-2,3-dicarboxycyclopropyl]methyl-trimethylazanium",NA,NA,0.184875221320624,-207.051326678757,25.5435737900939,1,"InChI=1S/C9H15NO4/c1-10(2,3)4-5-6(8(11)12)7(5)9(13)14/h5-7H,4H2,1-3H3,(H-,11,12,13,14)/p+1","LGCMKYRYRXDCIT","C9H15NO4","[M - H2O + H]+","C[N+](C)(C)CC1C(C1C(=O)O)C(=O)O","Amino acids and Peptides","Aminoacids","Small peptides","138.031694052|138.031694052|138.031694052","InChI=1S/C7H6O3/c8-6-3-1-2-5(4-6)7(9)10/h1-4,8H,(H,9,10)|InChI=1S/C7H6O3/c8-6-4-2-1-3-5(6)7(9)10/h1-4,8H,(H,9,10)|InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)","IJFXRHURBJZNAO-UHFFFAOYSA-N|YGSDEFSMJLZEOE-UHFFFAOYSA-N|FJKROLUGYXJWQN-UHFFFAOYSA-N","IJFXRHURBJZNAO|YGSDEFSMJLZEOE|FJKROLUGYXJWQN","O=C(O)c1cccc(O)c1|O=C(O)c1ccccc1O|O=C(O)c1ccc(O)cc1","C7H6O3|C7H6O3|C7H6O3","3-Hydroxybenzoic acid|2-Carboxyphenolate;hydron|4-Oxoniobenzoate","http://www.wikidata.org/entity/Q2823216|http://www.wikidata.org/entity/Q193572|http://www.wikidata.org/entity/Q229970","Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids|Shikimates and Phenylpropanoids","Phenolic acids (C6-C1)|Phenolic acids (C6-C1)|Phenolic acids (C6-C1)","Alkaloids","Small peptides","Simple phenolic acids","Arabidopsis thaliana|Lepidium sativum|Raphanus sativus","['Eukaryota']|['Eukaryota']|['Eukaryota']","['Archaeplastida']|['Archaeplastida']|['Archaeplastida']","['Streptophyta']|['Streptophyta']|['Streptophyta']","['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']","['Brassicales']|['Brassicales']|['Brassicales']","['Brassicaceae']|['Brassicaceae']|['Brassicaceae']","['Camelineae']|['Lepidieae']|['Brassiceae']","['Arabidopsis']|['Lepidium']|['Raphanus']","['Arabidopsis thaliana']|['Lepidium sativum']|['Raphanus sativus']","nan|nan|nan","309263.0|925289.0|359073.0","http://www.wikidata.org/entity/Q158695|http://www.wikidata.org/entity/Q27033|http://www.wikidata.org/entity/Q7224565",NA,1.00100150250438,0.111776447105788,1.00100150250438,0.125748502994012,1.00100150250438,0.129740518962076,0.0146666666666667,0.499001996007984
