	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change_log2	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2	sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value	sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2	sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value
hypoxanthine	-0.0244858108772107	0.992334100776056	0.600081733342877	0.0257001958339383	0.624567544220088	0.0224168373353485
metolachlor morpholinone	0.0153957361193367	0.999129631516663	0.42137562039713	0.46669759462972	0.405979884277793	0.486760247239857
naptalam	0.0711499580783483	0.983835138855035	0.107069937565864	0.962995466883116	0.0359199794875163	0.995527982989707
ACar 18:0	-0.372887547509032	0.445914790074068	0.233697160562933	0.601938972265371	0.606584708071965	0.131489539940744
Niflumic acid	0.131657876808819	0.938019558975694	0.299419499963478	0.701515493393609	0.167761623154659	0.881145212020249
phenylethanolamine	-0.0398197107371867	0.988065725357223	0.47547629276299	0.16610036017128	0.515296003500177	0.137601520028806
SPB 17:1;2O	-0.0551762546491399	0.978674256119461	0.457580035680759	0.200268653513482	0.512756290329899	0.1558025780886
8-(methylsulfinyl)octylamine	0.408570473554746	0.533157220176941	0.249138526091952	0.799450287643906	-0.159431947462795	0.883718916388494
gamma-L-Glutamyl-L-methionine sulfoxide	-0.13697934088552	0.902193955278197	0.00203082066947475	0.999974662430402	0.139010161554994	0.899340136136547
Elaidolinolenic acid	-0.0290565189557118	0.992279010784533	0.280906502888917	0.455536841864292	0.309963021844629	0.399616926717479
4-guanidinobutanoic acid	-0.517509584970155	0.149098142186399	-0.463873072999924	0.190604121934409	0.0536365119702309	0.979660793621916
9,12,15-octadecatrienal	-0.0539273343549955	0.985091549001051	0.4357250455121	0.320382343144317	0.489652379867096	0.262347253398284
3-alpha-Mannobiose	-0.374958019656975	0.137744864095384	-0.58520472365606	0.0376942472024084	-0.210246703999085	0.583987926309414
PyroGlu-Pro	0.186092144620895	0.886381025086113	0.219855534123941	0.84287975988979	0.0337633895030464	0.99530039913452
gamma-L-Glutamyl-L-valine	0.109576841013413	0.889257981655133	0.547886065977979	0.0764040628103313	0.438309224964565	0.138253616868347
Leonuriside A	-0.00480483462738459	0.999916629229192	-0.0871472062067098	0.974530735237966	-0.0823423715793252	0.977295090418683
gamma-glutamylalanine	0.31913132898019	0.343154165948767	0.805982720840243	0.00856820892201626	0.486851391860053	0.0483909232051607
1-cyano-8-(methylsulfinyl)octane	0.0496168973292638	0.987161673710285	0.398414858582374	0.401706355907203	0.34879796125311	0.475065990124199
Oxytetracycline Impurity A	-0.258471837466808	0.746626640787567	-0.151140783137949	0.895060203907583	0.10733105432886	0.953865952088848
3,4-dimethoxycinnamyl acetate	0.438291461526918	0.551822290681029	0.385520672595679	0.635225095108488	-0.0527707889312395	0.987711043744577
9-(methylsulfinyl)nonanoic acid	0.503419638977503	0.35918739264097	0.5781203495156	0.260289247022624	0.0747007105380972	0.961154692909489
N6-Methylagmatine	0.208294882425666	0.848348341455049	0.0566203774579535	0.988848214790127	-0.151674504967712	0.91231861138977
3-hydroxy-2-[[1-[2-[(4-hydroxybenzoyl)amino]-3-methylbutanoyl]pyrrolidine-2-carbonyl]amino]benzoic acid	0.415037499278844	0.671375271970307	0.409727240207934	0.678725270693023	-0.00531025907090973	0.999907805866231
7,9-dihydro-1H-purine-2,6,8(3H)-trione	0.00417076717308045	0.999906123823569	0.56505634560615	0.157313111730894	0.560885578433069	0.159948023354981
Ethyl octynecarboxylate	0.320219061649158	0.612902360580696	0.0306111443296315	0.996042110463075	-0.289607917319526	0.660907114789395
pentahomomethionine S-oxide	0.158816362426311	0.912688783818551	0.156470343466655	0.915232704633751	-0.00234601895965569	0.999977451569997
tyrosine	-0.39809218029663	0.473783923890913	0.028797990576983	0.994074245149682	0.426890170873613	0.423275588884917
(x)-1,2-Propanediol 1-O-b-D-glucopyranoside	-0.0441464939340525	0.989629135122657	-0.14345596321082	0.903714625817306	-0.0993094692767678	0.953635725891311
Bu-2545	0.415037499278844	0.485605173541001	0.144140591286594	0.922841624911797	-0.270896907992249	0.697008693691735
5-oxoproline	-0.0258239006702851	0.997363848429891	0.0272022778759211	0.996966215855978	0.0530261785462064	0.988738370106309
