"factor"	"filename"	"full"	"location"	"mapp_sample_id"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_qid"
"treatment"	"202404241731_EB_tp24_000006_01_01.mzML"	"sample_Plutella xylostella_treatment_NA"	"ND"	"EB_tp24_000006_01_01"	"EB_tp24_000006_01_01"	"sample"	"Plutella xylostella"	"Q1050343"
"treatment"	"202404241731_EB_tp24_000011_01_01.mzML"	"sample_Biscutella laevigata_treatment_proximal"	"proximal"	"EB_tp24_000011_01_01"	"EB_tp24_000011_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000012_01_01.mzML"	"sample_Biscutella laevigata_treatment_distal"	"distal"	"EB_tp24_000012_01_01"	"EB_tp24_000012_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000013_01_01.mzML"	"sample_Biscutella laevigata_treatment_proximal"	"proximal"	"EB_tp24_000013_01_01"	"EB_tp24_000013_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000014_01_01.mzML"	"sample_Biscutella laevigata_treatment_proximal"	"proximal"	"EB_tp24_000014_01_01"	"EB_tp24_000014_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000015_01_01.mzML"	"sample_Biscutella laevigata_treatment_distal"	"distal"	"EB_tp24_000015_01_01"	"EB_tp24_000015_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"control"	"202404241731_EB_tp24_000016_01_01.mzML"	"sample_Plutella xylostella_control_NA"	"ND"	"EB_tp24_000016_01_01"	"EB_tp24_000016_01_01"	"sample"	"Plutella xylostella"	"Q1050343"
"control"	"202404241731_EB_tp24_000017_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"ND"	"EB_tp24_000017_01_01"	"EB_tp24_000017_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"control"	"202404241731_EB_tp24_000018_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"ND"	"EB_tp24_000018_01_01"	"EB_tp24_000018_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"control"	"202404241731_EB_tp24_000019_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"ND"	"EB_tp24_000019_01_01"	"EB_tp24_000019_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000020_01_01.mzML"	"sample_Biscutella laevigata_treatment_distal"	"distal"	"EB_tp24_000020_01_01"	"EB_tp24_000020_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
