"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
3533	"NA_[3533_535.4_10.2]"	2.68793289611095	-0.0227481917737812	-0.0390964016179877
3621	"NA_[3621_506.22_3.8]"	2.66233680272826	-0.0175278635504544	0.0326993086779239
2908	"NA_[2908_339.08_2.4]"	2.60441875946949	-0.0188316783401323	0.033498779237889
1443	"NA_[1443_506.22_3.8]"	2.56691811367641	-0.0195682423193809	0.0307741110219761
2747	"Avocadyne 4-acetate_[2747_309.24_11.6]"	2.40346284479481	-0.0175904785425295	0.0311482026753419
3145	"NA_[3145_549.57_11.5]"	2.40331770220211	-0.0177061393607848	-0.0378443879740849
324	"NA_[324_520.24_4.4]"	2.3605255934333	-0.0206417675009075	-0.0291579953183674
1800	"NA_[1800_933.56_10.8]"	2.35850363128952	-0.0212415950587822	0.0278334696593388
112	"gamma-glutamylalanine_[112_219.1_0.7]"	2.35546151779453	-0.0153227026864668	-0.0361992782527592
2087	"NA_[2087_490.29_6.1]"	2.34189733997486	-0.0168659077588704	-0.0358630273900779
1190	"NA_[1190_437.21_4.2]"	2.33741576638099	-0.0134749373076781	-0.0312525171677116
667	"NA_[667_928.6_10.8]"	2.32657430130943	-0.0201342216890823	0.0284290006587083
1700	"NA_[1700_221.19_1.4]"	2.31376837495937	-0.0203610300597338	0.0250398669491178
1688	"NA_[1688_147.11_1.4]"	2.30310276076205	-0.0208061800241179	-0.038796263498825
4303	"NA_[4303_192.16_1.9]"	2.24625237268315	-0.0160918188703153	-0.0387005628449123
4026	"NA_[4026_337.27_11.6]"	2.22391113747332	-0.0195546879889039	0.0296815856137303
383	"NA_[383_206.16_2.4]"	2.19106007877969	-0.0156977488344187	-0.0301938804539554
2051	"NA_[2051_136.08_1.6]"	2.17587245765218	-0.0162754829812547	-0.0311064835425081
3189	"NA_[3189_203_1.5]"	2.17450032805784	-0.022513779349707	0.0223164907916531
3480	"NA_[3480_404.19_3.6]"	2.17387525761834	-0.0164793280002149	0.0242547707947311
60	"NA_[60_537.54_10.9]"	2.15176424507455	-0.0244643460688252	-0.0377322094941274
3192	"NA_[3192_335.26_10.9]"	2.14934425860212	-0.019345832556237	-0.0354346562939999
372	"NA_[372_192.16_1.9]"	2.14507418593978	-0.015581115108438	-0.0376863684179116
1538	"2'3'-dihydrosorbicillin_[1538_235.13_6.3]"	2.13734050305806	-0.0247759512875616	-0.0415641454806872
2335	"NA_[2335_308.29_9.6]"	2.13162316511224	-0.0168139357285742	-0.0306615523395839
3922	"8-(methylsulfinyl)octyl isothiocyanate_[3922_234.1_5.1]"	2.13126322599406	-0.0141991602280908	-0.0375923887015979
424	"NA_[424_333.17_3]"	2.11889334503784	-0.0195021052859307	0.028166473384802
2802	"NA_[2802_494.19_2.2]"	2.11475339880006	-0.0154599680412857	-0.019858561915369
2371	"NA_[2371_357.31_6.1]"	2.10285938479638	-0.0151498834237952	-0.0289046943540431
1541	"NA_[1541_511.18_3.8]"	2.09252331006671	-0.0145352427776017	0.0324649407060099
2091	"NA_[2091_797.52_11.2]"	2.08944629346249	-0.0269658167780529	-0.0327446580924433
3342	"NA_[3342_971.24_3.2]"	2.06762712425992	-0.0134196710034259	-0.0321535014926563
3846	"5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[3,4,5-trihydroxy-6-(hydroxymethyl)tetrahydro-2H-pyran-2-yl]-8-(3,4,5-trihydroxytetrahydro-2H-pyran-2-yl)-4H-chromen-4-one_[3846_565.16_2.8]"	2.06079604290623	-0.0110880290547471	-0.0293707002845346
662	"bis-gamma-glutamylcystine_[662_499.11_0.7]"	2.0605354715664	-0.0216831770594749	0.0254260963074193
1915	"hypoxanthine_[1915_137.05_0.8]"	2.05064210430616	-0.012632666629532	-0.0283896326746628
192	"NA_[192_243.13_2.8]"	2.04217601243668	-0.0130983136021698	-0.0307862060369012
2465	"NA_[2465_218.12_4.2]"	2.04158784627985	-0.0146420150470137	-0.0344880783711697
2745	"NA_[2745_732.56_11.2]"	2.04104662569855	-0.017721438920106	-0.0316647002691731
3979	"NA_[3979_404.19_3.8]"	2.03972603243504	-0.0144783002742157	0.0205297335696673
1435	"Suberylglycine_[1435_232.12_2.7]"	2.03748868802152	-0.0111600484187076	0.0206030190365135
3970	"NA_[3970_235.15_4.2]"	2.02965340328875	-0.0147252851445424	-0.0338172748007076
2031	"NA_[2031_192.14_2.1]"	2.02652563287892	-0.0139140540457564	-0.0370071899777214
2294	"NA_[2294_382.4_11.5]"	2.02505501167679	-0.0219554667783876	-0.0288043091888507
474	"NA_[474_192.14_2.2]"	2.01725800621849	-0.0151918084152037	-0.0353987603777446
2054	"NA_[2054_235.21_6.3]"	2.01617787051575	-0.0208148902914279	-0.0316957287404912
2838	"NA_[2838_582.59_11.4]"	2.01600424015787	-0.0209388166586717	-0.0349684306984808
1854	"NA_[1854_500.48_11.4]"	2.01361364353982	-0.0240220645608602	-0.0331905614060937
3514	"NA_[3514_335.18_5.8]"	2.01262293585038	-0.0184856452969166	-0.0285587987658012
4131	"2-aminooctadecane-1,3-diol_[4131_302.31_7.1]"	2.01123708963187	-0.0226779963601496	-0.0284656163514142
420	"NA_[420_702.21_10.9]"	2.00891554215958	-0.0261464908450955	-0.0364943850490501
1554	"(S)-5'-Deoxy-5'-(methylsulfinyl)adenosine_[1554_314.09_2.7]"	1.99504357005476	-0.0115447640910838	0.0198513749378685
1707	"NA_[1707_544.48_11.6]"	1.98330493821425	-0.0157219920497385	-0.0235036300667992
4279	"NA_[4279_343.24_7.4]"	1.98062033481255	-0.0113893504215825	-0.0344230376904957
3339	"NA_[3339_631.2_3.4]"	1.97651030995191	-0.0167337565949307	-0.0341950682960951
89	"NA_[89_412.31_8.7]"	1.97646901963041	-0.0106006834524083	-0.0271492009603514
