"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1_820.59_11.2",1,820.592872315503,11.2479346,NA
"10_137.05_1.2",10,137.045756530762,1.156007972,"C5H4N4O"
"100_303.05_3.2",100,303.04939270051,3.15106899583333,NA
"1000_381.34_10.1",1000,381.337482299805,10.13648452,"C24H46O4"
"1001_234.15_3.1",1001,234.148945735051,3.11456359230769,"C14H19NO2"
"1002_274.09_1.7",1002,274.087261963161,1.69855031,"C18H13NO3"
"1003_469.31_9.3",1003,469.314342041016,9.285431728,NA
"1004_188.13_2.9",1004,188.12805267334,2.878699404,"C9H17NO3"
"1005_388.18_7",1005,388.180177308136,7.0318415,"C27H21N3"
"1006_325.14_1.4",1006,325.139089202881,1.444122305,"C15H22N2O7"
"1007_247.08_0.7",1007,247.079175112985,0.6519119672,"C8H14BNO5S"
"1008_330.12_0.7",1008,330.118491363903,0.6608885595,"C14H19NO8"
"1009_332.22_6.3",1009,332.219685872396,6.3498870952381,NA
"101_608.22_3.6",101,608.217585514012,3.6249319368421,"C35H36ClNO5"
"1010_353.08_0.6",1010,353.084847769082,0.604759632083333,NA
"1011_428.37_8.2",1011,428.373353275977,8.224088436,"C25H49NO4"
"1012_219.17_3.2",1012,219.174086610205,3.231750624,"C15H24O2"
"1013_488.36_7.8",1013,488.358471679688,7.845804588,NA
"1014_250.15_3.8",1014,250.147105407715,3.753315015,"C11H23NO3S"
"1015_537.3_7.5",1015,537.303454589844,7.518109912,NA
"1016_543.24_3.2",1016,543.240960378386,3.23293555789474,"C24H40O12"
"1017_265.06_1.7",1017,265.058666831569,1.72340150526316,"C13H9F3N2O2"
"1018_176.01_1.3",1018,176.010728018624,1.27330050952381,NA
"1019_349.32_6.5",1019,349.32120913551,6.53644315238095,"C22H42N2O2"
"102_349.27_8.4",102,349.273469238699,8.354276696,"C22H38O4"
"1020_494.32_7.2",1020,494.323707944187,7.19706487142857,"C24H48NO7P"
"1021_120.08_1.9",1021,120.081053619385,1.879832448,"C8H11NO"
"1022_827.49_9.8",1022,827.490693415235,9.81657990833333,NA
"1023_173.13_2.7",1023,173.132392501831,2.668990405,NA
"1024_400.32_9.1",1024,400.321502685547,9.07857593333333,"C26H41NO2"
"1025_671.51_9.9",1025,671.511269705636,9.91692966428572,"C38H72O10"
"1026_491.34_9.3",1026,491.335441188664,9.26318922631579,NA
"1027_584.27_2.6",1027,584.270086670578,2.595539,"C32H39N3O6"
"1028_199.13_2.9",1028,199.132787704468,2.91911505833333,"C11H20O4"
"1029_248.11_1.7",1029,248.11283620218,1.70995297142857,"C10H19NO7"
"103_263.05_1.6",103,263.052680567828,1.56586142105263,NA
"1030_307.08_0.7",1030,307.079061599811,0.714108693809524,"C13H16O7"
"1031_138.06_1",1031,138.063744354248,1.032403864,NA
"1032_155.07_0.9",1032,155.070235900879,0.918814852,"C8H10O3"
"1033_268.26_9.3",1033,268.263977051216,9.27604981304348,"C17H35NO2"
"1034_275.2_6",1034,275.200499878076,5.995985296,"C18H26O2"
"1035_492.39_9.3",1035,492.390308227539,9.285616636,"C27H51N5O4"
"1036_192.14_5.5",1036,192.141628265381,5.473531075,"C9H21NOS"
"1037_850.25_11.9",1037,850.250941162109,11.87727592,"C37H45ClF3N5O9S"
"1038_351.15_2.9",1038,351.154665992911,2.9438322952381,"C17H22N2O6"
"1039_238.14_3.9",1039,238.141190795898,3.912432816,NA
"104_210.08_1.8",104,210.076051636475,1.785403432,NA
"1040_326.27_7.7",1040,326.268701782806,7.6695438,"C19H37NO4"
"1041_261.22_3.9",1041,261.217021484375,3.913149736,"C13H28N2O3"
"1042_600.42_9",1042,600.417564698254,9.048335408,"C27H55N9O7"
"1043_239.97_1.3",1043,239.966365996034,1.28853298095238,"C7H4ClNO5"
"1044_333.05_0.9",1044,333.050668334961,0.917829373,"C10H18N2O6S"
"1045_786.6_10.4",1045,786.596488037915,10.4496004,"C44H84NO8P"
"1046_357.14_3.7",1046,357.141909790039,3.68813016,"C17H22N2O5"
"1047_503.19_1.8",1047,503.187212372307,1.7672208,"C20H28N6O8"
"1048_637.29_3.2",1048,637.285981751121,3.17423932,"C29H42N8O6"
"1049_280.99_0.5",1049,280.99359703064,0.52171863375,"C10H5F3N2O2"
"105_780.55_10",105,780.550465090692,9.992753092,"C42H80NO8P"
"1050_565.4_9",1050,565.404949369885,9.04549241428571,"C40H52O2"
"1051_139.08_2.3",1051,139.075270080566,2.266114772,"C8H12O3"
"1052_297.26_7.9",1052,297.261465284559,7.88133861666667,NA
"1053_481.2_3.7",1053,481.204459381104,3.67600149,"C22H34O10"
"1054_411.2_2.8",1054,411.198927614365,2.78557186,NA
"1055_411.2_2.7",1055,411.198898925781,2.672912752,NA
"1056_191.14_4.3",1056,191.14295501709,4.307205948,"C13H18O"
