"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value_minus_log10","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","sample_Biscutella.laevigata_control_NA","sample_Biscutella.laevigata_control_NA.pval","sample_Biscutella.laevigata_treatment_distal","sample_Biscutella.laevigata_treatment_distal.pval","sample_Biscutella.laevigata_treatment_proximal","sample_Biscutella.laevigata_treatment_proximal.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
313,"313_535.52_8.9","NA_[313_535.52_8.9]",535.519555954706,8.92581877142857,0.0271832938289507,0.302534142652266,0.208317964495783,1.56569792048553,0.519225605709904,0.681273276643815,1.23654200109596,0.861020876759103,0.696313490359383,0.306311243968645,-0.215879876508347,-0.522191120476992,"Amides, C16-18 and C18-unsatd, N,N''-ethylenebis-",NA,NA,0.19867083250352,-169.862783010273,63.0668000104802,1,"InChI=1S/C34H66N2O2/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-33(37)35-31-32-36-34(38)30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h31-32H,3-30H2,1-2H3,(H,35,37)(H,36,38)","YWBKZXIRMRFEJL","C34H66N2O2","[M + H]+","CCCCCCCCCCCCCCCC(=O)NC=CNC(=O)CCCCCCCCCCCCCCC","Fatty acids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63736530665978,0.127744510978044,0.333370376544353,0.333333333333333,-1.41705050316284,0.884231536926148,0.71750626375737,0.297405189620758,0.0637746031746032,0.910179640718563
424,"424_333.17_3","NA_[424_333.17_3]",333.166540848581,3.04495505263158,0.00180709854945649,0.00251898269206208,0.921211661883161,2.74301816270299,2.59877481653037,0.0356405728143549,1.04026738302053,0.629260172247996,0.604902338109331,0.0569543962298116,-0.668271461557333,-0.725225857787144,"null",NA,NA,0.465416069019919,-203.470445260051,17.6889531630598,0.0633165829145729,"InChI=1S/C14H26N2O8/c1-5-4-13(19,20)14(21)12(22-5)23-11-9(18)6(15-2)8(17)7(16-3)10(11)24-14/h5-12,15-21H,4H2,1-3H3","JEBSYFSDBYNEEU","C14H26N2O8","[M - H2O + H]+","CC1CC(C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O)(O)O","Carbohydrates","Aminosugars","Aminosugars and aminoglycosides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73727046020804,0.0738522954091816,0.447303065060821,0.339321357285429,-0.447303065060821,0.56686626746507,0.967893023190365,0.215568862275449,0.0786444444444444,0.718562874251497
467,"467_498.26_7","NA_[467_498.26_7]",498.259181213379,6.98634092,0.0301680764337557,0.0423068113159982,0.00131545797084265,1.52045238027373,1.37358970641186,2.88092302315616,1.80157814138022,1.27079442111645,0.705378463430331,0.849261228360229,0.345730661637684,-0.503530566722545,"1-18:3-lysoPE",NA,NA,0.238475295092515,-8.58450720330654,7046.49228583094,1,"InChI=1S/C23H42NO7P/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-23(26)29-20-22(25)21-31-32(27,28)30-19-18-24/h3-4,6-7,9-10,22,25H,2,5,8,11-21,24H2,1H3,(H,27,28)","NTBBASCGALPTDC","C23H42NO7P","[M + Na]+","CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)O","Fatty acids","Glycerophosphoethanolamines","Glycerophospholipids","497.25441568","InChI=1S/C26H40ClNO6/c1-4-5-6-7-9-12-21(32-3)13-10-8-11-14-24(31)28-18-20(17-27)26-23(30)16-15-22(25(26)34-26)33-19(2)29/h8,10,17,21-22,25H,4-7,9,11-16,18H2,1-3H3,(H,28,31)/b10-8+,20-17-/t21-,22-,25-,26+/m0/s1","UADSYHULFVDMCJ-HFNSIDMNSA-N","UADSYHULFVDMCJ","CCCCCCC[C@@H](C/C=C/CCC(=O)NC/C(=C/Cl)[C@]12O[C@H]1[C@@H](OC(C)=O)CCC2=O)OC","C26H40ClNO6","[(1S,2S,6S)-6-[(Z)-1-chloro-3-[[(E,7S)-7-methoxytetradec-4-enoyl]amino]prop-1-en-2-yl]-5-oxo-7-oxabicyclo[4.1.0]heptan-2-yl] acetate","http://www.wikidata.org/entity/Q105268660","Amino acids and Peptides","Oligopeptides","Amino acids and Peptides","Oligopeptides","Lipopeptides","Lyngbya majuscula","['Bacteria']","['Unknown']","['Cyanobacteria']","['Unknown']","['Unknown']","['Unknown']","['Unknown']","['Lyngbya']","['Lyngbya majuscula']","nan","588158.0","http://www.wikidata.org/entity/Q20720044",0,-0.94364821312477,0.516966067864271,3.83642503260155,0.00998003992015968,4.26039740599724,0.00399201596806387,4.03072167542329,0.0159680638722555,0.305355555555556,0.105788423153693
526,"526_246.15_5.1","NA_[526_246.15_5.1]",246.151472183073,5.14256911428572,0.0333105907099587,0.0241473684202498,0.959777573936976,1.47741766572369,1.61713019173804,0.0178294019647636,0.960612375193691,0.644920295729063,0.671363717960666,-0.0579737005161092,-0.632807222819286,-0.574833522303177,"null",NA,NA,0.0542927136951479,-175.689793612978,53.6617588793762,1,"InChI=1S/C12H25NO3S/c1-12(14)13-10-8-6-4-3-5-7-9-11-17(2,15)16/h3-11H2,1-2H3,(H,13,14)","IPZVVWAJUDWCPP","C12H25NO3S","[M - H2O + H]+","CC(=O)NCCCCCCCCCS(=O)(=O)C","Amino acids and Peptides","Amino fatty acids","Fatty Acids and Conjugates","245.141578848","InChI=1S/C15H19NO2/c1-16-12-7-8-13(16)10-14(9-12)18-15(17)11-5-3-2-4-6-11/h2-6,12-14H,7-10H2,1H3/t12-,13+,14-","XQJMXPAEFMWDOZ-BTTYYORXSA-N","XQJMXPAEFMWDOZ","CN1[C@@H]2CC[C@H]1C[C@H](OC(=O)c1ccccc1)C2","C15H19NO2","nan","http://www.wikidata.org/entity/Q105339758","Alkaloids","Ornithine alkaloids","Alkaloids","Tryptophan alkaloids","Simple indole alkaloids","Bruguiera exaristata","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Malpighiales']","['Rhizophoraceae']","['Unknown']","['Bruguiera']","['Bruguiera exaristata']","nan","867706.0","http://www.wikidata.org/entity/Q4141635",4,2.53979941834066,0.0139720558882236,0,0.522954091816367,1.67131567616219,0.101796407185629,2.34564773010093,0.0419161676646707,0.0696222222222222,0.786427145708583
639,"639_795.5_11.1","NA_[639_795.5_11.1]",795.499582391036,11.1083311578947,0.0319384004995138,0.0607103318664168,0.861361679558299,1.49568683746582,1.21673739309708,0.0648144531289839,1.08151756586781,0.706004671103543,0.65279075752879,0.113057097555631,-0.502250366127983,-0.615307463683613,"null",NA,NA,0.0514744409024928,-176.393405632611,19.1909818230835,0.864321608040201,"InChI=1S/C47H72O11/c1-2-38(48)34-35-43(53)30-22-21-29-42(52)32-23-31-41(51)28-20-19-27-40(50)26-16-12-9-7-5-3-4-6-8-11-15-24-39(49)25-17-13-10-14-18-33-44(54)47(58)45(55)36-37-46(56)57/h1,16,26,34-35,38,40-45,47-48,50-55,58H,3-15,17-19,21-22,24-25,27,29-30,32-33H2,(H,56,57)","YINBTZARCUUZAE","C47H72O11","[M - H2O + H]+","C#CC(C=CC(CCCCC(CC#CC(C#CCCC(C=CCCCCCCCCCCCC(=O)CCCCCCCC(C(C(C#CC(=O)O)O)O)O)O)O)O)O)O","Polyketides","Polyene macrolides","Macrolides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24733287487747,0.0219560878243513,0.534675270017429,0.331337325349301,1.00100150250438,0.177644710578842,1.87781249589005,0.0658682634730539,0.133311111111111,0.203592814371257
662,"662_499.11_0.7","bis-gamma-glutamylcystine_[662_499.11_0.7]",499.114695499139,0.652713445263158,0.00744652315491479,0.00699877262787563,0.997915437427374,2.12804645572018,2.15497811536827,0.000906258927708427,0.992708348687687,0.634579996055808,0.639241119402988,-0.0105581693842182,-0.656126051170342,-0.645567881786123,"gamma-Glu-cys disulfide","bis-gamma-glutamylcystine","CHEBI:17257",0.307588842208775,-470.41542628243,83.1705600361808,0,"InChI=1S/C16H26N4O10S2/c17-7(13(23)24)1-3-11(21)19-9(15(27)28)5-31-32-6-10(16(29)30)20-12(22)4-2-8(18)14(25)26/h7-10H,1-6,17-18H2,(H,19,21)(H,20,22)(H,23,24)(H,25,26)(H,27,28)(H,29,30)","GOZJYXJJQVGDOJ","C16H26N4O10S2","[M + H]+","C(CC(=O)NC(CSSCC(C(=O)O)NC(=O)CCC(C(=O)O)N)C(=O)O)C(C(=O)O)N","Amino acids and Peptides","Tripeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.80729597353258,0.029940119760479,1.46272045548888,0.121756487025948,-1.26693979201741,0.772455089820359,1.80586049744792,0.109780439121756,0.120866666666667,0.387225548902196
667,"667_928.6_10.8","NA_[667_928.6_10.8]",928.599381296258,10.7796205263158,0.000163546411975024,0.000198008655642345,0.944158310333454,3.78635897936866,3.70331582481147,0.0249551799181688,1.02306744589962,0.603887916690778,0.590271852663398,0.0329012581403759,-0.727647288780105,-0.760548546920481,"1-Deoxy-gla-27",NA,NA,NA,-624.386297226979,131.051648687454,1,"InChI=1S/C48H92NO11P/c1-4-7-10-13-16-19-21-24-27-30-33-36-45(52)58-41(35-32-29-26-23-18-15-12-9-6-3)38-44(51)49-42-40-57-43(39-50)48(60-61(54,55)56)47(42)59-46(53)37-34-31-28-25-22-20-17-14-11-8-5-2/h41-43,47-48,50H,4-40H2,1-3H3,(H,49,51)(H2,54,55,56)","DAJVWAYAPWDUTO","C48H92NO11P","[M + K]+","CCCCCCCCCCCCCC(=O)OC1C(COC(C1OP(=O)(O)O)CO)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC","Fatty acids","Glycerophosphoethanolamines","Glycerophospholipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67131567616219,0.0778443113772455,1.00100150250438,0.239520958083832,1.00100150250438,0.279441117764471,1.89709702683995,0.0658682634730539,0.0637333333333333,0.816367265469062
744,"744_309.24_11.2","NA_[744_309.24_11.2]",309.242391968021,11.17729185,0.0476253347825836,0.00974027562008795,0.401498619382198,1.32216195842986,2.01142875373846,0.396315943774401,0.865941502307227,0.666640545381434,0.769844780051801,-0.207658526265367,-0.585019029401616,-0.377360503136248,"6alpha-Triol",NA,NA,0.192318301291145,-58.5154710795637,55.1475308345467,1,"InChI=1S/C19H32O3/c1-18-7-5-11(20)9-15(18)16(21)10-12-13-3-4-17(22)19(13,2)8-6-14(12)18/h11-17,20-22H,3-10H2,1-2H3","OFAZPSYXUKIJIK","C19H32O3","[M + H]+","CC12CCC3C(C1CCC2O)CC(C4C3(CCC(C4)O)C)O","Terpenoids","Androstane steroids","Steroids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.14793159805948,0.0239520958083832,-1.00100150250438,0.738522954091816,1.73727046020804,0.101796407185629,1.70475944358826,0.117764471057884,0.0788,0.808383233532934
871,"871_455.12_0.6","NA_[871_455.12_0.6]",455.116448836677,0.607910583636364,0.00962624022487146,0.0117981919724857,0.97986101115763,2.01654330461229,1.92818454155279,0.00883552264233098,1.02214057519017,0.672806563852319,0.658232908645799,0.0315936240475948,-0.571736314396866,-0.603329938444461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"422.082542046","InChI=1S/C12H23O14P/c13-1-3-5(14)7(16)9(18)11(24-3)26-12-10(19)8(17)6(15)4(25-12)2-23-27(20,21)22/h3-19H,1-2H2,(H2,20,21,22)/t3-,4-,5+,6+,7+,8+,9-,10-,11-,12-/m1/s1","LABSPYBHMPDTEL-WSWWMNSNSA-N","LABSPYBHMPDTEL","O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@H]1O","C12H23O14P","Gal6P(a1-1a)Gal","http://www.wikidata.org/entity/Q105148557","Carbohydrates","Saccharides","Carbohydrates","Saccharides","Disaccharides","Arabidopsis thaliana","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Brassicales']","['Brassicaceae']","['Camelineae']","['Arabidopsis']","['Arabidopsis thaliana']","nan","309263.0","http://www.wikidata.org/entity/Q158695",6,1.73727046020804,0.0459081836327345,0,0.524950099800399,-1.41705050316284,0.902195608782435,0.372238593617354,0.303393213572854,0.0966984126984127,0.347305389221557
966,"966_511.52_9.2","NA_[966_511.52_9.2]",511.520078386579,9.1987854047619,0.00418359754440589,0.271965700490502,0.0255062757181636,2.37845010058687,0.565485864447393,1.59335294998014,1.41168170134171,0.87833709013099,0.622192020549809,0.497414833891067,-0.187153368192527,-0.684568202083595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fatty acids","Ceramides","Sphingolipids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63736530665978,0.0858283433133733,3.15451017602277,0.0179640718562874,2.46432029045072,0.029940119760479,3.20019659352198,0.0219560878243513,0.227555555555556,0.0379241516966068
