"feature_id_full","feature_id","feature_mz","feature_rt","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_p_value_minus_log10","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_p_value_minus_log10","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change","sample_Biscutella laevigata_treatment_distal_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_proximal_fold_change_log2","sample_Biscutella laevigata_control_NA_vs_sample_Biscutella laevigata_treatment_distal_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"3621_506.22_3.8",3621,506.222742986201,3.84189714736842,3.78406205836512e-06,3.59081171152908e-06,0.98572266920404,5.42204174981133,5.44480736702314,0.00624525562265412,0.992930068602808,0.550666085325672,0.554586977208311,-0.0102359815976044,-0.860750337023507,-0.850514355425902,"Carbohydrates","Small peptides","Aminoglycosides","Tobramax",NA,"NC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O)[C@H](N)C[C@@H]2N)[C@H](N)C[C@@H]1O","C1C(C(C(C(C1N)OC2C(C(C(C(O2)CO)O)N)O)O)OC3C(CC(C(O3)CN)O)N)N",NA,NA,NA,NA,"NLVFBUXFDBBNBW","InChI=1S/C18H37N5O9/c19-3-9-8(25)2-7(22)17(29-9)31-15-5(20)1-6(21)16(14(15)28)32-18-13(27)11(23)12(26)10(4-24)30-18/h5-18,24-28H,1-4,19-23H2/t5-,6+,7+,8-,9+,10+,11-,12+,13+,14-,15+,16-,17+,18+/m0/s1","NLVFBUXFDBBNBW-PBSUHMDJSA-N","InChI=1S/C18H37N5O9/c19-3-9-8(25)2-7(22)17(29-9)31-15-5(20)1-6(21)16(14(15)28)32-18-13(27)11(23)12(26)10(4-24)30-18/h5-18,24-28H,1-4,19-23H2","NLVFBUXFDBBNBW"
"1700_221.19_1.4",1700,221.185970488757,1.4022831,6.1686430095742e-05,0.000112581135299994,0.520684501162037,4.20981036242876,3.94853437610541,0.283425349460819,1.07337446088708,0.617733857840373,0.575506386960102,0.102153467166335,-0.694942688269629,-0.797096155435965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1443_506.22_3.8",1443,506.221664031619,3.773493,0.000118093538186592,0.000128162090555994,0.988127017130132,3.92777386535586,3.89224041707189,0.00518722616827833,1.01091131568703,0.572559422108817,0.566379476838376,0.0156564393473054,-0.80450266624898,-0.820159105596285,"Carbohydrates","Nicotinic acid alkaloids","Pyridine alkaloids","methyl 2-[[3-[(2,4-difluorophenyl)carbamoylamino]-1-(1-methylpyrrole-2-carbonyl)pyrrolidine-2-carbonyl]amino]-3-methylbutanoate",NA,NA,"CC(C)C(C(=O)OC)NC(=O)C1C(CCN1C(=O)C2=CC=CN2C)NC(=O)NC3=C(C=C(C=C3)F)F",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C24H29F2N5O5/c1-13(2)19(23(34)36-4)29-21(32)20-17(9-11-31(20)22(33)18-6-5-10-30(18)3)28-24(35)27-16-8-7-14(25)12-15(16)26/h5-8,10,12-13,17,19-20H,9,11H2,1-4H3,(H,29,32)(H2,27,28,35)","ZLZLMHDIKVHHCG"
"667_928.6_10.8",667,928.599381296258,10.7796205263158,0.000163546411975024,0.000198008655642345,0.944158310333454,3.78635897936866,3.70331582481147,0.0249551799181688,1.02306744589962,0.603887916690778,0.590271852663398,0.0329012581403759,-0.727647288780105,-0.760548546920481,"Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","1-Deoxy-gla-27",NA,NA,"CCCCCCCCCCCCCC(=O)OC1C(COC(C1OP(=O)(O)O)CO)NC(=O)CC(CCCCCCCCCCC)OC(=O)CCCCCCCCCCCCC",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C48H92NO11P/c1-4-7-10-13-16-19-21-24-27-30-33-36-45(52)58-41(35-32-29-26-23-18-15-12-9-6-3)38-44(51)49-42-40-57-43(39-50)48(60-61(54,55)56)47(42)59-46(53)37-34-31-28-25-22-20-17-14-11-8-5-2/h41-43,47-48,50H,4-40H2,1-3H3,(H,49,51)(H2,54,55,56)","DAJVWAYAPWDUTO"
"2908_339.08_2.4",2908,339.084643893772,2.37989517777778,0.000220093838329993,0.000177728597219318,0.93276440558679,3.65739211563266,3.75024268690876,0.0302280350037879,0.971292288302644,0.556949333353548,0.573410640711283,-0.0420225876770483,-0.844382005821755,-0.802359418144707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1800_933.56_10.8",1800,933.556257629394,10.78253025,0.000410320480913606,0.00032425985618445,0.932585567096388,3.38687680492982,3.48910681425247,0.0303113100684235,0.972552203305345,0.594669682272284,0.611452711999646,-0.0401524037310342,-0.749839569451327,-0.709687165720293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2747_309.24_11.6",2747,309.242250141345,11.5596834210526,0.000464136252453451,0.000190722131796495,0.40009014490087,3.33335450866435,3.71959890758646,0.397842146116337,0.896740871933909,0.560757210250911,0.62532803823426,-0.157236940049092,-0.834551829194438,-0.677314889145346,"Fatty acids","Fatty acyls","Fatty alcohols","null",NA,NA,"CC(=O)OC(CCCCCCCCCCCC#C)CC(CO)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C19H34O4/c1-3-4-5-6-7-8-9-10-11-12-13-14-19(23-17(2)21)15-18(22)16-20/h1,18-20,22H,4-16H2,2H3","FHGZOCAZNHYWAL"
"424_333.17_3",424,333.166540848581,3.04495505263158,0.00180709854945649,0.00251898269206208,0.921211661883161,2.74301816270299,2.59877481653037,0.0356405728143549,1.04026738302053,0.629260172247996,0.604902338109331,0.0569543962298116,-0.668271461557333,-0.725225857787144,"Carbohydrates","Aminosugars and aminoglycosides","Aminosugars","null",NA,NA,"CC1CC(C2(C(O1)OC3C(C(C(C(C3O2)NC)O)NC)O)O)(O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C14H26N2O8/c1-5-4-13(19,20)14(21)12(22-5)23-11-9(18)6(15-2)8(17)7(16-3)10(11)24-14/h5-12,15-21H,4H2,1-3H3","JEBSYFSDBYNEEU"
"4026_337.27_11.6",4026,337.273491599343,11.5981836818182,0.00208497974169097,0.00156758167651627,0.938335339471367,2.68089816040944,2.80476982163842,0.0276419270203117,0.966365777448368,0.60255503307739,0.623526874749643,-0.0493587304352042,-0.730835082055975,-0.681476351620771,"Fatty acids","Glycerolipids","Monoacylglycerols","Emalsy MU",NA,"CCCCCCCCCCCCc1oc(OC)c(CC)c(=O)c1C","CCCCCC=CCC=CCCCCCCCC(=O)OCC(CO)O",NA,NA,NA,NA,"JDVDGNAHTZMMBI","InChI=1S/C21H36O3/c1-5-7-8-9-10-11-12-13-14-15-16-19-17(3)20(22)18(6-2)21(23-4)24-19/h5-16H2,1-4H3","JDVDGNAHTZMMBI-UHFFFAOYSA-N","InChI=1S/C21H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h6-7,9-10,20,22-23H,2-5,8,11-19H2,1H3","WECGLUPZRHILCT"
"971_540.31_7",971,540.306570870536,7.01691666666667,0.00217171241196612,0.853490889267979,0.00351541244823483,2.66319768652591,0.0688011104739825,2.45402371374967,1.52825213585518,0.967216621540352,0.632890737626299,0.611882583386432,-0.0480890574883004,-0.659971640874733,"Fatty acids","Glycerophospholipids","Glycerophosphocholines","1-18:3-lysoPC",NA,NA,"CCC=CCC=CCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C26H48NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-26(29)32-23-25(28)24-34-35(30,31)33-22-21-27(2,3)4/h6-7,9-10,12-13,25,28H,5,8,11,14-24H2,1-4H3/p+1","WKQNRCYKYCKESD"
