"factor"	"filename"	"full"	"location"	"mapp_sample_id"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_qid"
"ND"	"202404241731_EB_QC_00.mzML"	"QC_Biscutella laevigata_NA_NA"	"ND"	"EB_QC_00"	"EB_QC_00"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"202404241731_EB_QC_01.mzML"	"QC_Biscutella laevigata_NA_NA"	"ND"	"EB_QC_01"	"EB_QC_01"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"202404241731_EB_QC_02.mzML"	"QC_Biscutella laevigata_NA_NA"	"ND"	"EB_QC_02"	"EB_QC_02"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"202404241731_EB_QC_03.mzML"	"QC_Biscutella laevigata_NA_NA"	"ND"	"EB_QC_03"	"EB_QC_03"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"202404241731_EB_QC_04.mzML"	"QC_Biscutella laevigata_NA_NA"	"ND"	"EB_QC_04"	"EB_QC_04"	"QC"	"Biscutella laevigata"	"Q384640"
"ND"	"202404241731_EB_QC_with_worm_00.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"ND"	"EB_QC_with_worm_00"	"EB_QC_with_worm_00"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"202404241731_EB_QC_with_worm_01.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"ND"	"EB_QC_with_worm_01"	"EB_QC_with_worm_01"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"202404241731_EB_QC_with_worm_02.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"ND"	"EB_QC_with_worm_02"	"EB_QC_with_worm_02"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"202404241731_EB_QC_with_worm_03.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"ND"	"EB_QC_with_worm_03"	"EB_QC_with_worm_03"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"ND"	"202404241731_EB_QC_with_worm_04.mzML"	"QC_Biscutella laevigata, Plutella xylostella_NA_NA"	"ND"	"EB_QC_with_worm_04"	"EB_QC_with_worm_04"	"QC"	"Biscutella laevigata, Plutella xylostella"	"Q1050343, Q384640"
"treatment"	"202404241731_EB_tp24_000011_01_01.mzML"	"sample_Biscutella laevigata_treatment_proximal"	"proximal"	"EB_tp24_000011_01_01"	"EB_tp24_000011_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000012_01_01.mzML"	"sample_Biscutella laevigata_treatment_distal"	"distal"	"EB_tp24_000012_01_01"	"EB_tp24_000012_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000013_01_01.mzML"	"sample_Biscutella laevigata_treatment_proximal"	"proximal"	"EB_tp24_000013_01_01"	"EB_tp24_000013_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000014_01_01.mzML"	"sample_Biscutella laevigata_treatment_proximal"	"proximal"	"EB_tp24_000014_01_01"	"EB_tp24_000014_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000015_01_01.mzML"	"sample_Biscutella laevigata_treatment_distal"	"distal"	"EB_tp24_000015_01_01"	"EB_tp24_000015_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"control"	"202404241731_EB_tp24_000017_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"ND"	"EB_tp24_000017_01_01"	"EB_tp24_000017_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"control"	"202404241731_EB_tp24_000018_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"ND"	"EB_tp24_000018_01_01"	"EB_tp24_000018_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"control"	"202404241731_EB_tp24_000019_01_01.mzML"	"sample_Biscutella laevigata_control_NA"	"ND"	"EB_tp24_000019_01_01"	"EB_tp24_000019_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
"treatment"	"202404241731_EB_tp24_000020_01_01.mzML"	"sample_Biscutella laevigata_treatment_distal"	"distal"	"EB_tp24_000020_01_01"	"EB_tp24_000020_01_01"	"sample"	"Biscutella laevigata"	"Q384640"
