filename	mapp_sample_id	sample_id	sample_type	source_taxon	plant_part
Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML	Blank_dbgi_mapp_blk_pre02	Blank_dbgi_mapp_blk_pre02	BK	NA	NA
Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML	Blank_dbgi_mapp_blk_pre03	Blank_dbgi_mapp_blk_pre03	BK	NA	NA
Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML	Blank_dbgi_mapp_blk_pre01	Blank_dbgi_mapp_blk_pre01	BK	NA	NA
Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML	Blank_dbgi_mapp_blk_pre04	Blank_dbgi_mapp_blk_pre04	BK	NA	NA
Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML	Erythroxylum_coca_dbgi_003208_01_01_Luca	Erythroxylum_coca_dbgi_003208_01_01_Luca	sample	Erythroxylum coca	leaves
Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML	Erythroxylum_coca_dbgi_003208_02_01_Luca	Erythroxylum_coca_dbgi_003208_02_01_Luca	sample	Erythroxylum coca	leaves
Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML	Brugmansia_insignis_dbgi_003224_02_01_Luca	Brugmansia_insignis_dbgi_003224_02_01_Luca	sample	Brugmansia insignis	leaves
Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML	Brugmansia_insignis_dbgi_003224_01_02_Luca	Brugmansia_insignis_dbgi_003224_01_02_Luca	sample	Brugmansia insignis	leaves
Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML	Erythroxylum_australe_tp24_000007_02_02_Luca	Erythroxylum_australe_tp24_000007_02_02_Luca	sample	Erythroxylum australe	stems
Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML	Erythroxylum_australe_tp24_000007_01_01_Luca	Erythroxylum_australe_tp24_000007_01_01_Luca	sample	Erythroxylum australe	leaves
