cluster index	parent mass	RTMean	component	#Scan#	Compound_Name
1	280.1902084350586	4.0246925000000005	28		
2	577.4832458496094	11.9817665	-1		
3	491.3523284912109	9.84143826	-1		
4	238.1070840043771	2.1228222142857143	-1		
5	637.3040059438476	10.406573666666668	-1		
6	496.202751159668	2.4808028	-1	6.0	(2R,3S,4S,5R,6S)-2-[[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-6-(3,4,5-trimethoxyphenoxy)oxane-3,4,5-triol
7	291.1914123535156	1.55942896	48		
8	311.2213577273804	5.386045060000001	111		
9	328.2480712912109	6.28436079	-1		
10	843.48515625	8.53200118	-1		
11	589.4095916748047	10.29332425	44		
12	829.505259205485	9.200701666666667	-1		
13	583.415047785226	9.441455742857144	42		
14	370.2427124033691	3.12617102	29		
15	308.29481506515066	9.516494842857142	5		
16	275.1517639160156	3.89025915	-1		
17	295.226987461322	11.9222443	-1		
18	290.1966880920105	3.89308816	-1		
19	264.12274169921875	2.45258365	107		
20	334.1278940836589	2.2714291	542		
21	598.3071899414062	4.1405512	-1		
22	491.2098007202149	3.6482555	173		
23	775.3861846923828	7.05734215	-1		
24	416.33699035823565	7.777438366666666	-1		
25	699.1888275146484	2.90894455	788		
26	899.4943542480469	9.2020853	-1		
27	147.0439577102661	2.23568355	596		
28	292.1997426359049	2.9424577333333333	631		
29	299.20058188083226	10.09694611111111	351		
30	244.15436281498063	4.364305242857143	-1		
31	652.4769439697266	10.288307	340		
32	400.2126414066569	3.4742927	41		
33	896.5198974609375	8.5500354	-1		
34	368.2280426025391	2.20457345	43		
35	159.14916483561197	0.5229755333333334	-1		
36	361.2363611872152	5.668391933333333	-1		
37	326.26933288762206	7.66869441	-1		
38	567.4198608398438	10.104088	-1		
39	738.4911804199219	8.8522001	-1		
40	518.3240814208984	7.020231470000001	57	40.0	PC(18:3/0:0); [M+H]+ C26H49N1O7P1
41	556.4564819335938	10.61631	-1		
42	492.3899398803711	9.28724593	247		
43	375.19193267822266	6.2463788000000005	-1		
44	414.3214874267578	4.22440165	211		
45	252.19191932678223	4.042547975	-1		
46	444.40437126356505	11.436357999999998	521		
47	518.3829803547974	7.8608408	-1		
48	398.3057708740234	8.600545499999999	591	48.0	PABA-C18:3
49	596.4890441894531	10.279848	191		
50	256.13597615559894	5.010337033333333	451		
51	312.2533620214437	5.5020028	-1		
52	329.31603568165804	7.270636814285715	708		
53	378.1699676513672	5.1005937	251		
54	265.1510147175904	3.4406078	4		
55	305.1566401890346	2.292145728571429	-1		
56	442.2654342651367	4.16920355	184	56.0	NCGC00384922-01!(2R,3R,4S,5S,6R)-2-octoxy-6-[[(2S,3R,4S,5R)-3,4,5-trihydroxyoxan-2-yl]oxymethyl]oxane-3,4,5-triol [IIN-based: Match]
57	534.3419418361207	4.8545078	-1		
58	184.07282638549805	7.33341515	-1	58.0	PHOSPHOCHOLINE
59	775.38671875	6.93082845	-1		
60	367.1958160400391	2.42530525	43		
61	184.1332441062448	1.1337526457142857	41		
62	446.25891876220703	2.24775955	-1		
63	492.2433471679688	4.1621249	67		
64	554.4396362304688	10.797432	-1		
65	290.2112503051758	4.9899964	16		
66	489.29686584472654	8.21027128	-1		
67	165.05450821047975	1.93086274	44	67.0	P-COUMARIC ACID
68	625.4472045898438	8.9134455	-1		
69	349.272476197876	9.4477949	37		
70	201.13153584798167	1.578373383333333	65		
71	364.24684398002114	4.211964883333333	216		
72	579.1499176025391	3.0620177	318	72.0	Spectral Match to Procyanidin B2 from NIST14
73	583.4140625005929	10.087835142857145	-1		
74	230.12087631225583	2.26804595	16		
75	268.22711181807455	5.033965066666667	16		
76	214.1074075712128	1.4474437	-1		
77	486.3277359008789	4.995332	49		
78	291.1914093017578	1.40572748	48		
79	255.9417175353272	1.2978737800000002	145		
80	716.3701171875	5.3749815000000005	49		
81	277.2162185699341	7.71313579	5	81.0	Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14
82	727.350646985026	5.233781033333333	-1		
83	311.0525182088216	2.5908034333333334	-1		
84	718.4733174699708	9.6692077	-1		
85	453.3583908140259	8.703483149999999	50	85.0	gamma-sitosterol
86	472.2749481201172	2.886073000000001	-1		
87	258.1102040648329	0.6150180966666667	57	87.0	SN-GLYCERO-3-PHOSPHOCHOLINE
88	597.4472859834798	11.183398333333336	-1		
89	720.490966796875	9.30847	-1		
90	683.283437093099	10.096087666666667	523		
91	617.4402923583984	10.831318	44		
92	449.23573303222656	3.32380445	-1		
93	468.18592834472656	3.15413265	758		
94	229.1434059183349	3.7208807	141		
95	278.24755605061847	8.3850985	5		
96	308.22248586283365	5.021597016666667	28		
97	363.141716003418	3.1189642	-1		
98	574.3414802601013	4.227806725000001	49		
99	162.07440795898438	0.864245657	569		
100	414.2327829996745	3.3411811	31		
101	311.221610260846	7.28976843	8		
102	377.23280334472656	3.4122852	-1		
