CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
2508	2870	1	0.8985	-14.016
2508	3271	1	0.9482	-0.001
2508	3480	1	0.9514	-28.031
1119	2508	1	0.9068	-17.026
1119	2870	1	0.881	-31.041
1119	3271	1	0.8901	-17.026
1119	3480	1	0.8943	-45.057
2870	3271	1	0.887	14.015
2870	3480	1	0.8851	-14.016
3271	3480	1	0.9575	-28.031
2545	2641	3	0.9503	-21.984
216	2545	3	0.8012	63.995
216	1225	3	0.8498	-26.018
1289	2571	4	0.7382	15.988
1701	2571	4	0.739	15.984
54	2571	4	0.7382	15.992
716	2571	4	0.7331	-26.022
1289	3256	4	0.7529	-15.995
1701	3256	4	0.7499	-15.999
54	3256	4	0.7529	-15.991
1289	2060	4	0.7031	-2.015
1951	2060	4	0.7291	-42.048
54	2060	4	0.7031	-2.011
1289	1701	4	0.9716	0.004
54	1289	4	1.0	0.004
118	1289	4	0.7778	196.110
54	118	4	0.7778	-196.106
118	1701	4	0.7746	196.114
54	1701	4	0.9716	0.008
2428	2534	5	0.9099	14.015
2428	2535	5	0.9006	14.016
2428	3214	5	0.8679	-12.000
2428	3282	5	0.9077	-42.047
2428	3414	5	0.864	-12.000
1284	2428	5	0.906	-42.047
1886	2428	5	0.8786	12.000
2214	2428	5	0.8634	28.032
2168	2227	5	0.8777	56.062
15	2168	5	1.0	0.000
2423	3353	5	0.9455	0.000
2668	3353	5	0.8645	17.027
2970	3353	5	0.899	0.000
3273	3353	5	0.8725	17.027
1868	3353	5	0.8814	0.000
2075	3353	5	0.9198	0.000
428	3353	5	0.8814	0.000
1290	2226	5	0.89	-2.014
1548	2226	5	0.88	12.000
1732	2226	5	0.8995	26.015
2226	3075	5	0.8884	-28.029
2226	3358	5	0.8698	-4.031
1696	2461	5	0.8693	-18.011
1769	2461	5	0.8823	-18.010
1021	2461	5	0.878	0.000
15	2227	5	0.8777	56.063
428	1868	5	1.0	-0.000
428	2075	5	0.8629	0.000
428	2423	5	0.865	0.000
1870	2111	5	0.8924	-36.021
2111	3056	5	0.8666	-138.105
2822	3214	5	0.8765	-2.016
2822	3343	5	0.875	17.026
2822	3414	5	0.8827	-2.016
2822	3445	5	0.9332	0.000
1395	2822	5	0.9159	75.021
1715	2822	5	0.9136	0.000
1886	2822	5	0.8896	2.016
2323	2822	5	0.9325	0.001
95	2822	5	0.9145	0.000
1777	2282	5	0.8635	-28.031
2966	3041	5	0.9128	141.020
2966	3072	5	0.8982	-119.010
2110	2966	5	0.8875	-2.015
879	2966	5	0.8734	-141.019
1891	2788	5	0.8951	-18.010
819	2788	5	0.8732	-46.042
833	2788	5	0.8727	-46.042
987	2788	5	0.9375	-28.031
3041	3072	5	0.8745	-260.030
1732	1810	5	0.8706	341.132
1810	2247	5	0.8935	-179.079
2534	2535	5	0.9232	0.000
2534	3282	5	0.8849	-56.062
1284	2534	5	0.9053	-28.031
1527	2534	5	0.8715	-17.027
2423	3214	5	0.8767	-17.027
3214	3273	5	0.9188	-0.000
3214	3414	5	0.9466	-0.000
3214	3445	5	0.8824	2.016
1870	3214	5	0.9005	0.985
1886	3214	5	0.968	-0.000
2075	3214	5	0.8632	-17.026
672	3214	5	0.8797	0.984
3273	3445	5	0.8776	2.016
3414	3445	5	0.882	2.016
1395	3445	5	0.9096	75.021
1715	3445	5	0.9186	0.000
1886	3445	5	0.8918	2.016
2323	3445	5	0.9248	0.001
95	3445	5	0.9072	0.000
833	3445	5	0.8813	0.984
1290	1548	5	0.8716	-14.014
1548	1732	5	0.8746	-14.016
1548	3075	5	0.8702	-16.030
2985	3075	5	0.8867	-26.015
3075	3358	5	0.8847	23.999
1290	3075	5	0.8889	-30.043
1485	3075	5	0.8759	-162.051
1732	3075	5	0.9098	-2.014
2478	2985	5	0.8889	28.031
2478	3358	5	0.8885	26.015
3273	3414	5	0.9073	0.000
1886	3414	5	0.9492	-0.000
672	3414	5	0.8646	0.984
874	1290	5	0.8902	-162.054
874	2027	5	0.8661	26.019
874	2247	5	0.9127	-28.030
2423	3273	5	0.8939	-17.027
3273	3369	5	0.8659	-56.063
1870	3273	5	0.8792	0.984
1886	3273	5	0.9089	-0.000
2227	3273	5	0.8649	-28.031
848	3273	5	0.8659	56.063
2017	3379	5	0.8975	-0.001
2423	2668	5	0.8673	-17.027
2423	2970	5	0.9034	0.000
1868	2423	5	0.865	0.000
1886	2423	5	0.8733	17.027
2075	2423	5	0.9296	0.000
819	2423	5	0.8627	15.995
1258	1836	5	0.8736	80.988
1372	1836	5	0.8966	-254.100
1395	1836	5	0.9147	-162.053
1836	2240	5	0.8941	-277.240
1836	2658	5	0.9245	-17.027
1836	3147	5	0.8756	-31.042
1836	3379	5	0.8783	-179.080
1836	3534	5	0.8993	162.052
544	1836	5	0.9234	17.027
565	1836	5	0.896	17.027
2535	3282	5	0.9075	-56.063
1284	3282	5	0.8869	-84.094
2214	3282	5	0.8751	-14.015
1284	2535	5	0.8917	-28.031
1527	2535	5	0.8864	-17.026
2214	2535	5	0.8827	42.047
1777	2008	5	0.8693	0.000
774	3358	5	0.8863	-52.105
1696	2863	5	0.8726	-18.011
81	2863	5	0.9288	-18.011
2998	3079	5	0.8917	-0.000
2110	3079	5	0.8726	141.019
1870	1886	5	0.8783	0.985
672	1870	5	0.8701	-0.000
1372	3343	5	0.9095	0.000
2323	3343	5	0.876	17.027
918	3343	5	0.879	29.974
1886	2323	5	0.8665	2.015
672	1886	5	0.8741	0.984
819	833	5	0.9252	-0.000
833	987	5	0.8982	-18.010
833	1715	5	0.8713	0.984
833	1777	5	0.9531	-0.000
833	1891	5	0.8882	-28.032
833	2323	5	0.8694	0.984
918	1696	5	0.87	13.979
918	1707	5	0.8976	-36.021
918	2305	5	0.9104	-18.010
879	2846	5	0.888	-0.001
879	3041	5	0.8986	0.000
1372	2323	5	0.874	-17.027
1395	2323	5	0.911	75.020
1715	2323	5	0.9189	-0.000
2323	3534	5	0.8701	-75.021
95	2323	5	0.9096	-0.001
2985	3358	5	0.9091	-2.016
1372	1696	5	0.8718	-15.995
1372	1715	5	0.8687	-17.027
1372	2338	5	0.8817	-74.036
1372	2658	5	0.8841	-271.127
81	1372	5	0.8756	15.995
544	1372	5	0.887	271.127
1290	1732	5	0.9235	-28.029
819	987	5	0.9396	-18.010
987	1777	5	0.9123	18.010
1284	2214	5	0.8693	-70.078
1891	2558	5	0.8795	-28.031
1707	1813	5	0.9087	-17.027
1813	2305	5	0.8654	35.038
848	3369	5	1.0	-0.000
1707	2305	5	0.8921	18.011
1485	2329	5	0.8833	26.016
544	565	5	0.8853	-0.000
544	1395	5	0.9253	179.079
544	1715	5	0.8667	254.100
544	2240	5	0.8893	-260.214
544	2658	5	0.9326	0.000
544	3379	5	0.879	-162.053
544	3534	5	0.8993	179.079
1868	2075	5	0.8629	0.000
1485	2247	5	0.896	2.016
2658	3379	5	0.9233	-162.053
1395	3379	5	0.9076	-341.132
1732	3379	5	0.8712	260.214
1021	1696	5	0.8625	18.011
1021	1769	5	0.8682	18.010
2110	2338	5	0.8753	141.020
2110	2998	5	0.9213	141.019
1777	1891	5	0.9024	-28.032
819	1891	5	0.8999	-28.032
2998	3041	5	0.9087	-2.015
2338	3041	5	0.8858	-2.015
95	1395	5	0.901	-75.021
95	1715	5	0.891	-0.000
95	3534	5	0.8682	-75.021
1696	1769	5	0.9348	-0.001
2338	2998	5	0.9026	-0.000
565	1258	5	0.8713	-63.961
565	2240	5	0.8723	-260.213
565	2658	5	0.895	0.000
565	3534	5	0.8875	179.079
1732	2247	5	0.9221	162.053
1018	1527	5	0.9306	28.031
1018	2349	5	1.0	0.000
1527	2349	5	0.9306	-28.031
2247	2338	5	0.8914	457.304
1395	1715	5	0.9004	75.021
1395	2658	5	0.9618	-179.079
1395	3534	5	0.908	-0.000
2658	3534	5	0.8954	179.079
1258	3534	5	0.8643	243.040
2240	3534	5	0.8649	439.293
1715	2658	5	0.8794	-254.100
819	1777	5	0.9353	-0.000
2240	2658	5	0.8967	260.214
2075	2970	5	0.893	0.000
1431	2157	6	0.7293	72.210
2157	2309	6	0.7254	56.064
1975	2309	6	0.7787	-56.061
1503	1778	7	0.9339	-2.015
1503	2255	7	0.886	-15.995
1633	2671	7	0.931	0.000
1904	2671	7	0.8703	291.147
1000	2671	7	0.8831	-25.979
1904	2220	7	0.8625	104.085
1267	1778	7	0.8917	15.997
107	993	7	0.9455	-14.017
107	1267	7	0.9293	-28.034
107	1536	7	0.9421	14.014
391	2575	7	0.9072	-86.000
2813	2875	7	0.9326	28.031
2078	2875	7	0.9514	14.016
2266	2875	7	0.9482	-14.016
1267	2255	7	0.8917	2.017
1904	2255	7	0.8925	-39.011
816	1904	7	0.8608	21.909
816	2575	7	0.9099	39.011
1904	2575	7	0.8798	17.102
1904	2078	7	0.8732	12.000
1904	2813	7	0.9045	-2.015
2078	2266	7	0.9594	28.031
2078	2813	7	0.9653	-14.015
993	2078	7	0.8941	39.011
1536	2266	7	0.8684	39.012
2266	2813	7	0.9378	-42.047
1000	1633	7	0.8671	-25.979
1267	1536	7	0.9237	42.047
1267	2813	7	0.8885	39.012
993	1267	7	0.9335	-14.017
993	1536	7	0.9397	28.030
101	843	8	1.0	-0.000
1687	2597	9	0.8805	-15.995
762	779	11	0.7078	0.000
1618	1631	13	0.7067	28.032
3090	3450	14	0.8125	0.000
516	3090	14	0.8243	-0.000
516	3450	14	0.7968	0.000
630	1709	16	0.9723	14.016
630	2468	16	0.9723	14.016
1586	1746	16	0.978	14.016
1746	2368	16	0.9852	15.995
1746	2369	16	0.9821	66.010
65	1746	16	0.981	14.052
74	1746	16	0.9844	-46.038
345	1746	16	0.9812	-40.031
355	1746	16	0.9824	-63.995
878	1746	16	0.9787	-35.964
