feature_id	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final
3552	698	Alkaloids	0.2222222222222222	Ornithine alkaloids	0.2222222222222222	Polyamines	0.1111111111111111	1.0	0.7610621	ISDB									XPIMOOLZEIEDTA							['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']	['Unknown']											0	0	3.044248342514038	1
3550	839	Fatty acids	1.0	Sphingolipids	1.0	Neutral glycosphingolipids	1.0	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q105276895	UPNWIBPHYOJXOA-BWALXXMCSA-N	InChI=1S/C46H89NO10/c1-3-5-7-9-11-13-15-17-18-19-20-21-22-24-26-28-30-32-34-39(50)45(55)47-37(36-56-46-44(54)43(53)42(52)40(35-48)57-46)41(51)38(49)33-31-29-27-25-23-16-14-12-10-8-6-4-2/h25,27,37-44,46,48-54H,3-24,26,28-36H2,1-2H3,(H,47,55)/b27-25+/t37-,38+,39+,40+,41-,42+,43-,44+,46+/m0/s1	CCCCCCCCC/C=C/CCC[C@@H](O)[C@@H](O)[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)NC(=O)[C@H](O)CCCCCCCCCCCCCCCCCCCC	C46H89NO10	pos_1_1proton	815.648648048	(2R)-N-[(E,2S,3S,4R)-3,4-dihydroxy-1-[(2R,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoctadec-8-en-2-yl]-2-hydroxydocosanamide	UPNWIBPHYOJXOA	Fatty acids	Sphingolipids	Neutral glycosphingolipids	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	3	7.5	1
3544	-1							2.0	0.28230074	ISDB	http://www.wikidata.org/entity/Q104969797	CTHDLZOITPXSJS-XPBQOANCSA-N	InChI=1S/C29H36O2/c1-18-7-11-24(12-8-18)28-26(30-28)16-22(5)20(3)15-21(4)23(6)17-27-29(31-27)25-13-9-19(2)10-14-25/h7-14,20-21,26-29H,5-6,15-17H2,1-4H3/t20-,21+,26-,27-,28-,29-/m1/s1	C=C(C[C@H]1O[C@@H]1c1ccc(C)cc1)[C@H](C)C[C@H](C)C(=C)C[C@H]1O[C@@H]1c1ccc(C)cc1	C29H36O2		416.27153039199993	(2R,3R)-2-[(3R,5S)-3,5-dimethyl-2-methylidene-6-[[(2R,3R)-3-(4-methylphenyl)oxiran-2-yl]methyl]hept-6-enyl]-3-(4-methylphenyl)oxirane	CTHDLZOITPXSJS	Terpenoids	Sesquiterpenoids	Bisabolane sesquiterpenoids	http://www.wikidata.org/entity/Q15246890	Machilus zuihoensis	36198.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Laurales']	['Lauraceae']	['Unknown']	['Machilus']	['Machilus zuihoensis']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.129202961921692	1
3543	42	Terpenoids	0.7708333333333334	Carotenoids (C40)	0.3958333333333333	Carotenoids (C40, β-κ)	0.2916666666666667	4.0	0.0	MS1_match	http://www.wikidata.org/entity/Q385657	FDSDTBUPSURDBL-DKLMTRRASA-N	InChI=1S/C40H52O2/c1-29(17-13-19-31(3)21-23-35-33(5)37(41)25-27-39(35,7)8)15-11-12-16-30(2)18-14-20-32(4)22-24-36-34(6)38(42)26-28-40(36,9)10/h11-24H,25-28H2,1-10H3/b12-11+,17-13+,18-14+,23-21+,24-22+,29-15+,30-16+,31-19+,32-20+	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C(=O)CCC2(C)C)C(C)(C)CCC1=O	C40H52O2	pos_1_1proton	564.396730904	Canthaxanthin	FDSDTBUPSURDBL	Terpenoids	Carotenoids (C40)	Carotenoids (C40, β-β)	http://www.wikidata.org/entity/Q1380	Capsicum annuum	473836.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Capsiceae']	['Capsicum']	['Capsicum annuum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	2	7.0	1
3542	202	Fatty acids	1.0	Fatty Acids and Conjugates	0.75	Oxo fatty acids	0.75	14.0	0.0	MS1_match	http://www.wikidata.org/entity/Q407426	OYHQOLUKZRVURQ-HZJYTTRNSA-N	InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	C18H32O2	pos_1_1proton1methanol	280.240230264	Linoleic Acid	OYHQOLUKZRVURQ	Fatty acids	Fatty Acids and Conjugates	Unsaturated fatty acids	http://www.wikidata.org/entity/Q15376855	Erythroxylum monogynum	324562.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Erythroxylaceae']	['Unknown']	['Erythroxylum']	['Erythroxylum monogynum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Erythroxylaceae']		['Erythroxylum']		7	2	8.0	1
3539	-1							1.0	0.7309511	ISDB	http://www.wikidata.org/entity/Q105125785	JDVDGNAHTZMMBI-UHFFFAOYSA-N	InChI=1S/C21H36O3/c1-5-7-8-9-10-11-12-13-14-15-16-19-17(3)20(22)18(6-2)21(23-4)24-19/h5-16H2,1-4H3	CCCCCCCCCCCCc1oc(OC)c(CC)c(=O)c1C	C21H36O3		336.266445012	8-Methylpodopyrone	JDVDGNAHTZMMBI	Polyketides	Cyclic polyketides	4-pyrone derivatives	http://www.wikidata.org/entity/Q15597591	Podolepis rugata	24091.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Asterales']	['Asteraceae']	['Gnaphalieae']	['Podolepis']	['Podolepis rugata']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	6.92380428314209	1
3536	104	Alkaloids	0.8823529411764706	Ornithine alkaloids	0.7058823529411765	Tropane alkaloids	0.6470588235294118	2.0	0.748872	ISDB	http://www.wikidata.org/entity/Q105279530	UUQGYKIAWSKORN-WISYIIOYSA-N	InChI=1S/C13H21NO3/c1-8(2)4-13(16)17-10-5-9-6-12(15)11(7-10)14(9)3/h4,9-12,15H,5-7H2,1-3H3/t9-,10-,11+,12-/m1/s1	CC(C)=CC(=O)O[C@@H]1C[C@@H]2C[C@@H](O)[C@H](C1)N2C	C13H21NO3		239.152143532	3alpha-Senecioyloxy-7beta-hydroxytropane	UUQGYKIAWSKORN	Alkaloids	Ornithine alkaloids	Tropane alkaloids	http://www.wikidata.org/entity/Q320409	Schizanthus grahamii	94236.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Unknown']	['Schizanthus']	['Schizanthus grahamii']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	3	8.495487928390503	1
3534	5	Fatty acids	0.7444444444444445	Diterpenoids	0.37777777777777777	Fatty aldehydes	0.17777777777777778	1.0	0.7640532	ISDB	http://www.wikidata.org/entity/Q27145340	ZCCLDKGWJIREQF-PDBXOOCHSA-N	InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-20(18-22)19-23/h3-4,6-7,9-10,20,22-23H,2,5,8,11-19H2,1H3/b4-3-,7-6-,10-9-	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC(CO)CO	C21H36O4		352.261359632	2-Monolinolenin	ZCCLDKGWJIREQF	Fatty acids	Glycerolipids	Monoacylglycerols	http://www.wikidata.org/entity/Q10660730	Halimodendron halodendron	761641.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Fabales']	['Fabaceae']	['Caraganeae']	['Halimodendron']	['Halimodendron halodendron']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	1	7.556212902069092	1
3531	-1							17.0	0.5729268	ISDB	http://www.wikidata.org/entity/Q105026042	HCXQUFPQHLFUCK-RXCZXEIFSA-N	InChI=1S/C21H34O3/c1-19-8-4-9-20(2,18(23)24-3)16(19)7-10-21-11-14(5-6-17(19)21)15(12-21)13-22/h14-17,22H,4-13H2,1-3H3/t14-,15+,16+,17+,19-,20-,21+/m1/s1	COC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@@H]4C[C@@]3(CC[C@@H]21)C[C@H]4CO	C21H34O3		334.250794948	methyl (1S,4S,5R,9S,10R,13R,14R)-14-(hydroxymethyl)-5,9-dimethyltetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylate	HCXQUFPQHLFUCK	Terpenoids	Diterpenoids	Kaurane and Phyllocladane diterpenoids	http://www.wikidata.org/entity/Q15385591	Beyeria leschenaultii	526463.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']	['Euphorbiaceae']	['Ricinocarpeae']	['Beyeria']	['Beyeria leschenaultii']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Malpighiales']					5	0	7.291707277297974	1
3528	-1							1.0	0.8836139	ISDB	http://www.wikidata.org/entity/Q116907	RWSXRVCMGQZWBV-WDSKDSINSA-N	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	C10H17N3O6S		307.083806264	(2S)-2-azaniumyl-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoate	RWSXRVCMGQZWBV	Amino acids and Peptides	Small peptides	Tripeptides	http://www.wikidata.org/entity/Q23501	Solanum lycopersicum	378964.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lycopersicum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	0	9.53445553779602	1
3526	-1							8.0	0.3322953	ISDB	http://www.wikidata.org/entity/Q105121041	IVGYNKMUKVTWBT-ZNABNZNXSA-N	InChI=1S/C30H48/c1-20(2)21-11-13-28(6)22(21)12-14-30(8)25(28)10-9-23-24-19-26(3,4)15-16-27(24,5)17-18-29(23,30)7/h9,12,20-21,24-25H,10-11,13-19H2,1-8H3/t21-,24+,25-,27-,28+,29-,30-/m1/s1	CC(C)[C@H]1CC[C@@]2(C)C1=CC[C@]1(C)[C@@H]2CC=C2[C@@H]3CC(C)(C)CC[C@]3(C)CC[C@]21C	C30H48		408.375601536	(3R,5aR,5bS,7aR,11aR,13aR,13bR)-5a,5b,7a,10,10,13b-hexamethyl-3-propan-2-yl-1,2,3,5,6,7,8,9,11,11a,13,13a-dodecahydrocyclopenta[a]chrysene	IVGYNKMUKVTWBT	Terpenoids	Triterpenoids	Fernane and Arborinane triterpenoids	http://www.wikidata.org/entity/Q156928	Viburnum opulus	117453.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Dipsacales']	['Adoxaceae']	['Unknown']	['Viburnum']	['Viburnum opulus']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']						4	0	5.32918119430542	1
3520	164	Terpenoids	1.0	Sesquiterpenoids	1.0	Eudesmane sesquiterpenoids	0.75	39.0	0.0	MS1_match	http://www.wikidata.org/entity/Q63396593	ZTVSGQPHMUYCRS-SWLSCSKDSA-N	InChI=1S/C15H18O2/c1-9-5-4-6-15(3)8-13-11(7-12(9)15)10(2)14(16)17-13/h8,12H,1,4-7H2,2-3H3/t12-,15+/m0/s1	C=C1CCC[C@]2(C)C=C3OC(=O)C(C)=C3C[C@@H]12	C15H18O2	pos_1_1proton1isopropanol	230.130679816	Atractylenolide I	ZTVSGQPHMUYCRS	Terpenoids	Sesquiterpenoids	Eudesmane sesquiterpenoids	http://www.wikidata.org/entity/Q5769249	Solanum lyratum	693272.0	['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']	['Solaneae']	['Solanum']	['Solanum lyratum']		['Eukaryota']	['Archaeplastida']	['Streptophyta']	['Magnoliopsida']	['Solanales']	['Solanaceae']				6	3	7.5	1
