row ID,row m/z,row retention time,Blank_202404241731_EB_dbgi_mapp_blk_pre02.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre03.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre01.mzML Peak area,Blank_202404241731_EB_dbgi_mapp_blk_pre04.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_01_01_Luca.mzML Peak area,Erythroxylum_coca_202404241731_EB_dbgi_003208_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_02_01_Luca.mzML Peak area,Brugmansia_insignis_202404241731_EB_dbgi_003224_01_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_02_02_Luca.mzML Peak area,Erythroxylum_australe_202404241731_EB_tp24_000007_01_01_Luca.mzML Peak area,
1,280.1902084350586,4.0246925000000005,0,0,0,0,0,0,0,0,40576.11442157666,945497.336411122,
2,577.4832458496094,11.981766499999999,0,0,0,0,0,0,0,0,324196.474781257,48550.561982404135,
3,491.3523284912109,9.84143826,0,0,0,0,47650.293481498265,51814.03821404515,529445.3963622554,860400.058636084,0,23025.059760181797,
4,238.1070840043771,2.1228222142857143,2757.771047805556,1493.1212197796988,2655.9637890519693,976.429189250604,0,0,0,8283.534698671932,218971.98876402518,495897.82034062187,
5,637.3040059438476,10.406573666666667,0,0,0,0,5484.548030361182,15259.21145708378,0,0,0,1123960.8254681604,
6,496.20275115966797,2.4808028,0,0,0,0,0,0,0,0,1712896.1276549206,82467.69103531324,
7,291.1914123535156,1.55942896,0,0,0,0,5294368.875505482,6066929.239256255,1126061.1626936242,689847.5297343275,0,195778.3336257191,
8,311.2213577273804,5.386045060000001,3641.089951264928,2047.4463713163505,1839.4312563339213,2510.484470974755,7674.210245986894,7462.640232914664,13854.662049673849,12845.147024193577,447385.65489564906,29949.747950338013,
9,328.2480712912109,6.28436079,9691.662375235846,7734.564338442687,8109.065697888018,6242.134471463407,36610.821440254505,22966.001733230343,55483.57657857574,76765.03728493289,1044480.4919869986,213585.7296930357,
10,843.48515625,8.53200118,0,0,0,0,38350.38271283354,51794.22435698782,42767.56469529352,38225.99652022903,0,2238160.608771094,
11,589.4095916748047,10.29332425,0,0,0,0,5537.688609696812,0,0,24820.344411298993,2309212.140116011,898990.2317384778,
12,829.505259205485,9.200701666666667,0,0,0,0,2284.2529888912827,11628.635383996078,0,0,0,705223.6352290997,
13,583.415047785226,9.441455742857144,0,0,0,588.9248291232025,1620450.75725811,1848469.9168939744,4091602.2455478543,6107070.186896233,150496.42195280243,424251.13630667515,
14,370.2427124033691,3.12617102,520.5733380373287,536.8882242055047,502.6095266571863,0,0,0,0,0,1.11499292591297E7,1.910360505267499E7,
15,308.29481506515066,9.516494842857142,0,0,0,652.269970264231,2416581.9829636416,2427151.9077591025,2513277.3351949747,2445686.8650448034,2268741.1787167955,2578900.135176167,
16,275.1517639160156,3.89025915,0,0,0,0,0,0,3500863.990758703,4188332.5391929476,0,0,
17,295.226987461322,11.922244300000001,7799.514159221515,7151.772536634622,13119.687626095912,6497.198045284138,17908.069878152895,18448.76545387183,45508.7913833346,42382.10471573632,1780034.589526393,60608.10695086035,
18,290.1966880920105,3.89308816,12331.49001973271,9776.726350616,12195.397926054884,10933.282009900566,93511.33615499298,63478.759423886375,1318229.3541724181,1567164.8386259996,396016.2173141482,247317.2122278387,
19,264.12274169921875,2.4525836500000002,0,0,0,0,47575.10920202837,54314.4944296677,0,0,442581.1479252355,2.025992290550374E7,
20,334.1278940836589,2.2714291,0,0,486.94896002087535,0,0,0,0,0,272156.25176630955,274648.5315642894,
21,598.3071899414062,4.1405512,0,0,0,0,0,0,436409.69793494925,627184.864865905,0,0,
22,491.20980072021484,3.6482555000000003,0,0,0,0,0,0,0,0,525426.536661429,1022263.7852562321,
23,775.3861846923828,7.05734215,0,0,0,0,0,0,38500.65097861339,0,0,2194634.723700835,
