id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_mapp_batch_00110_sirius_1	C16H27NO4	[M - H2O + H]+	C16H25NO3	Alkaloids	0.651449978351593	Ornithine alkaloids	0.48461616039276123	Pyrrolizidine alkaloids	0.6861880421638489	N-acyl amines	0.07213782519102097	N-acyl amines	0.07213782519102097	Fatty amides	0.05303110554814339	Fatty Acyls	0.6175936460494995	Lipids and lipid-like molecules	0.5828354358673096	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Pyrrolidines; Pyrrolizidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; N-alkylpyrrolidines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1
2_mapp_batch_00110_sirius_3	C33H46O3	[M + H]+	C33H46O3	Terpenoids	0.9996967315673828	Triterpenoids	0.9978083968162537	Lupane triterpenoids	0.31602591276168823	Triterpenoids	0.9977263808250427			Triterpenoids	0.9977263808250427	Prenol lipids	0.974280059337616	Lipids and lipid-like molecules	0.9847449660301208	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Triterpenoids; Carbonyl compounds; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	3
3_mapp_batch_00110_sirius_4	C12H15NO4	[M + H]+	C12H15NO4	Alkaloids	0.9771894812583923	Ornithine alkaloids	0.6661279797554016	Pyrrolidine alkaloids	0.3478187024593353	Amino acids and derivatives	0.6311774253845215	Amino acids and derivatives	0.6311774253845215	Amino acids, peptides, and analogues	0.6261100769042969	Carboxylic acids and derivatives	0.9992914199829102	Organic acids and derivatives	0.9997273087501526	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Lactams; Piperidines; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Pyrrolidones; Carboxylic acids; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Piperidinecarboxylic acids and derivatives; Trialkylamines; Benzene and substituted derivatives; Piperidinecarboxylic acids; Pyrrolidine carboxylic acids; Tertiary amines; Pyrrolidine-2-ones; N-alkylpyrrolidines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	4
5_mapp_batch_00110_sirius_6	C20H33NO13	[M + H]+	C20H33NO13	Shikimates and Phenylpropanoids	0.13237863779067993	Phloroglucinols	0.14680053293704987	Phenylethylamines	0.013944434933364391	Disaccharides	0.9535616040229797	Disaccharides	0.9535616040229797	Carbohydrates and carbohydrate conjugates	0.9978061318397522	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alkyl aryl ethers; Alcohols and polyols; Anisoles; Ethers; Organonitrogen compounds; Aniline and substituted anilines; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxolanes; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Phenol ethers; Benzenoids; Phenylalkylamines; Methoxyanilines; Methoxybenzenes; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Phenoxy compounds; Chemical entities	6
6_mapp_batch_00110_sirius_8	C18H30O4	[M + H]+	C18H30O4	Fatty acids	0.5394387245178223	Octadecanoids	0.6916263103485107	Other Octadecanoids	0.6558059453964233	Lineolic acids and derivatives	0.7625178694725037			Lineolic acids and derivatives	0.7625178694725037	Fatty Acyls	0.9363638162612915	Lipids and lipid-like molecules	0.94626384973526	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	8
7_mapp_batch_00110_sirius_9	C18H33NO4	[M + H]+	C18H33NO4	Fatty acids	0.9145106077194214	Fatty Acids and Conjugates	0.594643771648407	Nitro fatty acids	0.9162018895149231	Alpha amino acids and derivatives	0.3904210329055786	Amino acids and derivatives	0.3436163365840912	Amino acids, peptides, and analogues	0.3526704013347626	Carboxylic acids and derivatives	0.9927384257316589	Organic acids and derivatives	0.9945675134658813	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Organic nitro compounds; Carboxylic acids; Organic oxoazanium compounds; Carbonyl compounds; Long-chain fatty acids; Organic 1,3-dipolar compounds; Allyl-type 1,3-dipolar organic compounds; Propargyl-type 1,3-dipolar organic compounds; Fatty Acyls; Organic oxides; C-nitro compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9
9_mapp_batch_00110_sirius_11	C35H56O7	[M + H]+	C35H56O7	Terpenoids	0.975593090057373	Triterpenoids	0.9674911499023438	Labdane diterpenoids	0.46410173177719116	Triterpenoids	0.7677100896835327			Triterpenoids	0.7677100896835327	Prenol lipids	0.8733901977539062	Lipids and lipid-like molecules	0.9949276447296143	Organic compounds; Lipids and lipid-like molecules; Styrenes; Coumaric acids and derivatives; Alkyl aryl ethers; Alcohols and polyols; Phenols; Anisoles; Methoxyphenols; Ethers; Prenol lipids; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Dicarboxylic acids and derivatives; Cinnamic acids and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Hydroxycinnamic acids and derivatives; Triterpenoids; Secondary alcohols; Carbonyl compounds; Benzene and substituted derivatives; Phenol ethers; Benzenoids; Cinnamic acid esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Organic oxides; Methoxybenzenes; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Phenoxy compounds; Chemical entities	11
11_mapp_batch_00110_sirius_14	C15H33N5O4	[M + Na]+	C15H33N5O4	Alkaloids	0.9426941275596619	Ornithine alkaloids	0.5055156350135803	Polyamines	0.11887241899967194	Guanidines	0.9781191349029541			Guanidines	0.9781191349029541	Organonitrogen compounds	0.9999696016311646	Organic nitrogen compounds	0.9999979734420776	Organic compounds; Organonitrogen compounds; Organooxygen compounds; Guanidines; Monoalkylamines; Amines; Primary amines; Tertiary amines; Alkanolamines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	14
12_mapp_batch_00110_sirius_15	C20H39NO2	[M - H2O + H]+	C20H37NO	Fatty acids	0.9624066948890686	Fatty amides	0.7815453410148621	Sphingoid bases	0.29091179370880127	N-acylethanolamines	0.8070052266120911	Alkanolamines	0.8563295006752014	Amines	0.9203454256057739	Organonitrogen compounds	0.9999949932098389	Organic nitrogen compounds	0.9999997615814209	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acylethanolamines; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	15
13_mapp_batch_00110_sirius_17	C18H30O3	[M + H]+	C18H30O3	Fatty acids	0.8584762811660767	Octadecanoids	0.6094959378242493	Other Octadecanoids	0.7631008625030518	Lineolic acids and derivatives	0.750076413154602			Lineolic acids and derivatives	0.750076413154602	Fatty Acyls	0.8339017629623413	Lipids and lipid-like molecules	0.9204095602035522	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Unsaturated fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Enones; Secondary alcohols; Carbonyl compounds; Long-chain fatty acids; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	17
