confidenceRank	structurePerIdRank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id	featureId
1	1	1	1	2	0.9999405806058522	-373.9463629606074	0.5095477386934674	46.56393732190329	C41H71N5O9	[M + Na]+	RWDZWKKRSSTUCK	InChI=1S/C41H71N5O9/c1-14-16-17-20-30-41(11,12)40(53)44-31(24(5)6)36(49)45(13)32(25(7)8)39(52)55-33(26(9)15-2)37(50)46-21-18-19-29(46)35(48)43-28(22-23(3)4)34(47)42-27(10)38(51)54-30/h23-33H,14-22H2,1-13H3,(H,42,47)(H,43,48)(H,44,53)	null	CCCCCC1C(C(=O)NC(C(=O)N(C(C(=O)OC(C(=O)N2CCCC2C(=O)NC(C(=O)NC(C(=O)O1)C)CC(C)C)C(C)CC)C(C)C)C)C(C)C)(C)C	7.30000019	132506218;139589742	MeSH:(132506218);PubChem:(132506218 139589742);PubMed	70	800.5175170898438	656.3646	3187_mapp_batch_00110_sirius_3527	3527
2	1	1	2	2	0.9991078671982279	-7.7265641958957545	0.9999999999999999	57.68268820808512	C15H17NO4	[M + H]+	CMYJDRSCSOXYHG	InChI=1S/C15H17NO4/c17-14(18)13-11-7-6-10(16-11)8-12(13)20-15(19)9-4-2-1-3-5-9/h1-5,10-13,16H,6-8H2,(H,17,18)	Benzoylnorecgonine	C1CC2C(C(CC1N2)OC(=O)C3=CC=CC=C3)C(=O)O	1.68934381	114718;173736;415793;5289268;13475820;24188189;44385815;86308430;86308431;92161073;92301499;98369948;98369949;139594571	NORMAN:(NS00010186);PubChem:(114718 173736 415793 5289268 13475820 24188189 44385815 86308430 86308431 92161073 92301499 98369948 98369949 139594571);additional;PubChem class - bio and metabolites;MeSH:(114718);PubChem class - safety and toxic;Training Set;PubMed;KEGG Mine	8674623558	276.1228942871094	174.476532	2486_mapp_batch_00110_sirius_2780	2780
3	1	1	2	2	0.9982715460500967	-2.2925680561257176	0.9999999999999999	38.37533287857719	C15H19NO2	[M + H]+	XQJMXPAEFMWDOZ	InChI=1S/C15H19NO2/c1-16-12-7-8-13(16)10-14(9-12)18-15(17)11-5-3-2-4-6-11/h2-6,12-14H,7-10H2,1H3	Tropacaine	CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3	3.0	10834;637578;6919033;6942461;11859117;44300682	SuperNatural:(SN00298342 SN00345705);ZINC bio:(ZINC00271983 ZINC12410430);additional;MeSH:(10834 637578);PubMed;NORMAN:(NS00042039);COCONUT:(CNP0132352);KNApSAcK:(25552);Natural Products:(UNPD99824 UNPD112051);PubChem:(10834 637578 6919033 6942461 11859117 44300682);CHEBI:(9755 3043);KEGG:(C10848 C11381);PubChem class - safety and toxic;Training Set	71098742	246.148193359375	191.94753599999999	2845_mapp_batch_00110_sirius_3158	3158
4	1	1	2	2	0.9982714398205975	-2.2921351123799854	0.9999999999999999	30.939578825943705	C15H19NO2	[M + H]+	XQJMXPAEFMWDOZ	InChI=1S/C15H19NO2/c1-16-12-7-8-13(16)10-14(9-12)18-15(17)11-5-3-2-4-6-11/h2-6,12-14H,7-10H2,1H3	Tropacaine	CN1C2CCC1CC(C2)OC(=O)C3=CC=CC=C3	3.0	10834;637578;6919033;6942461;11859117;44300682	SuperNatural:(SN00298342 SN00345705);ZINC bio:(ZINC00271983 ZINC12410430);additional;MeSH:(10834 637578);PubMed;NORMAN:(NS00042039);COCONUT:(CNP0132352);KNApSAcK:(25552);Natural Products:(UNPD99824 UNPD112051);PubChem:(10834 637578 6919033 6942461 11859117 44300682);CHEBI:(9755 3043);KEGG:(C10848 C11381);PubChem class - safety and toxic;Training Set	71098742	246.14817810058594	191.94753599999999	2258_mapp_batch_00110_sirius_2527	2527
5	1	1	2	2	0.9975487905980513	-0.312558544505353	0.9999999999999999	86.35632094826842	C11H12N2O2	[M + H]+	QIVBCDIJIAJPQS	InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)	Pacitron	C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)N	0.719671071	1148;6305;9060;148495;165635;444881;450586;3090777;4099458;5460853;5460842;5460846;5460847;10608299;6923516;6923517;12209732;12209735;12209740;12209741;12209743;12209744;12209745;12209747;12209749;12209751;12209752;12209758;9990558;10998177;10130455;12968609;11063573;10375724;16055314;16055538;18728411;16217284;16217285;22525023;22525024;22525025;25240582;25241001;46783211;51037434;51037435;51037436;54230365;54230366;54230367;59340907;59373185;58478484;58478529;58478567;58478568;58478578;58478580;58478591;58478601;58478603;71752878;71309138;71309644;87528068;88162003;89059443;90793774;101738964;101759576;102176481;101365132;102243993;119077376;118264382;123282542;123759225;122412257;122412258;124202799;132562672;132562673;132562674;132562675;132562676;129716752;129723314;129843791;131698648;129882765;129882951;138986914	HMDB:(929 13609 30396);PubChem class - food;ZINC bio:(ZINC00083315 ZINC00083317);additional;HSDB:(73-22-3);MeSH:(1148 6305 9060);Plantcyc:(D-TRYPTOPHAN TRP);PubMed;NORMAN:(NS00003513);COCONUT:(CNP0167976);KNApSAcK:(1396);Natural Products:(UNPD149555 UNPD173611);PubChem:(1148 6305 9060 148495 165635 444881 450586 3090777 4099458 5460853 5460842 5460846 5460847 10608299 6923516 6923517 12209732 12209735 12209740 12209741 12209743 12209744 12209745 12209747 12209749 12209751 12209752 12209758 9990558 10998177 10130455 12968609 11063573 10375724 16055314 16055538 18728411 16217284 16217285 22525023 22525024 22525025 25240582 25241001 46783211 51037434 51037435 51037436 54230365 54230366 54230367 59340907 59373185 58478484 58478529 58478567 58478568 58478578 58478580 58478591 58478601 58478603 71752878 71309138 71309644 87528068 88162003 89059443 90793774 101738964 101759576 102176481 101365132 102243993 119077376 118264382 123282542 123759225 122412257 122412258 124202799 132562672 132562673 132562674 132562675 132562676 129716752 129723314 129843791 131698648 129882765 129882951 138986914);CHEBI:(57912 32728 27897 32717 32704 64554 32727 57719 16296 32716 32702 16828);PubChem class - bio and metabolites;KEGG:(C00078 C00806 C00525);PubChem class - safety and toxic;YMDB:(998 126);Training Set;PubChem class - drug;Biocyc:(SMA-0000579 TRP D-TRYPTOPHAN)	254798718	205.09695434570312	122.58148200000001	1828_mapp_batch_00110_sirius_2067	2067
6	1	2	1	3	0.9958921200840534	-54.359274029440826	0.02512562814070352	31.905184605508637	C34H68NO10P	[M + Na]+	YRALPODMPYELLT	InChI=1S/C34H68NO10P/c1-35(2,3)26-29-43-46(38,39)44-31-32(45-34(37)25-21-17-13-9-7-11-15-19-23-28-41-5)30-42-33(36)24-20-16-12-8-6-10-14-18-22-27-40-4/h32H,6-31H2,1-5H3/p+1	Lecithin, 12MO deriv.	C[N+](C)(C)CCOP(=O)(O)OCC(COC(=O)CCCCCCCCCCCOC)OC(=O)CCCCCCCCCCCOC	7.0999999	454702;454703;3081311;9852945;9852946	MeSH:(3081311);PubChem:(454702 454703 3081311 9852945 9852946);PubMed	70	704.4491271972656	542.0329320000001	199_mapp_batch_00110_sirius_230	230
7	1	1	2	2	0.9945481320154128	-40.62892805970708	0.9999999999999999	43.02525038597328	C12H18N4O	[M + H]+	ZRBMNUPECIGKKJ	InChI=1S/C12H18N4O/c13-12(14)16-9-5-4-8-15-11(17)10-6-2-1-3-7-10/h1-3,6-7H,4-5,8-9H2,(H,15,17)(H4,13,14,16)	Benzoylagmatine	C1=CC=C(C=C1)C(=O)NCCCCN=C(N)N	0.91207242	439689;25200786	KEGG:(C02253);PubChem:(439689 25200786);CHEBI:(57708 16270);Biocyc:(CPD-566)	2338	235.15560913085938	143.951892	2431_mapp_batch_00110_sirius_2721	2721
8	1	1	2	2	0.9934983573972217	-4.877940536312785	0.9999999999999999	42.829365004820694	C16H19NO4	[M + H]+	AYDBLCSLKNTEJL	InChI=1S/C16H19NO4/c1-20-16(19)14-12-8-7-11(17-12)9-13(14)21-15(18)10-5-3-2-4-6-10/h2-6,11-14,17H,7-9H2,1H3	nor-cocaine	COC(=O)C1C2CCC(N2)CC1OC(=O)C3=CC=CC=C3	2.09907246	597722;644007;449826;14094791;14094793;14094794;10334351;44246522;44273723;44281520;44297321;44345539;46782579;44385553;71751176;76973584;117065125;124385756;133124994	NORMAN:(NS00001162);COCONUT:(CNP0174012);PubChem:(597722 644007 449826 14094791 14094793 14094794 10334351 44246522 44273723 44281520 44297321 44345539 46782579 44385553 71751176 76973584 117065125 124385756 133124994);ZINC bio:(ZINC06523803 ZINC06523804 ZINC13404422);additional;MeSH:(644007);PubChem class - safety and toxic;Training Set;PubMed;KEGG Mine	8659951686	290.13848876953125	209.438148	2675_mapp_batch_00110_sirius_2978	2978
9	1	1	2	2	0.9931650125404456	-5.325623937645346	0.9999999999999999	37.52800900604123	C14H20N2O3	[M + H]+	SFUVCMKSYKHYLD	InChI=1S/C14H20N2O3/c1-19-13-10-11(4-6-12(13)17)5-7-14(18)16-9-3-2-8-15/h4-7,10,17H,2-3,8-9,15H2,1H3,(H,16,18)	Subaphyllin	COC1=C(C=CC(=C1)C=CC(=O)NCCCCN)O	1.05422425	10384;5281796;92339985	HMDB:(33463 139553 139638);SuperNatural:(SN00156194 SN00277929);ZINC bio:(ZINC01531868 ZINC08652493);additional;MeSH:(5281796);PubMed;COCONUT:(CNP0104128 CNP0340982);KNApSAcK:(2780);Natural Products:(UNPD219882 UNPD160889);PubChem:(10384 5281796 92339985);CHEBI:(9299);PubChem class - bio and metabolites;KEGG:(C10497);PubChem class - safety and toxic;Training Set	87613822	265.1544189453125	123.194604	1419_mapp_batch_00110_sirius_1612	1612
10	1	1	1	3	0.992372415741524	-10.054475133448916	0.893467336683417	28.664436871478934	C8H20NO6P	[M + K]+	SUHOQUVVVLNYQR	InChI=1S/C8H20NO6P/c1-9(2,3)4-5-14-16(12,13)15-7-8(11)6-10/h8,10-11H,4-7H2,1-3H3/p+1	Gliatilin (TN)	C[N+](C)(C)CCOP(=O)(O)OCC(CO)O	-2.29999995	823;11234;71920;71921;657272;439285;11184607;11184608;59514924;58381695;123809630;126551289;136212910;136212911	HMDB:(86);PubChem class - food;SuperNatural:(SN00002247);ZINC bio:(ZINC01532714 ZINC12493448);additional;MeSH:(11234 71920 657272);Plantcyc:(A-DXYL-PEN-1:5 L-1-GLYCERO-PHOSPHORYLCHOLINE);PubMed;COCONUT:(CNP0137851 CNP0411345);Natural Products:(UNPD6251);PubChem:(823 11234 71920 71921 657272 439285 11184607 11184608 59514924 58381695 123809630 126551289 136212910 136212911);CHEBI:(135063 16870 55397);PubChem class - bio and metabolites;KEGG:(C00670);PubChem class - safety and toxic;YMDB:(694 309);Training Set;PubChem class - drug;Biocyc:(L-1-GLYCERO-PHOSPHORYLCHOLINE)	255584622	296.06629943847656	33.864198	1823_mapp_batch_00110_sirius_2062	2062
