CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
274	981	1	0.9165	0.000
587	981	1	0.917	0.000
664	981	1	0.8992	0.000
770	981	1	0.9249	0.000
922	981	1	0.9543	0.000
981	3400	1	0.877	-0.000
274	770	1	0.9226	0.000
587	770	1	0.9258	0.000
664	770	1	0.9325	0.000
770	922	1	0.9407	-0.000
770	3400	1	0.9181	-0.000
274	587	1	0.9292	0.000
587	664	1	0.9132	-0.000
587	922	1	0.9302	-0.000
587	3400	1	0.8991	-0.000
568	1072	1	0.8567	18.011
568	1226	1	0.8323	18.011
568	1273	1	0.884	18.011
274	664	1	0.9126	-0.000
664	922	1	0.913	0.000
664	1226	1	0.7812	-17.063
664	3400	1	0.9206	0.000
1226	1273	1	0.8565	-0.000
1072	1273	1	0.8694	0.000
274	3400	1	0.9142	-0.000
922	3400	1	0.9001	0.000
274	922	1	0.9228	-0.000
1072	1226	1	0.8282	0.000
3731	3766	2	1.0	0.000
170	226	3	0.8863	-139.136
226	2554	3	0.8863	139.136
226	3099	3	0.8863	139.136
1383	2542	3	0.8159	125.121
1383	2554	3	0.8617	139.136
1383	3099	3	0.8617	139.136
170	1383	3	0.8617	-139.136
2542	2554	3	0.8913	14.016
2554	3099	3	1.0	-0.000
170	2554	3	1.0	0.000
2542	3099	3	0.8913	14.016
170	3099	3	1.0	0.000
170	2542	3	0.8913	-14.016
119	623	4	0.9721	-2.016
623	1361	4	0.9611	62.109
623	1513	4	0.9611	62.110
623	2488	4	0.9748	88.089
623	2773	4	0.9611	62.110
3574	3581	4	0.9435	-58.042
3581	3584	4	0.9445	144.043
3581	3963	4	0.9445	144.043
2302	3097	4	0.9586	-0.000
1629	3097	4	1.0	0.000
66	3097	4	0.9545	-0.000
149	3097	4	0.9558	-0.000
1549	1576	4	0.9736	146.058
1570	1576	4	0.9663	15.995
1576	1707	4	1.0	-0.000
1576	2080	4	0.9672	-15.995
1576	2302	4	0.9631	-0.000
1576	2957	4	0.9882	-0.000
9	1576	4	0.971	15.994
23	1576	4	0.97	15.995
66	1576	4	0.9841	0.000
149	1576	4	0.9849	0.000
9	23	4	0.9837	-0.002
9	66	4	0.9751	15.993
9	149	4	0.9765	15.994
9	1570	4	0.9777	-0.001
9	1707	4	0.971	15.994
9	2080	4	0.9877	-0.002
9	2100	4	0.9582	-0.002
9	2206	4	0.9521	-162.055
9	2957	4	0.974	15.994
119	493	4	0.9549	-32.062
1361	1513	4	1.0	0.000
1513	2095	4	0.9832	-0.036
1513	2773	4	1.0	0.000
23	149	4	0.9678	15.995
66	149	4	0.9905	0.000
149	1549	4	0.9663	-146.058
149	1570	4	0.9626	-15.995
149	1629	4	0.9558	-0.000
149	1707	4	0.9849	-0.000
149	2080	4	0.9716	-15.995
149	2957	4	0.9861	-0.000
1570	2206	4	0.9598	-162.053
2080	2206	4	0.95	-162.053
2100	2206	4	0.974	-162.053
2116	2206	4	0.9554	-15.995
23	2206	4	0.9551	-162.053
633	2206	4	0.9549	-162.053
1156	3750	4	0.9491	-0.001
2488	2805	4	0.9674	144.076
2688	2805	4	0.9692	162.053
2805	3586	4	0.9622	-248.053
111	2805	4	0.9424	-42.972
1549	1589	4	0.9846	-0.000
1549	1707	4	0.9736	146.058
1549	2116	4	0.9706	-15.995
1549	2302	4	0.9542	146.058
1549	2957	4	0.9697	146.058
66	1549	4	0.9648	-146.058
91	1156	4	0.9713	15.996
91	1196	4	0.9682	0.000
91	3574	4	0.9456	176.011
3572	3963	4	0.9589	158.037
3574	3963	4	0.9571	86.001
3584	3963	4	1.0	0.000
3738	3963	4	0.9564	86.001
1361	2095	4	0.9832	-0.036
1361	2773	4	1.0	0.000
1156	1196	4	0.9579	-15.996
1570	2080	4	0.9732	-0.000
1707	2080	4	0.9672	-15.995
2080	2100	4	0.9565	-0.000
2080	2957	4	0.9697	15.995
23	2080	4	0.9788	-0.000
66	2080	4	0.9732	-15.995
1570	1707	4	0.9663	15.995
1707	2302	4	0.9631	-0.000
1707	2957	4	0.9882	0.000
23	1707	4	0.97	15.995
66	1707	4	0.9841	0.000
1570	2100	4	0.96	-0.000
1570	2957	4	0.9646	15.995
23	1570	4	0.9784	0.000
66	1570	4	0.9611	-15.995
3574	3738	4	0.967	-0.000
3584	3738	4	0.9564	-86.001
2095	2488	4	0.9755	26.016
23	66	4	0.9698	15.995
66	1629	4	0.9545	-0.000
66	2957	4	0.9852	0.000
2688	3586	4	0.9633	-86.000
3574	3586	4	0.9563	-51.995
2100	2302	4	0.953	15.995
23	2100	4	0.959	-0.000
1629	2302	4	0.9586	0.000
1156	3574	4	0.9483	160.015
2095	2773	4	0.9832	0.036
1589	2116	4	0.9765	-15.995
3572	3584	4	0.9589	158.037
3574	3584	4	0.9571	86.001
2302	2957	4	0.9621	0.000
23	2957	4	0.9689	15.995
2688	3572	4	0.9499	-106.041
2116	2688	4	0.9805	108.021
4246	4263	5	0.8984	26.016
597	4263	5	0.8126	56.753
555	597	5	0.8591	2.088
2769	4024	6	1.0	0.000
2769	4108	6	0.9032	24.000
2181	2769	6	0.896	-24.000
69	2769	6	0.8946	-2.015
140	2769	6	0.896	-23.999
372	2769	6	1.0	-0.001
449	2769	6	0.9156	-28.030
484	2769	6	0.8973	26.016
543	2769	6	0.8964	-16.031
617	2769	6	0.8844	-26.015
2181	4024	6	0.896	-24.000
2181	4108	6	0.9569	-0.000
140	2181	6	1.0	0.001
372	2181	6	0.896	23.999
449	2181	6	0.8702	-4.030
543	2181	6	0.8521	7.969
617	2181	6	0.8855	-2.015
1232	2160	6	0.8838	-193.058
1495	2160	6	0.9113	-193.058
2136	2160	6	0.8744	0.041
2160	2300	6	0.8712	-131.049
2160	3915	6	0.9065	193.058
585	2160	6	0.9269	-193.058
941	2160	6	0.9207	-193.058
961	2160	6	0.9065	-193.058
21	87	6	0.9117	28.031
45	87	6	0.8922	162.053
53	87	6	0.9133	30.046
78	87	6	0.8675	-151.048
87	150	6	0.9175	-2.015
87	210	6	0.8301	-4.031
87	1010	6	0.9302	0.002
87	2137	6	0.8982	-28.031
87	4057	6	0.914	-162.057
1232	1495	6	0.8957	-0.000
1232	2094	6	0.8821	-179.083
1232	2136	6	0.8687	-193.099
1232	2300	6	0.8711	-324.107
236	1232	6	0.8816	179.080
585	1232	6	0.9052	0.000
941	1232	6	0.9047	0.000
21	53	6	0.9041	-2.015
53	78	6	0.8634	181.094
53	150	6	0.8737	28.031
53	210	6	0.883	26.015
53	1010	6	0.9002	30.048
53	2137	6	0.901	2.015
3363	3475	6	0.8599	2.015
743	3475	6	0.8191	142.099
21	101	6	0.8815	179.079
78	101	6	0.9186	-0.000
101	192	6	0.8506	28.030
101	245	6	0.8575	-2.015
101	2137	6	0.8626	-179.079
192	245	6	0.8453	-30.044
105	257	6	0.9228	-0.000
205	257	6	0.9254	-0.000
257	520	6	0.9251	0.000
