#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
379	spectra_filtered.mgf	*..*		:868	50108	-1	0	220.118	1	0.999259	0	0	238.1	3192000.0	PANTOTHENIC ACID M+H	MONA	temp/spectra_filtered.mgf379	-1	MONA.mgf	0.901172				11	0	0.000198364	220.118	0	CCMSLIB00006679138
3955	spectra_filtered.mgf	*..*		:20337	17672	-1	0	165.076	1	0.998978	0	0	249.591	1649000.0	D-Sorbitol [M-H2O+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3955	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	1.8487				8	0	0.000305176	165.076	0	CCMSLIB00012271986
3049	spectra_filtered.mgf	*..*		:19787	17197	-1	0	148.06	1	0.997983	0	0	154.648	1433500.0	L-glutamic acid [M+H]+	CMMC-REFRAME-POSITIVE-LIBRARY	temp/spectra_filtered.mgf3049	-1	CMMC-REFRAME-POSITIVE-LIBRARY.mgf	37.8223				6	0	0.00559998	148.054	0	CCMSLIB00012271511
1937	spectra_filtered.mgf	*..*		:1	5685	-1	0	205.097	1	0.997384	0	0	1198300000.0	1300400.0	L-Tryptophan M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf1937	-1	GNPS-LIBRARY.mgf	0.967173				8	0	0.000198364	205.097	0	CCMSLIB00005716772
166	spectra_filtered.mgf	*..*		:1	5685	-1	0	205.097	1	0.997384	0	0	1198300000.0	1300400.0	L-Tryptophan M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf166	-1	GNPS-LIBRARY.mgf	0.967173				8	0	0.000198364	205.097	0	CCMSLIB00005716772
11	spectra_filtered.mgf	*..*		:24	1596	-1	0	183.086	1	0.996345	0	0	100779.0	25580000.0	Spectral Match to D-Sorbitol from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf11	-1	GNPS-NIST14-MATCHES.mgf	1.66684				9	0	0.000305176	183.086	0	CCMSLIB00003136083
19	spectra_filtered.mgf	*..*		:4371	2613	-1	0	256.263	1	0.996086	0	0	2967350.0	604900.0	Spectral Match to Palmitamide from NIST14 M+H	GNPS-NIST14-MATCHES	temp/spectra_filtered.mgf19	-1	GNPS-NIST14-MATCHES.mgf	1.19087				12	0	0.000305176	256.263	0	CCMSLIB00003137100
2073	spectra_filtered.mgf	*..*		:639	49879	-1	0	175.119	1	0.99495	0	0	313.8	755100.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf2073	-1	MONA.mgf	1.13274				8	0	0.000198364	175.119	0	CCMSLIB00006678909
3563	spectra_filtered.mgf	*..*		:639	49879	-1	0	175.119	1	0.99495	0	0	313.8	755100.0	ARGININE M+H	MONA	temp/spectra_filtered.mgf3563	-1	MONA.mgf	1.13274				8	0	0.000198364	175.119	0	CCMSLIB00006678909
88	spectra_filtered.mgf	*..*		:1708	179	-1	0	195.065	1	0.994816	0	0	17421400.0	3320000.0	Ferulic acid M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf88	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1.01691				6	0	0.000198364	195.065	0	CCMSLIB00011906145
404	spectra_filtered.mgf	*..*		:73	661	-1	0	156.077	1	0.994376	0	0	118.848	3863400.0	Histidine [M+H]+	CMMC-LIBRARY	temp/spectra_filtered.mgf404	-1	CMMC-LIBRARY.mgf	3.12846				6	0	0.000488281	156.077	0	CCMSLIB00012471675
99	spectra_filtered.mgf	*..*		:916	50156	-1	0	166.086	1	0.994057	0	0	108.7	4214000.0	PHENYLALANINE M+H	MONA	temp/spectra_filtered.mgf99	-1	MONA.mgf	0.64311				6	0	0.000106812	166.086	0	CCMSLIB00006679186
3926	spectra_filtered.mgf	*..*		:916	50156	-1	0	166.086	1	0.993248	0	0	108.7	2110200.0	PHENYLALANINE M+H	MONA	temp/spectra_filtered.mgf3926	-1	MONA.mgf	42.1696				6	0	0.00700378	166.079	0	CCMSLIB00006679186
3130	spectra_filtered.mgf	*..*		:1	5685	-1	0	205.097	1	0.99317	0	0	1198300000.0	1180600.0	L-Tryptophan M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf3130	-1	GNPS-LIBRARY.mgf	55.5752				8	0	0.0113983	205.086	0	CCMSLIB00005716772
2522	spectra_filtered.mgf	*..*		:213	967	-1	0	147.044	1	0.992311	0	0	20796500.0	4568000.0	MassbankEU:SM817901 Cumarin|Coumarin|chromen-2-one [M+H]+	MASSBANKEU	temp/spectra_filtered.mgf2522	-1	MASSBANKEU.mgf	65.3752				6	0	0.00961304	147.034	0	CCMSLIB00000841574
2499	spectra_filtered.mgf	*..*		:1	233	-1	0	147.044	1	0.992311	0	0	20796500.0	4568000.0	Cumarin M+H	CASMI	temp/spectra_filtered.mgf2499	-1	CASMI.mgf	83.7426				6	0	0.0123138	147.032	0	CCMSLIB00000579590
2085	spectra_filtered.mgf	*..*		:1	233	-1	0	147.044	1	0.992311	0	0	20796500.0	4568000.0	Cumarin M+H	CASMI	temp/spectra_filtered.mgf2085	-1	CASMI.mgf	0.0				6	0	0.0	147.044	0	CCMSLIB00000579590
2474	spectra_filtered.mgf	*..*		:1	233	-1	0	147.044	1	0.992311	0	0	20796500.0	4568000.0	Cumarin M+H	CASMI	temp/spectra_filtered.mgf2474	-1	CASMI.mgf	65.8941				6	0	0.00968933	147.054	0	CCMSLIB00000579590
2473	spectra_filtered.mgf	*..*		:1	233	-1	0	147.044	1	0.992311	0	0	20796500.0	4568000.0	Cumarin M+H	CASMI	temp/spectra_filtered.mgf2473	-1	CASMI.mgf	79.488				6	0	0.0116882	147.056	0	CCMSLIB00000579590
2292	spectra_filtered.mgf	*..*		:520	49760	-1	0	181.05	1	0.992257	0	0	140.7	3550000.0	CIS-CAFFEIC ACID M+H	MONA	temp/spectra_filtered.mgf2292	-1	MONA.mgf	2.78122				6	0	0.00050354	181.049	0	CCMSLIB00006678790
1587	spectra_filtered.mgf	*..*		:520	49760	-1	0	181.05	1	0.990626	0	0	140.7	907500.0	CIS-CAFFEIC ACID M+H	MONA	temp/spectra_filtered.mgf1587	-1	MONA.mgf	2.78122				6	0	0.00050354	181.049	0	CCMSLIB00006678790
33	spectra_filtered.mgf	*..*		:118	3331	-1	0	148.04	1	0.990335	0	0	16374900.0	4966000.0	Glutamic acid M+H	GNPS-LIBRARY	temp/spectra_filtered.mgf33	-1	GNPS-LIBRARY.mgf	137.807				6	0	0.020401	148.06	0	CCMSLIB00003740029
581	spectra_filtered.mgf	*..*		:1708	179	-1	0	195.065	1	0.989962	0	0	17421400.0	1740400.0	Ferulic acid M+H	TUEBINGEN-NATURAL-PRODUCT-COLLECTION	temp/spectra_filtered.mgf581	-1	TUEBINGEN-NATURAL-PRODUCT-COLLECTION.mgf	1.01691				6	0	0.000198364	195.065	0	CCMSLIB00011906145
