CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1947	2266	1	0.7609	-17.027
2266	2313	1	0.842	17.027
2266	3042	1	0.842	17.026
1947	3042	1	0.7946	-0.000
2313	3042	1	1.0	-0.000
1947	2313	1	0.7946	-0.000
1947	2955	1	0.7085	15.995
270	686	2	0.8682	-28.032
502	686	2	0.8716	-56.063
645	686	2	0.8603	-56.063
686	851	2	0.8652	-0.000
686	2789	2	0.8603	56.063
686	4121	2	0.8716	56.062
686	4368	2	0.8716	56.063
73	1527	2	0.8805	-28.031
96	1527	2	0.8868	-28.031
378	1527	2	0.9026	-28.043
724	1527	2	0.8763	-56.062
913	1527	2	0.885	-28.031
1307	1527	2	0.9026	-28.043
1527	2601	2	0.8973	28.031
1527	4012	2	0.8953	28.031
1527	4032	2	1.0	-0.000
1527	4103	2	0.8899	28.044
10	4121	2	0.8876	-0.000
502	4121	2	1.0	-0.000
4121	4368	2	1.0	0.000
10	4103	2	0.9365	0.013
73	4103	2	0.9581	0.013
96	4103	2	0.9516	0.013
378	4103	2	0.9466	0.001
913	4103	2	0.9572	0.013
1307	4103	2	0.9466	0.001
2601	4103	2	0.955	0.013
4012	4103	2	0.9636	0.013
4032	4103	2	0.8899	28.044
10	96	2	0.9496	0.000
73	96	2	0.9461	0.000
96	378	2	0.9449	0.012
96	913	2	0.9713	-0.000
96	1307	2	0.9449	0.012
96	2601	2	0.9533	-0.000
96	4012	2	0.9589	-0.000
96	4032	2	0.8868	-28.031
370	4078	2	0.8266	15.993
724	4032	2	0.8763	-56.062
10	73	2	0.9441	0.000
73	378	2	0.9542	0.012
73	913	2	0.9591	0.000
73	1307	2	0.9542	0.012
73	2601	2	0.9475	0.000
73	4012	2	0.9634	-0.000
73	4032	2	0.8805	-28.031
10	378	2	0.9525	0.012
10	502	2	0.8876	-0.000
10	913	2	0.9404	0.000
10	1307	2	0.9525	0.012
10	2601	2	0.945	0.000
10	4012	2	0.9432	-0.000
10	4368	2	0.8876	-0.000
270	370	2	0.829	-44.027
333	370	2	0.8166	-56.062
370	943	2	0.8062	56.063
378	4032	2	0.9026	-28.043
913	4032	2	0.885	-28.031
1307	4032	2	0.9026	-28.043
2601	4032	2	0.8973	-28.031
4012	4032	2	0.8953	-28.031
333	943	2	0.8777	0.000
378	2601	2	0.952	-0.012
913	2601	2	0.952	-0.000
1307	2601	2	0.952	-0.012
2601	4012	2	0.9539	-0.000
270	678	2	0.8313	-28.032
378	913	2	0.944	-0.012
378	1307	2	1.0	-0.000
378	4012	2	0.9495	-0.012
502	4368	2	1.0	0.000
645	2789	2	1.0	0.000
913	1307	2	0.944	0.012
1307	4012	2	0.9495	-0.012
913	4012	2	0.9655	-0.000
1817	3751	3	1.0	-0.000
170	226	4	0.8863	-139.136
170	1383	4	0.8617	-139.136
170	2542	4	0.8913	-14.016
170	2554	4	1.0	0.000
170	3099	4	1.0	0.000
1383	2542	4	0.8159	125.121
1383	2554	4	0.8617	139.136
1383	3099	4	0.8617	139.136
226	3099	4	0.8863	139.136
2542	3099	4	0.8913	14.016
2554	3099	4	1.0	-0.000
2542	2554	4	0.8913	14.016
226	2554	4	0.8863	139.136
424	1483	5	0.8789	-317.292
683	1483	5	0.8876	-15.995
972	1483	5	0.9687	28.031
1105	1483	5	0.8508	-80.135
1141	1483	5	1.0	0.000
1200	1483	5	0.862	72.058
1280	1483	5	0.8894	44.026
1483	2064	5	0.8366	-72.058
1483	2795	5	0.8315	36.108
1483	3743	5	0.9687	-28.032
4123	4324	5	0.7423	-149.106
284	424	5	0.8399	-27.000
424	683	5	0.8788	-301.297
424	972	5	0.9058	-345.324
424	1105	5	0.877	-237.157
424	1141	5	0.8789	-317.292
424	2795	5	0.8861	-281.184
424	3743	5	0.9058	-345.324
424	4161	5	0.8512	-198.980
424	4280	5	0.855	-433.376
935	3556	5	0.7766	-88.052
939	3556	5	0.7481	-44.025
948	3556	5	1.0	0.001
