CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1	7	-0.000	0.000	0.9816	0.8137	1
1	16	-162.053	0.000	0.7646	0.3420	1
1	47	0.000	0.000	0.9767	0.7355	1
1	71	-2.005	0.000	0.7421	0.5424	1
1	108	-324.105	0.000	0.7256	0.3602	1
1	115	-15.994	0.000	0.9338	0.8020	1
1	143	0.000	0.000	0.9816	0.8409	1
1	252	-132.043	0.000	0.7613	0.4480	1
1	278	-294.094	0.000	0.7341	0.4542	1
1	394	-15.995	0.000	0.8906	0.6589	1
1	461	-42.010	0.000	0.8362	0.5826	1
1	561	-486.158	0.000	0.7046	0.4830	1
1	639	-207.111	0.000	0.7676	0.5778	1
1	884	-0.142	0.000	0.8170	0.5316	1
1	1277	43.990	0.000	0.7951	0.6296	1
1	1327	11.964	0.000	0.9133	0.6658	1
1	2015	0.000	0.000	0.9731	0.7781	1
1	2022	0.000	0.000	0.9755	0.7297	1
1	2076	-69.079	0.000	0.7799	0.3684	1
2	14	14.016	0.000	0.7257	0.4471	1
2	4190	14.016	0.000	0.7199	0.4471	1
4	56	15.974	0.000	0.8392	0.5718	1
4	149	94.025	0.000	0.8462	0.3265	1
4	692	-48.094	0.000	0.7171	0.5930	1
4	920	-60.167	0.000	0.8348	0.4248	1
4	1607	-48.094	0.000	0.7171	0.5930	1
4	2080	78.029	0.000	0.8340	0.3220	1
4	2678	58.003	0.000	0.7437	0.3946	1
4	2796	33.948	0.000	0.8128	0.5291	1
4	3140	-60.130	0.000	0.9314	0.6010	1
4	3153	-78.141	0.000	0.8272	0.5046	1
4	3169	-104.156	0.000	0.8713	0.5121	1
4	3570	96.004	0.000	0.8300	0.3127	1
4	3817	-20.136	0.000	0.8584	0.5545	1
4	3972	-60.130	0.000	0.9314	0.6010	1
4	4036	-104.156	0.000	0.8713	0.5121	1
5	8	-15.995	0.000	0.8446	0.6415	1
5	9	146.059	0.000	0.7085	0.3984	1
5	13	14.015	0.000	0.8656	0.7901	1
5	23	146.058	0.000	0.7110	0.3843	1
5	39	-162.053	0.000	0.9483	0.7576	1
