row ID,row m/z,row retention time,202404241651_EB_dbgi_003163_01_01.mzML Peak area,202404241651_EB_dbgi_003169_01_02.mzML Peak area,202404241651_EB_dbgi_003173_01_01.mzML Peak area,202404241651_EB_dbgi_003186_01_01.mzML Peak area,202404241651_EB_dbgi_003190_01_01.mzML Peak area,202404241651_EB_dbgi_003194_02_01.mzML Peak area,202404241651_EB_dbgi_003200_01_01.mzML Peak area,202404241651_EB_dbgi_003206_01_01.mzML Peak area,202404241651_EB_dbgi_003210_02_01.mzML Peak area,202404241651_EB_dbgi_mapp_QC_01.mzML Peak area,202404241651_EB_dbgi_mapp_QC_02.mzML Peak area,202404241651_EB_dbgi_mapp_QC_03.mzML Peak area,202404241651_EB_dbgi_mapp_QC_04.mzML Peak area,202404241651_EB_dbgi_mapp_QC_05.mzML Peak area,202404241651_EB_dbgi_mapp_QC_06.mzML Peak area,202404241651_EB_dbgi_mapp_blk_01.mzML Peak area,202404241651_EB_dbgi_mapp_blk_02.mzML Peak area,202404241651_EB_dbgi_mapp_blk_post01.mzML Peak area,202404241651_EB_dbgi_mapp_blk_post02.mzML Peak area,202404241651_EB_dbgi_mapp_blk_post03.mzML Peak area,202404241651_EB_dbgi_mapp_blk_pre01.mzML Peak area,202404241651_EB_dbgi_mapp_blk_pre02.mzML Peak area,202404241651_EB_dbgi_mapp_blk_pre03.mzML Peak area,
1,275.09118047473623,3.6645602210526316,6.600045054237024E8,263419.3987269728,58898.850254384815,7.362901556770861E8,5.999827069946715E8,325590.9594038788,141907.86861624886,115168.60061446947,305174.2391407847,4.2592285837261796E8,3.962808431428565E8,3.815837356700095E8,3.8369294734740525E8,4.5277164861359566E8,4.0098496934732383E8,0,0,107005.44775372984,78712.49674912482,54268.63099471083,603.5457812241468,0,0,
2,607.2919791177283,10.347128217391305,5.509992665856364E8,5.538458934116642E8,3.68561215611604E8,4.2050034830385566E8,4.1031910098423904E8,2.094546417666637E8,5.828732298005233E8,2.4685804010397363E8,1.8226043179992294E8,5.048667297641763E8,4.680090610724653E8,4.6105629886850697E8,5.233155456817477E7,4.085212511059665E8,7.365517485518998E7,1797525.3834084454,1530778.9172579246,1.8038052959422134E7,1.1745354148664545E7,8944200.605507737,6635489.630190104,4380416.606455402,2961863.9514102954,
3,221.0420050248417,0.5922752663636364,5.646278790397618E8,5.124198739335552E8,4.4316393633720523E8,4.3455303759409696E8,6.014466546321607E8,154278.7797318391,84376.99309717375,625397.5318509333,3.820387981662237E8,3.784480936427064E8,3.733678222444411E8,3.744018478585167E8,3.7185814079808253E8,3.8034935900785124E8,3.721903982902844E8,0,2725.384275209496,201038.85395454778,90977.56277126097,178745.41748846712,185703.17505421487,123643.42514772003,75110.63956854696,
4,381.07926015564885,0.6104375454545454,3.696225688616553E8,3.995667410138226E8,2.7446401323944473E8,3.1506330273937994E8,2.4851398674774542E8,7.066431626798605E8,7.031046781946924E8,7.39835889017662E8,3.442152065854076E8,4.639380127139797E8,4.2672396516572374E8,4.5266198208191574E8,4.6872599608568645E8,4.4746693222278124E8,4.4861781053663015E8,0,57170.76367911845,394404.5368973619,297418.62777346204,284275.1493107425,195234.59536206358,210350.51250679052,187501.68449217873,
5,449.10756708161205,3.3724527500000003,1.4346557419652614E8,2588600.38065409,1681400.1552912614,3.397017622047709E7,6151026.774446422,6325151.123255021,8115675.011838239,2370629.2710835757,4.352460003699616E8,1.0987410436960925E8,1.0622068693463615E8,1.0799651961660485E8,1.0666223717944282E8,1.1676524055161077E8,1.0797571397587635E8,0,15244.71944593055,267692.50043982634,118161.52280482106,82963.67167181853,16247.561305471107,13091.261711256724,12546.192567000719,
6,621.2700196275058,9.479938752173911,2.027971034159318E8,1.428476591117056E8,1.0119806830214652E8,1.2960231288818261E8,1.301411038680668E8,3.1524979624070268E7,1.73101806898721E8,4.222547472436814E7,2.0401053035328943E7,1.0261364255719863E8,1.2650913855884588E8,1.205687052023205E8,1.2252748801624548E8,1.2734105534466888E8,1.1905565478380959E8,120681.06602475804,460850.2752573755,2376426.199440065,2035901.5995515182,977308.6072043498,2113432.548998446,835094.2618886709,557494.3277036996,
7,275.09132211823805,4.550928715789474,1.6623981751274592E8,120266.55634294318,7940.4004132381215,3628574.297103028,1.2418312826029396E7,11859.420721406024,9022.21166787893,17195.596701599534,3695.3639707046927,2.6037458552929204E7,2.733025921166215E7,2.5910993972012866E7,2.580139281605876E7,2.817639054173216E7,2.701309162923995E7,0,0,17125.255256014883,7512.75365201883,3669.381148464848,484.13729700803253,0,0,
8,465.10284264251874,3.103032095454545,1.9286558534715354E8,3315622.142347244,3.557445821138985E7,1.9705047223826572E8,1.4266472443988413E8,4.772007278699024E7,1.9127806929339003E7,3884260.1836152473,4.620258504645862E7,8.80742489033593E7,8.57458955924143E7,8.445488398663262E7,8.58918262951339E7,9.26357613025799E7,8.800094270130667E7,0,2317.609894673963,71804.24292183253,40030.86626500863,30627.573911310894,12483.540504928664,8447.649228567228,15507.656313982245,
9,303.04816389983864,3.3766878300000007,7.959492738192008E7,206586.4151218819,174840.478679671,1.4330362899689872E7,6.389254653508023E7,1066744.0173176345,0,26925.813019593537,2.0391019040845558E7,2541865.3126020236,5.463009580383621E7,2758898.753512506,2049437.2324983734,5.866686433164402E7,1988295.3453165176,0,590.240908540272,2585.283281191516,1036.9582409769414,787.3656824282219,0,477.53412774497497,1771.6406193702378,
10,280.263295905522,8.746472173913043,8.499455579203679E7,5.696603546803715E7,7.7039314314294E7,5.431936603007548E7,6.622745982042262E7,6.576665964445163E7,6.48767373855563E7,6.326306604049481E7,6.2448028216415256E7,6.868799801477812E7,7.358416401712151E7,7.113605698525815E7,6.503430639940129E7,7.26245526931264E7,7.134889965202032E7,1039319.5420984474,979244.1905010063,75446.89845474905,73212.5802983239,45119.743888648,738347.0612005604,27603.627882156274,9036.930394260253,
