id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_mapp_batch_00111_sirius_1	C15H14O5	[M + H]+	C15H14O5	Shikimates and Phenylpropanoids	0.9998997449874878	Flavonoids	0.999964714050293	Chalcones	0.9999347925186157	2'-Hydroxy-dihydrochalcones	0.9995204210281372	2'-Hydroxy-dihydrochalcones	0.9995204210281372	Chalcones and dihydrochalcones	0.9994756579399109	Linear 1,3-diarylpropanoids	0.9997679591178894	Phenylpropanoids and polyketides	0.9997527003288269	Organic compounds; Ketones; Alcohols and polyols; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Butyrophenones; Phloroglucinols and derivatives; Benzenetriols and derivatives; Chalcones and dihydrochalcones; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Acylphloroglucinols and derivatives; Linear 1,3-diarylpropanoids; 2'-Hydroxy-dihydrochalcones; Cinnamylphenols; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	1
2_mapp_batch_00111_sirius_2	C35H42O9	[M + H]+	C35H42O9	Terpenoids	0.8458163738250732	Triterpenoids	0.32437655329704285	Bufadienolides	0.052426084876060486	Steroids and steroid derivatives	0.6113267540931702					Steroids and steroid derivatives	0.6113267540931702	Lipids and lipid-like molecules	0.9675868153572083	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrans; Ketones; Benzopyrans; Chromones; Ethers; Steroids and steroid derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Benzenoids; 1-benzopyrans; Cyclic ketones; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2
4_mapp_batch_00111_sirius_4	C12H22O11	[M + K]+	C12H22O11	Carbohydrates	0.9917455315589905	Saccharides	0.9975162744522095	Disaccharides	0.9999744892120361	Disaccharides	0.913018524646759	Disaccharides	0.913018524646759	Carbohydrates and carbohydrate conjugates	0.9999724626541138	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	4
5_mapp_batch_00111_sirius_5	C21H20O11	[M + H]+	C21H20O11	Shikimates and Phenylpropanoids	0.9994078874588013	Flavonoids	0.9996234178543091	Flavonols	0.9875568151473999	Flavonoid-3-O-glycosides	0.6679439544677734	Flavonoid O-glycosides	0.9989394545555115	Flavonoid glycosides	0.9989529848098755	Flavonoids	0.9993512034416199	Phenylpropanoids and polyketides	0.998145341873169	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	5
6_mapp_batch_00111_sirius_6	C35H42O11	[M - H2O + H]+	C35H40O10	Terpenoids	0.94527268409729	Meroterpenoids	0.5482950806617737	Limonoids	0.6041648387908936	Steroids and steroid derivatives	0.6140130162239075					Steroids and steroid derivatives	0.6140130162239075	Lipids and lipid-like molecules	0.8135865926742554	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Delta valerolactones; Cyclic alcohols and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Dihydrofurans; Oxanes; Benzenoids; Tetrahydrofurans; Methyl esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	6
7_mapp_batch_00111_sirius_7	C15H14O5	[M + H]+	C15H14O5	Shikimates and Phenylpropanoids	0.9998995065689087	Flavonoids	0.9999648332595825	Chalcones	0.9999350309371948	2'-Hydroxy-dihydrochalcones	0.999518632888794	2'-Hydroxy-dihydrochalcones	0.999518632888794	Chalcones and dihydrochalcones	0.9994750618934631	Linear 1,3-diarylpropanoids	0.9997681975364685	Phenylpropanoids and polyketides	0.9997528195381165	Organic compounds; Ketones; Alcohols and polyols; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Butyrophenones; Phloroglucinols and derivatives; Benzenetriols and derivatives; Chalcones and dihydrochalcones; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Acylphloroglucinols and derivatives; Linear 1,3-diarylpropanoids; 2'-Hydroxy-dihydrochalcones; Cinnamylphenols; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	7
8_mapp_batch_00111_sirius_8	C21H20O12	[M + H]+	C21H20O12	Shikimates and Phenylpropanoids	0.9996379613876343	Flavonoids	0.9985489249229431	Flavonols	0.9940578937530518	Flavonoid-3-O-glycosides	0.8116088509559631	Flavonoid O-glycosides	0.9938353300094604	Flavonoid glycosides	0.9942752718925476	Flavonoids	0.9929336309432983	Phenylpropanoids and polyketides	0.9954511523246765	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	8
9_mapp_batch_00111_sirius_9	C11H12N4O4	[M + K]+	C11H12N4O4	Alkaloids	0.9650440812110901	Pseudoalkaloids	0.6684779524803162	Imidazole alkaloids	0.17606070637702942	Imidazopyrimidines	0.5852838158607483					Imidazopyrimidines	0.5852838158607483	Organoheterocyclic compounds	0.9916529059410095	Organic compounds; Organoheterocyclic compounds; Imidazoles; Alcohols and polyols; Phenols; Organonitrogen compounds; Organooxygen compounds; Azoles; Diazines; Imidazopyrimidines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9
10_mapp_batch_00111_sirius_10	C18H35NO2	[M - H2O + H]+	C18H33NO	Fatty acids	0.9652324318885803	Fatty amides	0.8426691293716431	N-acyl ethanolamines (endocannabinoids)	0.3985547423362732	N-acylethanolamines	0.8965505361557007	Alkanolamines	0.9640276432037354	Amines	0.9788611531257629	Organonitrogen compounds	0.9999878406524658	Organic nitrogen compounds	0.9999996423721313	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acylethanolamines; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	10
11_mapp_batch_00111_sirius_11	C6H14O6	[M + H]+	C6H14O6	Carbohydrates	0.9726833701133728	Saccharides	0.8903110027313232	Monosaccharides	0.837281346321106	Monosaccharides	0.9215667247772217	Monosaccharides	0.9215667247772217	Carbohydrates and carbohydrate conjugates	0.9811424612998962	Organooxygen compounds	1.0	Organic oxygen compounds	1.0	Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Sugar alcohols; Polyols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	11
