"smiles_sirius"	"confidenceRank_sirius"	"structurePerIdRank_sirius"	"formulaRank_sirius"	"#adducts_sirius"	"#predictedFPs_sirius"	"ConfidenceScore_sirius"	"CSI:FingerIDScore_sirius"	"ZodiacScore_sirius"	"SiriusScore_sirius"	"molecularFormula_sirius"	"adduct_sirius"	"InChIkey2D_sirius"	"InChI_sirius"	"name_sirius"	"xlogp_sirius"	"pubchemids_sirius"	"links_sirius"	"dbflags_sirius"	"ionMass_sirius"	"retentionTimeInSeconds_sirius"	"id_sirius"	"featureId_sirius"	"chebiid_sirius"	"chebiasciiname_sirius"	"searchscore_sirius"	"entitystar_sirius"	"feature_id"
"[B-](CNC(=O)CC1=CC=CS1)(O)(O)O"	2710	1	1	1	2	"N/A"	-499.177529774183	1	27.6313795113094	"C7H12BNO4S"	"[M + H]+"	"XBYNOGQIPFLIEA"	"InChI=1S/C7H11BNO4S/c10-7(9-5-8(11,12)13)4-6-2-1-3-14-6/h1-3,11-13H,4-5H2,(H,9,10)/q-1"	"trihydroxy-[[(2-thiophen-2-ylacetyl)amino]methyl]boranuide"	0.884088993	"445711"	"PubChem:(445711);PubChem class - bio and metabolites"	16777218	217.068420410156	46.7967216	"2583_mapp_batch_00111_sirius_2931"	2931	NA	NA	NA	NA	2931
"B(C1=C(C=CC(=C1)OCCCC)F)(O)O"	1721	1	1	1	2	"0.16840597891270437"	-230.648995708031	1	67.589055794217	"C10H14BFO3"	"[M + H]+"	"GKZWJVVFPFQIDP"	"InChI=1S/C10H14BFO3/c1-2-3-6-15-8-4-5-10(12)9(7-8)11(13)14/h4-5,7,13-14H,2-3,6H2,1H3"	"5-Butoxy-2-fluorophenylboronic acid"	2.60195231	"16217682"	"PubChem:(16217682);PubChem class - safety and toxic"	67108866	212.112976074219	46.1199762	"2523_mapp_batch_00111_sirius_2871"	2871	NA	NA	NA	NA	2871
"B(C1=CC(=C(C=C1)B(O)O)[N+](=O)[O-])(O)O"	2659	1	1	1	2	"N/A"	-278.391491823903	1	90.5636028506572	"C6H7B2NO6"	"[M + H]+"	"GGASDGRERPDUQP"	"InChI=1S/C6H7B2NO6/c10-7(11)4-1-2-5(8(12)13)6(3-4)9(14)15/h1-3,10-13H"	"2-Nitrobenzene-1,4-diboronic acid"	0.326443166	"206655"	"PubChem:(206655);PubChem class - safety and toxic"	67108866	210.060668945312	48.8843328	"243_mapp_batch_00111_sirius_250"	250	NA	NA	NA	NA	250
"B(C1=CC(=CC(=C1)F)OC(C)C)(O)O"	1706	1	1	1	2	"0.1706511323492565"	-253.470359620207	1	47.778821814865	"C9H12BFO3"	"[M + H]+"	"HJJYROZZJOJOOW"	"InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3"	"3-Fluoro-5-Isopropoxybenzeneboronic Acid"	2.15604806	"44558177;45788923"	"PubChem:(44558177 45788923);PubChem class - safety and toxic"	67108866	198.096914291382	81.907518	"3418_mapp_batch_00111_sirius_3962"	3962	NA	NA	NA	NA	3962
"B(C1=CC(=CC(=C1)F)OC(C)C)(O)O"	1649	1	1	1	2	"0.17864878578726853"	-259.782398129159	1	74.6373972369156	"C9H12BFO3"	"[M + H]+"	"HJJYROZZJOJOOW"	"InChI=1S/C9H12BFO3/c1-6(2)14-9-4-7(10(12)13)3-8(11)5-9/h3-6,12-13H,1-2H3"	"3-Fluoro-5-Isopropoxybenzeneboronic Acid"	2.15604806	"44558177;45788923"	"PubChem:(44558177 45788923);PubChem class - safety and toxic"	67108866	198.097106933594	37.8446748	"92_mapp_batch_00111_sirius_93"	93	NA	NA	NA	NA	93
"B(C1=CC(=CN=C1)C#N)(O)O"	2376	1	1	1	2	"0.07774211879995908"	-315.277634498229	1	19.1518800298116	"C6H5BN2O2"	"[M + H]+"	"CYEXXDYQJPRMIQ"	"InChI=1S/C6H5BN2O2/c8-2-5-1-6(7(10)11)4-9-3-5/h1,3-4,10-11H"	"3-Borono-5-cyanopyridine"	-0.0505494624	"45079576"	"PubChem:(45079576);PubChem class - safety and toxic"	67108866	148.054565429688	36.87237	"2677_mapp_batch_00111_sirius_3049"	3049	NA	NA	NA	NA	3049
"B(N(C(C)C)C(C)C)(Cl)Cl"	2412	1	1	1	2	"0.07045891692567204"	-93.0567731122552	0.35427135678392	3.82542624383148	"C6H14BCl2N"	"[M + K]+"	"SQJYZIVNKOIKKX"	"InChI=1S/C6H14BCl2N/c1-5(2)10(6(3)4)7(8)9/h5-6H,1-4H3"	"Dichloro(diisopropylamino)borane"	3.21768141	"4139105"	"PubChem:(4139105);PubChem class - safety and toxic"	67108866	219.026338304792	81.229896	"3223_mapp_batch_00111_sirius_3678"	3678	NA	NA	NA	NA	3678
"B1(OC(C(O1)(C)C)(C)C)C2=CC3=C(C=C2)C=C(C=C3)OCCCC"	2506	1	1	1	2	"0.05549356843248787"	-362.239671758812	1	28.8549992893325	"C20H27BO3"	"[M + H]+"	"JICBTICLFXGOFE"	"InChI=1S/C20H27BO3/c1-6-7-12-22-18-11-9-15-13-17(10-8-16(15)14-18)21-23-19(2,3)20(4,5)24-21/h8-11,13-14H,6-7,12H2,1-5H3"	"2-(6-Butoxy-naphthalen-2-yl)-4,4,5,5-tetramethyl-[1,3,2]dioxaborolane"	5.37279129	"71306508"	"PubChem:(71306508);PubChem class - safety and toxic"	67108866	326.217010498047	116.740398	"1787_mapp_batch_00111_sirius_1929"	1929	NA	NA	NA	NA	1929
"B1(OC2CC3CC(C3(C)C)C2(O1)C)C4=CC=CC=C4"	2596	1	1	2	2	"0.032685432699534014"	-343.400947907531	1	13.3045690613967	"C16H21BO2"	"[M + H]+"	"OZQWJKOXOILFRR"	"InChI=1S/C16H21BO2/c1-15(2)11-9-13(15)16(3)14(10-11)18-17(19-16)12-7-5-4-6-8-12/h4-8,11,13-14H,9-10H2,1-3H3"	"2,9,9-trimethyl-4-phenyl-3,5-dioxa-4-boratricyclo[6.1.1.0~2,6~]decane"	3.68254614	"13204725;13204726;13204727;13204728;11834658;11391198;58961317;99864582;99864584;100632477;102243640;100912112;124630339;124865439"	"PubChem:(13204725 13204726 13204727 13204728 11834658 11391198 58961317 99864582 99864584 100632477 102243640 100912112 124630339 124865439);PubChem class - safety and toxic"	67108866	256.175338745117	123.809034	"276_mapp_batch_00111_sirius_284"	284	NA	NA	NA	NA	284
"C(=CC=CC=CC(=O)O)C=CC=CC=CC(=O)O"	1898	1	1	2	2	"0.14460509710004357"	-142.110990420142	1	228.375464063035	"C14H14O4"	"[M + H]+"	"PXPBPRNNNVMUEY"	"InChI=1S/C14H14O4/c15-13(16)11-9-7-5-3-1-2-4-6-8-10-12-14(17)18/h1-12H,(H,15,16)(H,17,18)"	"2,4,6,8,10,12-Tetradecahexaenedioicacid, (2E,4E,6E,8E,10E,12E)-"	2.79999995	"12304001;71367093;131751555"	"COCONUT:(CNP0262895);HMDB:(34384);Natural Products:(UNPD8077);PubChem:(12304001 71367093 131751555);SuperNatural:(SN00322721);PubChem class - bio and metabolites"	19955722	247.096405029297	125.51097	"2738_mapp_batch_00111_sirius_3147"	3147	NA	NA	NA	NA	3147
"C(=CC=CC=CC(=O)O)C=CC=CC=CC(=O)O"	1894	1	1	2	2	"0.14498570595935817"	-142.099234455889	1	225.045656015052	"C14H14O4"	"[M + H]+"	"PXPBPRNNNVMUEY"	"InChI=1S/C14H14O4/c15-13(16)11-9-7-5-3-1-2-4-6-8-10-12-14(17)18/h1-12H,(H,15,16)(H,17,18)"	"2,4,6,8,10,12-Tetradecahexaenedioicacid, (2E,4E,6E,8E,10E,12E)-"	2.79999995	"12304001;71367093;131751555"	"COCONUT:(CNP0262895);HMDB:(34384);Natural Products:(UNPD8077);PubChem:(12304001 71367093 131751555);SuperNatural:(SN00322721);PubChem class - bio and metabolites"	19955722	247.096310297648	125.51097	"3429_mapp_batch_00111_sirius_3981"	3981	NA	NA	NA	NA	3981
"C(C(=O)CC(=O)CC(=O)O)C(=O)CC(=O)O"	2369	1	1	1	2	"0.07908488799261154"	-190.182781496791	1	98.9339973703978	"C9H10O7"	"[M + H]+"	"DVJQEIZBKGXTIR"	"InChI=1S/C9H10O7/c10-5(1-6(11)3-8(13)14)2-7(12)4-9(15)16/h1-4H2,(H,13,14)(H,15,16)"	"3,5,7-Trioxononanedioic acid"	-1	"3022602"	"PubChem:(3022602);NORMAN:(NS00039673)"	262146	231.050170898438	287.689776	"2202_mapp_batch_00111_sirius_2413"	2413	NA	NA	NA	NA	2413
