"id_canopus"	"molecularFormula_canopus"	"adduct_canopus"	"precursorFormula_canopus"	"NPC#pathway_canopus"	"NPC#pathway Probability_canopus"	"NPC#superclass_canopus"	"NPC#superclass Probability_canopus"	"NPC#class_canopus"	"NPC#class Probability_canopus"	"ClassyFire#most specific class_canopus"	"ClassyFire#most specific class Probability_canopus"	"ClassyFire#level 5_canopus"	"ClassyFire#level 5 Probability_canopus"	"ClassyFire#subclass_canopus"	"ClassyFire#subclass Probability_canopus"	"ClassyFire#class_canopus"	"ClassyFire#class Probability_canopus"	"ClassyFire#superclass_canopus"	"ClassyFire#superclass probability_canopus"	"ClassyFire#all classifications_canopus"	"featureId_canopus"	"feature_id"
"1_mapp_batch_00111_sirius_1"	"C15H14O5"	"[M + H]+"	"C15H14O5"	"Shikimates and Phenylpropanoids"	0.999899744987488	"Flavonoids"	0.999964714050293	"Chalcones"	0.999934792518616	"2'-Hydroxy-dihydrochalcones"	0.999520421028137	"2'-Hydroxy-dihydrochalcones"	0.999520421028137	"Chalcones and dihydrochalcones"	0.999475657939911	"Linear 1,3-diarylpropanoids"	0.999767959117889	"Phenylpropanoids and polyketides"	0.999752700328827	"Organic compounds; Ketones; Alcohols and polyols; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Butyrophenones; Phloroglucinols and derivatives; Benzenetriols and derivatives; Chalcones and dihydrochalcones; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Acylphloroglucinols and derivatives; Linear 1,3-diarylpropanoids; 2'-Hydroxy-dihydrochalcones; Cinnamylphenols; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	1	1
"2_mapp_batch_00111_sirius_2"	"C35H42O9"	"[M + H]+"	"C35H42O9"	"Terpenoids"	0.845816373825073	"Triterpenoids"	0.324376553297043	"Bufadienolides"	0.0524260848760605	"Steroids and steroid derivatives"	0.61132675409317	NA	NA	NA	NA	"Steroids and steroid derivatives"	0.61132675409317	"Lipids and lipid-like molecules"	0.967586815357208	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Pyrans; Ketones; Benzopyrans; Chromones; Ethers; Steroids and steroid derivatives; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Pyranones and derivatives; Carboxylic acid derivatives; Carboxylic acid esters; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Benzenoids; 1-benzopyrans; Cyclic ketones; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	2	2
"4_mapp_batch_00111_sirius_4"	"C12H22O11"	"[M + K]+"	"C12H22O11"	"Carbohydrates"	0.99174553155899	"Saccharides"	0.99751627445221	"Disaccharides"	0.999974489212036	"Disaccharides"	0.913018524646759	"Disaccharides"	0.913018524646759	"Carbohydrates and carbohydrate conjugates"	0.999972462654114	"Organooxygen compounds"	1	"Organic oxygen compounds"	1	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Ethers; Primary alcohols; Organooxygen compounds; Disaccharides; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	4	4
"5_mapp_batch_00111_sirius_5"	"C21H20O11"	"[M + H]+"	"C21H20O11"	"Shikimates and Phenylpropanoids"	0.999407887458801	"Flavonoids"	0.999623417854309	"Flavonols"	0.9875568151474	"Flavonoid-3-O-glycosides"	0.667943954467773	"Flavonoid O-glycosides"	0.998939454555512	"Flavonoid glycosides"	0.998952984809876	"Flavonoids"	0.99935120344162	"Phenylpropanoids and polyketides"	0.998145341873169	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	5	5
"6_mapp_batch_00111_sirius_6"	"C35H42O11"	"[M - H2O + H]+"	"C35H40O10"	"Terpenoids"	0.94527268409729	"Meroterpenoids"	0.548295080661774	"Limonoids"	0.604164838790894	"Steroids and steroid derivatives"	0.614013016223907	NA	NA	NA	NA	"Steroids and steroid derivatives"	0.614013016223907	"Lipids and lipid-like molecules"	0.813586592674255	"Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Dialkyl ethers; Carboxylic acid esters; Delta valerolactones; Cyclic alcohols and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Dihydrofurans; Oxanes; Benzenoids; Tetrahydrofurans; Methyl esters; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	6	6
"7_mapp_batch_00111_sirius_7"	"C15H14O5"	"[M + H]+"	"C15H14O5"	"Shikimates and Phenylpropanoids"	0.999899506568909	"Flavonoids"	0.999964833259582	"Chalcones"	0.999935030937195	"2'-Hydroxy-dihydrochalcones"	0.999518632888794	"2'-Hydroxy-dihydrochalcones"	0.999518632888794	"Chalcones and dihydrochalcones"	0.999475061893463	"Linear 1,3-diarylpropanoids"	0.999768197536468	"Phenylpropanoids and polyketides"	0.999752819538116	"Organic compounds; Ketones; Alcohols and polyols; Phenols; Phenylpropanoids and polyketides; Organic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Butyrophenones; Phloroglucinols and derivatives; Benzenetriols and derivatives; Chalcones and dihydrochalcones; Carbonyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Acylphloroglucinols and derivatives; Linear 1,3-diarylpropanoids; 2'-Hydroxy-dihydrochalcones; Cinnamylphenols; Aryl ketones; Aryl alkyl ketones; Vinylogous acids; Organic oxides; Hydrocarbon derivatives; Phenylketones; Alkyl-phenylketones; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	7	7
"8_mapp_batch_00111_sirius_8"	"C21H20O12"	"[M + H]+"	"C21H20O12"	"Shikimates and Phenylpropanoids"	0.999637961387634	"Flavonoids"	0.998548924922943	"Flavonols"	0.994057893753052	"Flavonoid-3-O-glycosides"	0.811608850955963	"Flavonoid O-glycosides"	0.99383533000946	"Flavonoid glycosides"	0.994275271892548	"Flavonoids"	0.992933630943298	"Phenylpropanoids and polyketides"	0.995451152324676	"Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Pyrans; Benzopyrans; Alcohols and polyols; Phenols; Catechols; Chromones; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Primary alcohols; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavonoid glycosides; Benzenediols; Hexoses; Monosaccharides; Flavonoid O-glycosides; Flavones; Acetals; Secondary alcohols; Oxanes; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; 3'-hydroxyflavonoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Flavonoid-3-O-glycosides; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities"	8	8
"9_mapp_batch_00111_sirius_9"	"C11H12N4O4"	"[M + K]+"	"C11H12N4O4"	"Alkaloids"	0.96504408121109	"Pseudoalkaloids"	0.668477952480316	"Imidazole alkaloids"	0.176060706377029	"Imidazopyrimidines"	0.585283815860748	NA	NA	NA	NA	"Imidazopyrimidines"	0.585283815860748	"Organoheterocyclic compounds"	0.99165290594101	"Organic compounds; Organoheterocyclic compounds; Imidazoles; Alcohols and polyols; Phenols; Organonitrogen compounds; Organooxygen compounds; Azoles; Diazines; Imidazopyrimidines; Benzene and substituted derivatives; Substituted imidazoles; N-substituted imidazoles; Benzenoids; Amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	9	9
"10_mapp_batch_00111_sirius_10"	"C18H35NO2"	"[M - H2O + H]+"	"C18H33NO"	"Fatty acids"	0.96523243188858	"Fatty amides"	0.842669129371643	"N-acyl ethanolamines (endocannabinoids)"	0.398554742336273	"N-acylethanolamines"	0.896550536155701	"Alkanolamines"	0.964027643203735	"Amines"	0.978861153125763	"Organonitrogen compounds"	0.999987840652466	"Organic nitrogen compounds"	0.999999642372131	"Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acylethanolamines; Secondary carboxylic acid amides; Carbonyl compounds; 1,2-aminoalcohols; Amines; Alkanolamines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	10	10
"11_mapp_batch_00111_sirius_11"	"C6H14O6"	"[M + H]+"	"C6H14O6"	"Carbohydrates"	0.972683370113373	"Saccharides"	0.890311002731323	"Monosaccharides"	0.837281346321106	"Monosaccharides"	0.921566724777222	"Monosaccharides"	0.921566724777222	"Carbohydrates and carbohydrate conjugates"	0.981142461299896	"Organooxygen compounds"	1	"Organic oxygen compounds"	1	"Organic compounds; Carbohydrates and carbohydrate conjugates; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Monosaccharides; Secondary alcohols; Sugar alcohols; Polyols; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	11	11
