"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1_275.09_3.7",1,275.091180474736,3.66456022105263,"C15H14O5"
"10_280.26_8.7",10,280.263295905522,8.74647217391304,"C18H35NO2"
"100_419.1_3.5",100,419.097258819956,3.54366355625,"C20H18O10"
"1000_425.18_3",1000,425.178881778212,3.00485756,NA
"1001_309.22_7.3",1001,309.220861064281,7.32905807368421,"C22H30O2"
"1002_413.06_4.5",1002,413.064362387372,4.54520156666667,"C19H20BrFN2O"
"1003_153.13_3.5",1003,153.127035967826,3.4779695173913,NA
"1004_624.44_10.3",1004,624.44399617513,10.2863169333333,"C35H61NO8"
"1005_209.08_3.6",1005,209.08072624483,3.55570767826087,"C11H14O5"
"1006_478.29_7.5",1006,478.292155289647,7.46075447142857,"C23H44NO7P"
"1007_290.23_7.8",1007,290.232328331989,7.78027114782608,NA
"1008_397.26_4.6",1008,397.256217254587,4.62101568571429,NA
"1009_573.49_11.6",1009,573.488024270414,11.6450845454545,"C37H66O5"
"101_613.48_10.9",101,613.482822053463,10.8539847272727,"C37H66O5"
"1010_764.53_10.9",1010,764.529259126083,10.9430765217391,NA
"1011_584.21_6.1",1011,584.212687174479,6.07043466666667,"C30H35NO12"
"1012_177.16_3.4",1012,177.162974722822,3.42006275263158,NA
"1013_448.22_2.6",1013,448.21810102816,2.57377066666667,"C21H29N5O6"
"1014_319.12_2",1014,319.115272774656,2.00791500625,NA
"1015_357.19_4.2",1015,357.188407015333,4.1737148,NA
"1016_303.08_1.4",1016,303.083707625778,1.42758626190476,NA
"1017_135.12_2.7",1017,135.116937581927,2.68074749130435,NA
"1018_552.5_11.5",1018,552.498231412518,11.4788758,"C34H65NO4"
"1019_225.15_2.7",1019,225.148591242357,2.71169356086957,"C13H20O3"
"102_365.06_2.4",102,365.064017446417,2.36909066842105,NA
"1020_215.02_0.8",1020,215.015969740742,0.798935735909091,NA
"1021_627.16_2.2",1021,627.155497198697,2.23915082,"C27H30O17"
"1022_476.31_2.9",1022,476.307007451265,2.94978202608696,"C21H41N5O7"
"1023_128.02_0.5",1023,128.019425572639,0.525308682608696,NA
"1024_320.26_8",1024,320.255781243673,8.0136839,NA
"1025_445.37_11.2",1025,445.367648607653,11.1873037826087,"C29H48O3"
"1026_213.18_3.4",1026,213.183814138507,3.4106075,NA
"1027_408.22_4.2",1027,408.222449251381,4.17228879565217,"C18H33NO9"
"1028_504.24_3.6",1028,504.243967941949,3.61051237142857,NA
"1029_699.36_6.9",1029,699.355830368769,6.93754680952381,NA
"103_373.18_2.5",103,373.184965422659,2.45924161818182,"C16H30O8"
"1030_437.34_8.4",1030,437.341035752786,8.3895698875,"C30H46O3"
"1031_137.1_2.8",1031,137.096136599923,2.82583040434783,"C9H14O2"
"1032_293.17_7.1",1032,293.174673329229,7.06848140434783,"C17H26O5"
"1033_201.15_6.3",1033,201.148451100225,6.27637433478261,"C11H22O4"
"1034_256.08_0.7",1034,256.081712142042,0.662707532380952,"C11H13NO6"
"1035_318.12_1.8",1035,318.118654550107,1.8198314,"C13H19NO8"
"1036_629.27_10.9",1036,629.273691798619,10.922733826087,NA
"1037_445.37_11.4",1037,445.367728510054,11.4346845,"C29H48O3"
"1038_358.09_1.7",1038,358.089490336665,1.73542403333333,NA
"1039_435.13_3.1",1039,435.126854256428,3.07421340625,NA
"104_242_0.5",104,241.99953263653,0.517691198181818,"C6H9N3O3S"
"1040_162.08_0.6",1040,162.075981386189,0.64447091173913,NA
"1041_252.16_4.4",1041,252.156935879304,4.3957828,NA
"1042_417.15_4.5",1042,417.154251275265,4.49081591333333,"C22H26O9"
"1043_776.23_11.4",1043,776.231973399287,11.3670574782609,"C34H43NO18"
"1044_301.13_2",1044,301.126009941101,2.036870615,NA
"1045_338.27_6.5",1045,338.267232523336,6.45405364347826,NA
"1046_225.15_5.5",1046,225.148481617803,5.53972883913043,"C13H22O4"
"1047_275.23_4.9",1047,275.232766445086,4.85402085652174,"C14H32N2O4"
"1048_366.86_0.5",1048,366.8629378235,0.536612431176471,NA
"1049_664.46_7.8",1049,664.462146007935,7.82358570869565,"C29H59N11O5"
"105_278.25_8.2",105,278.247321123281,8.19799462173913,"C18H31NO"
"1050_244.95_0.5",1050,244.946826393475,0.500374459565217,"C8H6BrClN2"
"1051_642.41_11.9",1051,642.408358366593,11.9459374782609,NA
"1052_442.88_0.5",1052,442.878432053786,0.508381845384615,"C12H9BrN2O5S2"
"1053_806.56_10",1053,806.56478490998,9.95255780555556,"C44H82NO8P"
"1054_415.1_1.4",1054,415.099550085003,1.3917898375,NA
"1055_292.22_6.3",1055,292.224722241598,6.32718132857143,NA
"1056_129.05_3.4",1056,129.054275851271,3.36576877619048,"C6H10O4"
"1057_317.12_2.4",1057,317.121126447405,2.3569284375,"C12H22O8"
"1058_560.38_7.4",1058,560.378673536318,7.371448915,NA
"1059_452.23_3.6",1059,452.227675964517,3.56184668666667,"C23H35NO9"
"106_434.28_2.7",106,434.27500697965,2.69900165909091,"C22H37N5O5"
"1060_286.2_5.6",1060,286.201230919879,5.58054916086957,NA
"1061_802.54_11.6",1061,802.536203959173,11.579131,"C44H78NO8P"
"1062_421.13_6.2",1062,421.128017192271,6.19385986666667,"C24H20O7"
"1063_383.26_7.9",1063,383.257741274152,7.901666795,"C23H36O3"
"1064_334.15_1.9",1064,334.149572632529,1.85713017272727,"C14H23NO8"
"1065_374.11_2.2",1065,374.108111311432,2.15230279333333,"C14H17N5O6"
"1066_451.36_11.6",1066,451.356891971659,11.5527666875,"C31H46O2"
"1067_304.28_6.2",1067,304.284572898428,6.18139468260869,"C17H37NO3"
"1068_571.07_3.3",1068,571.068403062366,3.25076727142857,"C16H26N2O15P2"
"1069_563.16_2.7",1069,563.155460932225,2.72929502857143,"C30H26O11"
"107_537.3_7.4",107,537.303067850622,7.38584405652174,NA
"1070_388.16_2.5",1070,388.160211533827,2.54183699444444,NA
"1071_432.26_3.1",1071,432.259042500099,3.14162078,"C22H35N5O5"
"1072_198.19_9.8",1072,198.18519592838,9.75545449565217,"C12H25NO2"
"1073_615.4_8.6",1073,615.403634272064,8.57983043888889,"C40H54O5"
"1074_418.28_3.6",1074,418.280093588351,3.62918509523809,"C21H39NO7"
"1075_705.2_2.5",1075,705.200251270709,2.53572309230769,"C31H38O17"
"1076_238.18_4.5",1076,238.177740906498,4.51067396086956,NA
"1077_258.07_1.8",1077,258.073722091986,1.75366389333333,NA
"1078_189.13_2.7",1078,189.12747928157,2.71992509090909,"C13H16O"
"1079_328.23_2.3",1079,328.232835469217,2.2915899173913,NA
"108_599.2_3.7",108,599.196154867358,3.66768006363636,"C27H34O15"
"1080_242.1_1.8",1080,242.099666341146,1.75366389333333,"C9H17NO5"
"1081_404.23_3.1",1081,404.227412035833,3.10900542666667,NA
"1082_314.14_1.5",1082,314.144102886853,1.51878622727273,"C12H27NO4S2"
"1083_694.4_6.9",1083,694.400538906081,6.91601240909091,"C37H57N3O8"
"1084_455.24_7",1084,455.240555022338,7.01937338947369,NA
"1085_417.17_3",1085,417.17341961896,2.99737109444444,NA
"1086_545.33_4.1",1086,545.32981288365,4.07088884666667,NA
"1087_503.19_4.9",1087,503.188904373734,4.9492811,NA
"1088_454.29_7.8",1088,454.292573733635,7.83332550869565,"C21H44NO7P"
"1089_527.12_1.8",1089,527.116513211396,1.7543567,NA
"109_432.26_2.7",109,432.259424589338,2.72330393636364,"C20H35N5O4"
"1090_356.17_3.4",1090,356.169892184638,3.41438323846154,"C17H25NO7"
"1091_327.3_7.6",1091,327.300323856987,7.56068938947368,"C19H40N2O3"
"1092_299.2_8.6",1092,299.200390559184,8.5609324,NA
"1093_616.2_4.8",1093,616.202331995081,4.79859936,"C29H31N5O9"
