	Malus_vs_Potentilla_fold_change_log2	Malus_vs_Potentilla_p_value	Malus_vs_Prunus_fold_change_log2	Malus_vs_Prunus_p_value	Potentilla_vs_Prunus_fold_change_log2	Potentilla_vs_Prunus_p_value
phloretin	-11.7423444745247	1.96807556207546e-06	-11.6354194825145	1.96829881837779e-06	0.106924992010198	0.999999881318137
1-(4-bromophenyl)-3-[4-(2-fluorophenyl)-1-piperazinyl]-1-propanone	-9.79057239431717	0.336785927560977	-9.79057239431717	0.336785927560977	0	1
1-hydroxy-7-(hydroxymethyl)-1,4a,5,7a-tetrahydrocyclopenta[c]pyran-4-carboxylic acid methyl ester	0.208034546643492	0.974703812729266	0.662946228890466	0.709663028627281	0.454911682246974	0.827124726757357
3E-Nonen-2,5-dione	2.79500218570039	0.160460104890817	-0.404286118828203	0.995717079999361	-3.19928830452859	0.143390149170841
4'-O-Methyldavidioside	-2.17735000907542	0.31498472357632	-0.353351837987807	0.897536296371952	1.82399817108762	0.518575720082403
Tetrakis(2-hydroxypropyl)ethylenediamine	-0.397375382574179	0.504972192179204	-0.529260057618612	0.352542317673809	-0.131884675044433	0.943803519206829
3-methylglutaric acid	-4.59699720750612	0.644325268257359	0.518411484346265	0.909438635805611	5.11540869185238	0.423454356234181
2-methyl-3-(3,7,11,15-tetramethylhexadec-2-enyl)naphthalene-1,4-dione	1.23546832063288	0.604775504106652	-0.10341101959845	0.998570388154056	-1.33887934023133	0.576429029469225
2-(3,4-dihydroxyphenyl)-8-[3,5,7-trihydroxy-2-(4-hydroxyphenyl)-3,4-dihydro-2H-chromen-4-yl]-3,4-dihydro-2H-chromene-3,5,7-triol	-5.31524724495797	0.387673118739865	-2.84901812755026	0.465761653118065	2.46622911740771	0.984941840158563
12-aminododecanoic acid	-0.566836646823478	0.595834226146871	-0.980080050542814	0.339889196382431	-0.413243403719336	0.862509270094584
pantothenic acid	0.506685176511148	0.991594273382734	2.4766482526679	0.424510408396326	1.96996307615675	0.485220047377639
1-Palmitoyl-2-hydroxy-sn-glycero-3-PE	-0.781640345658443	0.982235778416853	1.81813097571819	0.553421462213174	2.59977132137663	0.459439852455528
myricetin	-4.7277329001898	0.379296122447215	-0.293673607046266	0.959064808862955	4.43405929314354	0.512375556307017
naringenin	-1.84420347800308	0.196840642951172	-3.53585580339956	0.100400969425548	-1.69165232539648	0.860501644272766
hexane-1,2,3,4,5,6-hexol	-13.2812813392715	0.000867800556240028	-0.463062871952282	0.196611548146665	12.8182184673192	0.00464043311993678
Curtisian O	-10.3164726145396	0.00050288246114405	-10.3164726145396	0.00050288246114405	0	1
adenine	-4.51921407204921	0.699034855406827	0.366260648207878	0.966010551029412	4.88547472025709	0.557879082524473
32-methyltetratriacontan-1-ol	0.0960007188939329	0.996339790163157	-0.233115943579134	0.982944397630705	-0.329116662473067	0.964056820831212
N-dodecanoylglycine	0.00398782058266708	0.998656598317986	-0.0462321784712098	0.844062931004886	-0.0502199990538768	0.819097522326538
2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-3-[[3,4,5-trihydroxy-6-[(3,4,5-trihydroxy-6-methyl-2-oxanyl)oxymethyl]-2-oxanyl]oxy]-1-benzopyran-4-one	-0.541328020680011	0.997325146486989	2.60855679700336	0.528862690429381	3.14988481768337	0.492344477090008
bornane-2,3-dione	1.49605723100831	0.485359992440048	-0.623579082629876	0.970146919539946	-2.11963631363819	0.374570841131371
citric acid	0.777934956932008	0.431775573410839	-0.0807353642394012	0.994380127000883	-0.858670321171409	0.38552369179252
1-amino-1-cyclohexanecarboxylic acid	1.20148572830146	0.082850174464136	0.336164805623089	0.856168909424486	-0.865320922678369	0.164389806963336
Acetyl tributyl citrate	0.103365166221316	0.899684542031398	0.269082187967828	0.4852334146653	0.165717021746511	0.729118094416569
3-Hydroxyphloretin	-8.14951353304116	0.000450806979679585	-7.42832325529709	0.000456568130251966	0.721190277744071	0.999807769651134
Docosanamide	-0.0337004115072879	0.997474464961824	-0.778255147338986	0.483504454659087	-0.744554735831698	0.518643464643909
(8E)-2-Amino-8-octadecene-1,3,4-triol	-0.658677928077171	0.867495699133144	-0.488134767531852	0.915763193710558	0.170543160545319	0.993180924913921
N-malonyltryptophan	-3.97723140533788	0.248894736189347	-0.552410998408579	0.820066829468525	3.4248204069293	0.502584978620593
