"feature_id_full","feature_id","feature_mz","feature_rt","Malus_vs_Potentilla_p_value","Malus_vs_Prunus_p_value","Potentilla_vs_Prunus_p_value","Malus_vs_Potentilla_p_value_minus_log10","Malus_vs_Prunus_p_value_minus_log10","Potentilla_vs_Prunus_p_value_minus_log10","Potentilla_vs_Prunus_fold_change","Malus_vs_Prunus_fold_change","Malus_vs_Potentilla_fold_change","Potentilla_vs_Prunus_fold_change_log2","Malus_vs_Prunus_fold_change_log2","Malus_vs_Potentilla_fold_change_log2","canopus_npc_pathway","canopus_npc_superclass","canopus_npc_class","sirius_name","gnps_smiles","met_annot_structure_smiles","sirius_smiles","gnps_inchi","gnps_inchi_aux","gnps_inchikey","gnps_inchikey_planar","met_annot_short_inchikey","met_annot_structure_inchi","met_annot_structure_inchikey","sirius_inchi","sirius_inchikey2d"
"639_482.2_3.7",639,482.202435016397,3.68732932,6.81736458396642e-08,6.98508464402892e-08,0.993264395053147,7.16638347986528,7.15582832681366,0.00293513214036074,2.18518272117886,0.00526624779761907,0.00240998052317476,1.12775392042013,-7.56900887721939,-8.69676279763952,"Amino acids and Peptides","Small peptides","Tripeptides","Historphin",NA,NA,"C1=CC=C(C=C1)CC(C(=O)NCC(=O)NCC(=O)O)NC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)N",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C24H29N5O7/c25-18(10-16-6-8-17(30)9-7-16)23(35)27-13-21(32)29-19(11-15-4-2-1-3-5-15)24(36)28-12-20(31)26-14-22(33)34/h1-9,18-19,30H,10-14,25H2,(H,26,31)(H,27,35)(H,28,36)(H,29,32)(H,33,34)","BGFPKYKDLYYTJH"
"2590_278.1_3.7",2590,278.099379608597,3.6642456,5.30792299002769e-07,5.30792299002769e-07,1,6.27507538672106,6.27507538672106,0,1,0.000221335831119104,0.000221335831119104,0,-12.1414753577218,-12.1414753577218,"Carbohydrates","Small peptides","Aminosugars","Lycomarasmine",NA,NA,"C(C(C(=O)O)NCC(C(=O)O)NCC(=O)N)C(=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C9H15N3O7/c10-6(13)3-12-5(9(18)19)2-11-4(8(16)17)1-7(14)15/h4-5,11-12H,1-3H2,(H2,10,13)(H,14,15)(H,16,17)(H,18,19)","YRSDOJQPYZOCMY"
"108_599.2_3.7",108,599.196154867358,3.66768006363636,7.23912181532782e-07,7.23845928307654e-07,0.999999821391754,6.14031411527933,6.14035386419858,7.75685826712229e-08,0.754893762808969,6.73637110334443e-05,8.92360148569556e-05,-0.405654468533018,-13.8576688564887,-13.4520143879557,"Shikimates and Phenylpropanoids","Flavonoids","Chalcones","null",NA,"COc1cc(O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)c2c(O)c3c(cc2c1)C[C@@H](C)OC3=O","C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O",NA,NA,NA,NA,"CCVUOZDJPDNQPC","InChI=1S/C27H34O15/c1-9-3-10-4-11-5-12(37-2)6-13(16(11)20(31)17(10)25(36)39-9)40-27-24(35)22(33)19(30)15(42-27)8-38-26-23(34)21(32)18(29)14(7-28)41-26/h4-6,9,14-15,18-19,21-24,26-35H,3,7-8H2,1-2H3/t9-,14-,15-,18-,19-,21+,22+,23-,24-,26-,27-/m1/s1","CCVUOZDJPDNQPC-QJSHMTKGSA-N","InChI=1S/C27H34O15/c28-9-17-20(33)22(35)24(37)26(41-17)39-13-7-15(32)19(14(31)6-3-11-1-4-12(30)5-2-11)16(8-13)40-27-25(38)23(36)21(34)18(10-29)42-27/h1-2,4-5,7-8,17-18,20-30,32-38H,3,6,9-10H2","OWYHKUDOVMLKER"
"486_127.04_3.6",486,127.038996775767,3.63839206521739,8.99028993694984e-07,9.91039575737318e-07,0.833245565702385,6.04622630203908,6.00390900224414,0.0792269888538825,2.44171360906113,0.0394449487435163,0.0161546172315775,1.28789399515859,-4.66401562690652,-5.9519096220651,"Polyketides","Cyclic polyketides","4-pyrone derivatives","Epitope ID:136033",NA,NA,"C1=C(OC(=C1)C=O)CO",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C6H6O3/c7-3-5-1-2-6(4-8)9-5/h1-3,8H,4H2","NOEGNKMFWQHSLB"
"1_275.09_3.7",1,275.091180474736,3.66456022105263,1.96807556207546e-06,1.96829881837779e-06,0.999999881318137,5.70595823133027,5.70590896824151,5.15428813596268e-08,1.07693038342891,0.000314332816274826,0.000291878491972714,0.106924992010198,-11.6354194825145,-11.7423444745247,"Shikimates and Phenylpropanoids","Flavonoids","Chalcones","phloretin","C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O","O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O","C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O","1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2",NA,"VGEREEWJJVICBM-UHFFFAOYSA-N","VGEREEWJJVICBM","VGEREEWJJVICBM","InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2","VGEREEWJJVICBM-UHFFFAOYSA-N","InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2","VGEREEWJJVICBM"
"151_169.05_3.7",151,169.049374523098,3.65676825882353,2.09464459710595e-06,2.15896855104702e-06,0.992302055628346,5.67888965413416,5.66575368383817,0.00335610896991004,16.4802601981356,0.00617832054753053,0.000374892172408144,4.04266711553935,-7.33856956093904,-11.3812366764784,"Polyketides","Phloroglucinols","Acyl phloroglucinols","Spectrum2_001989","CC(=O)c1c(O)cc(O)cc1O","COc1cc(C(=O)O)ccc1O","CC(=O)C1=C(C=C(C=C1O)O)O","\"\"InChI=1S/C8H8O4/c1-4(9)8-6(11)2-5(10)3-7(8)12/h2-3,10-12H,1H3\"\"",NA,"XLEYFDVVXLMULC-UHFFFAOYSA-N","XLEYFDVVXLMULC","WKOLLVMJNQIZCI","InChI=1S/C8H8O4/c1-12-7-4-5(8(10)11)2-3-6(7)9/h2-4,9H,1H3,(H,10,11)","WKOLLVMJNQIZCI-UHFFFAOYSA-N","InChI=1S/C8H8O4/c1-4(9)8-6(11)2-5(10)3-7(8)12/h2-3,10-12H,1H3","XLEYFDVVXLMULC"
"561_761.25_3.7",561,761.249352779758,3.66257291111111,3.05543828416077e-06,3.05543828416077e-06,1,5.51492648403354,5.51492648403354,0,1,0.00032062835217409,0.00032062835217409,0,-11.6068103753533,-11.6068103753533,"Shikimates and Phenylpropanoids","Flavonoids","Chalcones","null",NA,NA,"CC(=O)OCC=C1C(C(=COC1OC2C(C(C(C(O2)CO)O)OC3C(C(C(C(O3)CO)O)O)O)O)C(=O)OC)CC(=O)OCCC4=CC(=C(C=C4)O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C33H44O20/c1-14(36)47-8-6-16-17(10-23(39)48-7-5-15-3-4-19(37)20(38)9-15)18(30(45)46-2)13-49-31(16)53-33-28(44)29(25(41)22(12-35)51-33)52-32-27(43)26(42)24(40)21(11-34)50-32/h3-4,6,9,13,17,21-22,24-29,31-35,37-38,40-44H,5,7-8,10-12H2,1-2H3","MWSTWRUGKQUDPT"
"71_277.1_3.7",71,277.096464045094,3.65588414166667,3.51219817873449e-06,3.51250414909465e-06,0.999999958886549,5.45442098664334,5.45438315408249,1.78553453065813e-08,1.18068519941241,9.59284055724796e-05,8.12480800303248e-05,0.239624356956367,-13.3476823963099,-13.5873067532663,"Alkaloids","Tryptophan alkaloids","Pyridine alkaloids","Oprea1_279944",NA,NA,"C1=CC=C(C=C1)CNC(=O)C2=C(C3=CC=CC=C3NC2=O)O",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C17H14N2O3/c20-15-12-8-4-5-9-13(12)19-17(22)14(15)16(21)18-10-11-6-2-1-3-7-11/h1-9H,10H2,(H,18,21)(H2,19,20,22)","WKAZEVUZAKRWHB"
"980_381.22_2.5",980,381.223653706293,2.49307038571429,6.82829574571997e-06,9.83863763082127e-06,0.633075402276383,5.165687677078,5.00706503473729,0.198544560373909,16.8400494593794,0.0601184899156759,0.00356997110137296,4.07382447050644,-4.05604741835356,-8.12987188886,"Amino acids and Peptides","Small peptides","Tripeptides","null",NA,NA,"CCC(C)C(C(=O)NC(CCCN=C(N)N)C(=O)O)NC(=O)C1CCC(=O)N1",NA,NA,NA,NA,NA,NA,NA,"InChI=1S/C17H30N6O5/c1-3-9(2)13(23-14(25)10-6-7-12(24)21-10)15(26)22-11(16(27)28)5-4-8-20-17(18)19/h9-11,13H,3-8H2,1-2H3,(H,21,24)(H,22,26)(H,23,25)(H,27,28)(H4,18,19,20)","ZXOFAKATRUWOBW"
"16_437.14_3.7",16,437.144301477844,3.66865000555556,7.53867686320575e-06,7.53455430690941e-06,0.999998863944288,5.12270487182694,5.12294243250325,4.93383007088922e-07,0.596589888486023,0.000129156306027364,0.000216490940460164,-0.745188569032361,-12.9185942951156,-12.1734057260832,"Shikimates and Phenylpropanoids","Flavonoids","Chalcones","Floridzin","C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O","O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O","C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O","InChI=1S/C21H24O10/c22-9-16-18(27)19(28)20(29)21(31-16)30-15-8-12(24)7-14(26)17(15)13(25)6-3-10-1-4-11(23)5-2-10/h1-2,4-5,7-8,16,18-24,26-29H,3,6,9H2/t16-,18-,19+,20-,21-/m1/s1",NA,"IOUVKUPGCMBWBT-QNDFHXLGSA-N","IOUVKUPGCMBWBT","IOUVKUPGCMBWBT","InChI=1S/C21H24O10/c22-9-16-18(27)19(28)20(29)21(31-16)30-15-8-12(24)7-14(26)17(15)13(25)6-3-10-1-4-11(23)5-2-10/h1-2,4-5,7-8,16,18-24,26-29H,3,6,9H2","IOUVKUPGCMBWBT-UHFFFAOYSA-N","InChI=1S/C21H24O10/c22-9-16-18(27)19(28)20(29)21(31-16)30-15-8-12(24)7-14(26)17(15)13(25)6-3-10-1-4-11(23)5-2-10/h1-2,4-5,7-8,16,18-24,26-29H,3,6,9H2","IOUVKUPGCMBWBT"
