"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","Malus_vs_Potentilla_p_value","Malus_vs_Prunus_p_value","Potentilla_vs_Prunus_p_value","Malus_vs_Potentilla_p_value_minus_log10","Malus_vs_Prunus_p_value_minus_log10","Potentilla_vs_Prunus_p_value_minus_log10","Potentilla_vs_Prunus_fold_change","Malus_vs_Prunus_fold_change","Malus_vs_Potentilla_fold_change","Potentilla_vs_Prunus_fold_change_log2","Malus_vs_Prunus_fold_change_log2","Malus_vs_Potentilla_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","Malus","Malus.pval","Potentilla","Potentilla.pval","Prunus","Prunus.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
1,"1_275.09_3.7","phloretin_[1_275.09_3.7]",275.091180474736,3.66456022105263,1.96807556207546e-06,1.96829881837779e-06,0.999999881318137,5.70595823133027,5.70590896824151,5.15428813596268e-08,1.07693038342891,0.000314332816274826,0.000291878491972714,0.106924992010198,-11.6354194825145,-11.7423444745247,"phloretin","phloretin","CHEBI:17276",0.777761092683556,-1.39856810312904,36.2111933155622,1,"InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2","VGEREEWJJVICBM","C15H14O5","[M + H]+","C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O","Shikimates and Phenylpropanoids","Chalcones","Flavonoids","274.084123548","InChI=1S/C15H14O5/c16-10-4-1-9(2-5-10)3-6-12(18)15-13(19)7-11(17)8-14(15)20/h1-2,4-5,7-8,16-17,19-20H,3,6H2","VGEREEWJJVICBM-UHFFFAOYSA-N","VGEREEWJJVICBM","O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1O","C15H14O5","Phloretin","http://www.wikidata.org/entity/Q2268463","Shikimates and Phenylpropanoids","Flavonoids","Shikimates and Phenylpropanoids","Flavonoids","Chalcones","Malus pumila","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Rosales']","['Rosaceae']","['Maleae']","['Malus']","['Malus pumila']","nan","854961.0","http://www.wikidata.org/entity/Q158657",9,1.63736530665978,0.00798403193612774,-1.00100150250438,0.976047904191617,0,0.862275449101796,0.479023022878767,0.241516966067864,0.0431111111111111,0.121756487025948
3,"3_221.04_0.6","NA_[3_221.04_0.6]",221.042005024842,0.592275266363636,0.000117267858568582,0.27950896282368,0.000323338016201324,3.93082100543852,0.553604261328697,3.49034323056991,1548.07343478901,0.835686347619222,0.000539823453357766,10.5962581938015,-0.258966527750376,-10.8552247215518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.826347305389222,1.67131567616219,0.0179640718562874,1.00100150250438,0.137724550898204,1.59878625816365,0.0279441117764471,0.0188,0.419161676646707
4,"4_381.08_0.6","2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol_[4_381.08_0.6]",381.079260155649,0.610437545454545,0.000179380385768035,0.787733861641962,0.000269843352862398,3.74622504634437,0.103620485483874,3.56888827558186,0.473694487103626,1.09113385675709,2.30345483526472,-1.07797121307686,0.125828097659529,1.20379931073639,"Sugar-d6","2-{[3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy}-6-(hydroxymethyl)oxane-3,4,5-triol","CHEBI:193884",0.191419635488277,-11.0035430927513,9.97123174337302,1,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2","CZMRCDWAGMRECN","C12H22O11","[M + K]+","C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O","Carbohydrates","Disaccharides","Saccharides","358.089996776","InChI=1S/C15H18O10/c16-8-3-1-7(5-9(8)17)2-4-11(18)25-23-6-10-12(19)13(20)14(21)15(22)24-10/h1-5,10,12-17,19-22H,6H2/b4-2+/t10-,12-,13+,14-,15?/m1/s1","KLDQRYHKZZCLKR-SSLCBRODSA-N","KLDQRYHKZZCLKR","O=C(/C=C/c1ccc(O)c(O)c1)OOC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O","C15H18O10","6-O-Caffeoyl-D-glucoside","http://www.wikidata.org/entity/Q105142552","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Shikimates and Phenylpropanoids","Phenylpropanoids (C6-C3)","Cinnamic acids and derivatives","Prunus serrulata","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Rosales']","['Rosaceae']","['Amygdaleae']","['Prunus']","['Prunus serrulata']","nan","746756.0","http://www.wikidata.org/entity/Q165321",6,0,0.80439121756487,1.00100150250438,0.181636726546906,1.00100150250438,0.141716566866267,1.00100150250438,0.241516966067864,0.0187777777777778,0.463073852295409
8,"8_465.1_3.1","NA_[8_465.1_3.1]",465.102842642519,3.10303209545454,0.000724957850648855,0.000860858635475581,0.970820974452282,3.13968724275693,3.06506815966535,0.0128608493667962,1.20302686885318,0.15977419913141,0.132810166811752,0.266668864565818,-2.64589363900215,-2.91256250356797,"Hirsutrin",NA,NA,0.493236271269377,-3.49583310595735,42.1528046332427,0.0115577889447236,"InChI=1S/C21H20O12/c22-6-13-15(27)17(29)18(30)21(32-13)33-20-16(28)14-11(26)4-8(23)5-12(14)31-19(20)7-1-2-9(24)10(25)3-7/h1-5,13,15,17-18,21-27,29-30H,6H2","OVSQVDMCBVZWGM","C21H20O12","[M + H]+","C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O","Shikimates and Phenylpropanoids","Flavonols","Flavonoids","464.09547608","InChI=1S/C21H20O12/c22-6-12(27)19-16(29)17(30)21(32-19)33-20-15(28)14-11(26)4-8(23)5-13(14)31-18(20)7-1-2-9(24)10(25)3-7/h1-5,12,16-17,19,21-27,29-30H,6H2/t12-,16-,17-,19-,21+/m1/s1","OPJZLUXFQFQYAI-GNPVFZCLSA-N","OPJZLUXFQFQYAI","O=c1c(O[C@@H]2O[C@H]([C@H](O)CO)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","C21H20O12","3-(((2S,3R,4R,5R)-5-((R)-1,2-Dihydroxyethyl)-3,4-dihydroxytetrahydrofuran-2-yl)oxy)-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-4H-chromen-4-one","http://www.wikidata.org/entity/Q27103621","Shikimates and Phenylpropanoids","Flavonoids","Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Sorbus aria","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Rosales']","['Rosaceae']","['Maleae']","['Sorbus']","['Sorbus aria']","nan","222834.0","http://www.wikidata.org/entity/Q157960",7,1.73727046020804,0.0179640718562874,-0.632708666137081,0.812375249500998,-1.00100150250438,0.970059880239521,0,0.672654690618762,0.0279555555555556,0.259481037924152
9,"9_303.05_3.4","N-[2-[(4-methyl-1,2,5-oxadiazol-3-yl)oxy]ethyl]-4-nitroaniline_[9_303.05_3.4]",303.048163899839,3.37668783,0.0494412933151896,0.080097033680769,0.922031622668231,1.30591017723348,1.09638356731062,0.0352541838110072,18.9880551968902,0.131622945535023,0.00693188134172789,4.2470202435826,-2.92551708207562,-7.17253732565822,"N-[2-[(4-methyl-1,2,5-oxadiazol-3-yl)oxy]ethyl]-4-nitroaniline","N-[2-[(4-methyl-1,2,5-oxadiazol-3-yl)oxy]ethyl]-4-nitroaniline","CHEBI:122031",0.119104292228843,-233.430486342282,36.9448037420047,0.988442211055276,"InChI=1S/C11H12N4O4/c1-8-11(14-19-13-8)18-7-6-12-9-2-4-10(5-3-9)15(16)17/h2-5,12H,6-7H2,1H3","PNRBLPYPEGSKQR","C11H12N4O4","[M + K]+","CC1=NON=C1OCCNC2=CC=C(C=C2)[N+](=O)[O-]","Alkaloids","Imidazole alkaloids","Pseudoalkaloids","302.04265266","InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H","REFJWTPEDVJJIY-UHFFFAOYSA-N","REFJWTPEDVJJIY","O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","C15H10O7","Quercetin","http://www.wikidata.org/entity/Q409478","Shikimates and Phenylpropanoids","Flavonoids","Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Malus pumila","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Rosales']","['Rosaceae']","['Maleae']","['Malus']","['Malus pumila']","nan","854961.0","http://www.wikidata.org/entity/Q158657",9,0,0.81437125748503,0,0.820359281437126,0,0.810379241516966,0,0.692614770459082,0.0131333333333333,0.6187624750499
11,"11_183.09_0.6","hexane-1,2,3,4,5,6-hexol_[11_183.09_0.6]",183.086332798586,0.632025946818182,0.000867800556240028,0.196611548146665,0.00464043311993678,3.06158007583403,0.706390977098588,2.33344148219944,7222.17902538924,0.72544448870817,0.000100446760757093,12.8182184673192,-0.463062871952282,-13.2812813392715,"Sorbogem","hexane-1,2,3,4,5,6-hexol","CHEBI:125392",0.856975863445675,-2.44807272361158,105.989889258598,1,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2","FBPFZTCFMRRESA","C6H14O6","[M + H]+","C(C(C(C(C(CO)O)O)O)O)O","Carbohydrates","Monosaccharides","Saccharides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.155688622754491,0,0.82435129740519,0,0.840319361277445,1.00100150250438,0.223552894211577,0.0048,0.878243512974052
12,"12_360.15_0.6","NA_[12_360.15_0.6]",360.14997965835,0.632747622173913,0.0123527020394993,0.93858229483525,0.00862655959422531,1.90823803410545,0.0275276424609155,2.0641623731317,0.507451657350115,0.933140611935532,1.83887587796706,-0.978657705147642,-0.0998336023878783,0.878824102759763,"Chlorambucil-t-butyl ester",NA,NA,0.102149392598603,-457.986251868736,70.548408332679,0.307035175879397,"InChI=1S/C18H27Cl2NO2/c1-18(2,3)23-17(22)6-4-5-15-7-9-16(10-8-15)21(13-11-19)14-12-20/h7-10H,4-6,11-14H2,1-3H3","SZXDOYFHSIIZCF","C18H27Cl2NO2","[M + H]+","CC(C)(C)OC(=O)CCCC1=CC=C(C=C1)N(CCCl)CCCl","Alkaloids","Phenylalanine-derived alkaloids","Pseudoalkaloids","342.11621152399994|342.116211524|342.116211524","InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11+,12-/m1/s1|InChI=1S/C12H22O11/c13-1-3-6(16)8(18)10(11(20)21-3)23-12-9(19)7(17)5(15)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5+,6-,7+,8+,9-,10-,11+,12+/m1/s1|InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1","GUBGYTABKSRVRQ-ASMJPISFSA-N|HIWPGCMGAMJNRG-CQHUIXDMSA-N|CZMRCDWAGMRECN-UGDNZRGBSA-N","GUBGYTABKSRVRQ|HIWPGCMGAMJNRG|CZMRCDWAGMRECN","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O|OC[C@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O|OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O","C12H22O11|C12H22O11|C12H22O11","alpha-Maltose|WURCS=2.0/2,2,1/[a2122h-1a_1-5][a2112h-1b_1-5]/1-2/a2-b1|Sucrose","http://www.wikidata.org/entity/Q26914016|http://www.wikidata.org/entity/Q105029077|http://www.wikidata.org/entity/Q4027534","Carbohydrates|Carbohydrates|Carbohydrates","Saccharides|Saccharides|Saccharides","Shikimates and Phenylpropanoids","Saccharides","Disaccharides","Prunus avium|Rubus niveus|Prunus spinosa","['Eukaryota']|['Eukaryota']|['Eukaryota']","['Archaeplastida']|['Archaeplastida']|['Archaeplastida']","['Streptophyta']|['Streptophyta']|['Streptophyta']","['Magnoliopsida']|['Magnoliopsida']|['Magnoliopsida']","['Rosales']|['Rosales']|['Rosales']","['Rosaceae']|['Rosaceae']|['Rosaceae']","['Amygdaleae']|['Unknown']|['Amygdaleae']","['Prunus']|['Rubus']|['Prunus']","['Prunus avium']|['Rubus niveus']|['Prunus spinosa']","nan|nan|nan","162547.0|714526.0|470244.0","http://www.wikidata.org/entity/Q165137|http://www.wikidata.org/entity/Q1023525|http://www.wikidata.org/entity/Q129018",NA,0,0.802395209580838,1.00100150250438,0.167664670658683,1.00100150250438,0.179640718562874,1.00100150250438,0.231536926147705,0.0048,0.926147704590818
13,"13_435.09_3.3","NA_[13_435.09_3.3]",435.092151716111,3.30107992777778,0.00634305673336444,0.0151998093621752,0.696552995377875,2.1977014041824,1.81816185899434,0.157045835845022,6.7982927311006,0.193365784219451,0.0284432859642609,2.76517248494733,-2.37059556017607,-5.1357680451234,"Reinutrin",NA,NA,0.47923698406469,-10.0410120157774,72.6002637540143,1,"InChI=1S/C20H18O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17,20-26,28H,6H2","PZZRDJXEMZMZFD","C20H18O11","[M + H]+","C1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O","Shikimates and Phenylpropanoids","Flavonols","Flavonoids","434.0849113959998","InChI=1S/C20H18O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17,20-26,28H,6H2/t12-,15-,17+,20-/m0/s1","PZZRDJXEMZMZFD-IEGSVRCHSA-N","PZZRDJXEMZMZFD","O=c1c(O[C@@H]2OC[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12","C20H18O11","Guaijaverin","http://www.wikidata.org/entity/Q48837901","Shikimates and Phenylpropanoids","Flavonoids","Shikimates and Phenylpropanoids","Flavonoids","Flavonols","Malus pumila","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Rosales']","['Rosaceae']","['Maleae']","['Malus']","['Malus pumila']","nan","854961.0","http://www.wikidata.org/entity/Q158657",9,1.73727046020804,0.0159680638722555,1.41705050316284,0.0159680638722555,0,0.822355289421158,1.66911011857018,0.0239520958083832,0.0187555555555556,0.463073852295409
15,"15_421.13_5.1","NA_[15_421.13_5.1]",421.128061396281,5.13600541666667,0.0116671162335942,0.0116659541491055,0.999999995210946,1.93303647545446,1.93307973481751,2.07985955618748e-09,0.96573091719106,0.000606091303432735,0.000627598529407778,-0.0503068297517446,-10.6881772375219,-10.6378704077702,"5,7-dihydroxy-3-methoxy-2-(4-methoxy-3-phenylmethoxyphenyl)chromen-4-one",NA,NA,0.229762486814594,-254.685794010261,33.3190035012219,1,"InChI=1S/C24H20O7/c1-28-18-9-8-15(10-19(18)30-13-14-6-4-3-5-7-14)23-24(29-2)22(27)21-17(26)11-16(25)12-20(21)31-23/h3-12,25-26H,13H2,1-2H3","JPEXDMDZYIHQEF","C24H20O7","[M + H]+","COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC)OCC4=CC=CC=C4","Shikimates and Phenylpropanoids","Simple coumarins","Lignans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.802395209580838,0,0.816367265469062,0,0.834331337325349,0,0.660678642714571,0.0316666666666667,0.163672654690619
16,"16_437.14_3.7","Phlorizine_[16_437.14_3.7]",437.144301477844,3.66865000555556,7.53867686320575e-06,7.53455430690941e-06,0.999998863944288,5.12270487182694,5.12294243250325,4.93383007088922e-07,0.596589888486023,0.000129156306027364,0.000216490940460164,-0.745188569032361,-12.9185942951156,-12.1734057260832,"Floridzin","Phlorizine","CHEBI:182131",0.560957631916428,-1.276639750589,90.7467695536671,1,"InChI=1S/C21H24O10/c22-9-16-18(27)19(28)20(29)21(31-16)30-15-8-12(24)7-14(26)17(15)13(25)6-3-10-1-4-11(23)5-2-10/h1-2,4-5,7-8,16,18-24,26-29H,3,6,9H2","IOUVKUPGCMBWBT","C21H24O10","[M + H]+","C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O","Shikimates and Phenylpropanoids","Chalcones","Flavonoids","436.1369469679998","InChI=1S/C21H24O10/c22-9-16-18(27)19(28)20(29)21(31-16)30-15-8-12(24)7-14(26)17(15)13(25)6-3-10-1-4-11(23)5-2-10/h1-2,4-5,7-8,16,18-24,26-29H,3,6,9H2","IOUVKUPGCMBWBT-UHFFFAOYSA-N","IOUVKUPGCMBWBT","O=C(CCc1ccc(O)cc1)c1c(O)cc(O)cc1OC1OC(CO)C(O)C(O)C1O","C21H24O10","Phlorizine","http://www.wikidata.org/entity/Q105116909","Shikimates and Phenylpropanoids","Flavonoids","Shikimates and Phenylpropanoids","Flavonoids","Flavones","Malus pumila","['Eukaryota']","['Archaeplastida']","['Streptophyta']","['Magnoliopsida']","['Rosales']","['Rosaceae']","['Maleae']","['Malus']","['Malus pumila']","nan","854961.0","http://www.wikidata.org/entity/Q158657",9,0,0.820359281437126,0,0.800399201596806,0,0.780439121756487,0,0.648702594810379,0,1
