"filename"	"mapp_sample_id"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_bot"	"source_taxon_genus"	"source_taxon_qid"	"soure_taxon_inat"
"202404241651_EB_dbgi_003163_01_01.mzML"	"dbgi_003163_01_01"	"dbgi_003163_01_01"	"sample"	"Malus pumila"	"Malus pumila var. paradisiaca (L.) C.K. Schneid."	"Malus"	"Q158657"	"Pumila"
"202404241651_EB_dbgi_003169_01_02.mzML"	"dbgi_003169_01_02"	"dbgi_003169_01_02"	"sample"	"Prunus cerasifera"	"Prunus cerasifera Ehrh."	"Prunus"	"Q146951"	"Prunus cerasifera"
"202404241651_EB_dbgi_003173_01_01.mzML"	"dbgi_003173_01_01"	"dbgi_003173_01_01"	"sample"	"Prunus padus"	"Prunus padus subsp. petraea Domin"	"Prunus"	"Q165424"	"Prunus petraea"
"202404241651_EB_dbgi_003186_01_01.mzML"	"dbgi_003186_01_01"	"dbgi_003186_01_01"	"sample"	"Malus sylvestris"	"Malus sylvestris (L) Mill."	"Malus"	"Q47161"	"ND"
"202404241651_EB_dbgi_003190_01_01.mzML"	"dbgi_003190_01_01"	"dbgi_003190_01_01"	"sample"	"Malus floribunda"	"Malus floribunda Van Houtte"	"Malus"	"Q1683370"	"Malus floribunda"
"202404241651_EB_dbgi_003194_02_01.mzML"	"dbgi_003194_02_01"	"dbgi_003194_02_01"	"sample"	"Potentilla sterilis"	"Potentilla sterilis Garcke"	"Potentilla"	"Q158900"	"Potentilla sterilis"
"202404241651_EB_dbgi_003200_01_01.mzML"	"dbgi_003200_01_01"	"dbgi_003200_01_01"	"sample"	"Potentilla rupestris"	"Potentilla rupestris L."	"Potentilla"	"Q162568"	"Potentilla"
"202404241651_EB_dbgi_003206_01_01.mzML"	"dbgi_003206_01_01"	"dbgi_003206_01_01"	"sample"	"Potentilla recta"	"Potentilla recta L."	"Potentilla"	"Q115714"	"Potentilla recta"
"202404241651_EB_dbgi_003210_02_01.mzML"	"dbgi_003210_02_01"	"dbgi_003210_02_01"	"sample"	"Prunus tomentosa"	"Prunus tomentosa Murray"	"Prunus"	"Q627393"	"Prunus tomentosa"
"202404241651_EB_dbgi_mapp_QC_01.mzML"	"dbgi_mapp_QC_01"	"dbgi_mapp_QC_01"	"QC"	"Malus pumila, Prunus cerasifera, Prunus padus, Malus sylvestris, Malus floribunda, Potentilla sterilis, Potentilla rupestris, Potentilla recta, Prunus tomentosa"	"ND"	"Malus, Prunus, Potentilla"	"Q158657, Q146951, Q165424, Q47161, Q1683370, Q158900, Q162568, Q115714, Q627393"	"ND"
"202404241651_EB_dbgi_mapp_QC_02.mzML"	"dbgi_mapp_QC_02"	"dbgi_mapp_QC_02"	"QC"	"Malus pumila, Prunus cerasifera, Prunus padus, Malus sylvestris, Malus floribunda, Potentilla sterilis, Potentilla rupestris, Potentilla recta, Prunus tomentosa"	"ND"	"Malus, Prunus, Potentilla"	"Q158657, Q146951, Q165424, Q47161, Q1683370, Q158900, Q162568, Q115714, Q627393"	"ND"
"202404241651_EB_dbgi_mapp_QC_03.mzML"	"dbgi_mapp_QC_03"	"dbgi_mapp_QC_03"	"QC"	"Malus pumila, Prunus cerasifera, Prunus padus, Malus sylvestris, Malus floribunda, Potentilla sterilis, Potentilla rupestris, Potentilla recta, Prunus tomentosa"	"ND"	"Malus, Prunus, Potentilla"	"Q158657, Q146951, Q165424, Q47161, Q1683370, Q158900, Q162568, Q115714, Q627393"	"ND"
"202404241651_EB_dbgi_mapp_QC_04.mzML"	"dbgi_mapp_QC_04"	"dbgi_mapp_QC_04"	"QC"	"Malus pumila, Prunus cerasifera, Prunus padus, Malus sylvestris, Malus floribunda, Potentilla sterilis, Potentilla rupestris, Potentilla recta, Prunus tomentosa"	"ND"	"Malus, Prunus, Potentilla"	"Q158657, Q146951, Q165424, Q47161, Q1683370, Q158900, Q162568, Q115714, Q627393"	"ND"
"202404241651_EB_dbgi_mapp_QC_05.mzML"	"dbgi_mapp_QC_05"	"dbgi_mapp_QC_05"	"QC"	"Malus pumila, Prunus cerasifera, Prunus padus, Malus sylvestris, Malus floribunda, Potentilla sterilis, Potentilla rupestris, Potentilla recta, Prunus tomentosa"	"ND"	"Malus, Prunus, Potentilla"	"Q158657, Q146951, Q165424, Q47161, Q1683370, Q158900, Q162568, Q115714, Q627393"	"ND"
"202404241651_EB_dbgi_mapp_QC_06.mzML"	"dbgi_mapp_QC_06"	"dbgi_mapp_QC_06"	"QC"	"Malus pumila, Prunus cerasifera, Prunus padus, Malus sylvestris, Malus floribunda, Potentilla sterilis, Potentilla rupestris, Potentilla recta, Prunus tomentosa"	"ND"	"Malus, Prunus, Potentilla"	"Q158657, Q146951, Q165424, Q47161, Q1683370, Q158900, Q162568, Q115714, Q627393"	"ND"
