id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
109442071,2022-03-25 10:33:03,2022-03-25,2022-03-25 10:33:03 UTC,UTC,5448878,manu_defossez,2022-03-25 09:34:27 UTC,2022-05-05 18:47:30 UTC,casual,,https://www.inaturalist.org/observations/109442071,https://static.inaturalist.org/photos/184457357/medium.jpeg,,"",Jardin botanique fribourg ,1,0,true,2,"Fribourg, Suisse",46.79323042,7.15587558,9,,,,9,,,false,,,Euphorbia resinifera,Euphorbia resinifera,,Plantae,337712
109442139,2022/03/25 9:35 AM UTC,2022-03-25,2022-03-25 09:35:00 UTC,UTC,1378031,pmallard,2022-03-25 09:36:55 UTC,2022-05-18 09:11:33 UTC,casual,CC0,https://www.inaturalist.org/observations/109442139,https://inaturalist-open-data.s3.amazonaws.com/photos/184457413/medium.jpeg,,"","",0,0,true,,"Fribourg, Suisse",46.7930983215,7.1556696784,2,,,,2,,,false,,,Haworthia cymbiformis cymbiformis,Haworthia cymbiformis cymbiformis,,Plantae,428832
110378623,2022/04/04 9:52 AM CEST,2022-04-04,2022-04-04 07:52:00 UTC,Paris,1378031,pmallard,2022-04-04 07:55:28 UTC,2022-05-18 09:11:33 UTC,casual,CC0,https://www.inaturalist.org/observations/110378623,https://inaturalist-open-data.s3.amazonaws.com/photos/186192013/medium.jpeg,,"",,2,0,true,,"Fribourg, Suisse",46.7930894751,7.1557462381,1,,,,1,,,false,,,Echeveria elegans,Echeveria elegans,,Plantae,206749
110378951,2022/04/04 10:01 AM CEST,2022-04-04,2022-04-04 08:01:00 UTC,Paris,1378031,pmallard,2022-04-04 08:04:00 UTC,2022-05-18 09:11:33 UTC,casual,CC0,https://www.inaturalist.org/observations/110378951,https://inaturalist-open-data.s3.amazonaws.com/photos/186192533/medium.jpeg,,"",,0,0,true,,"Fribourg, Suisse",46.7931329705,7.1556416098,1,,,,1,,,false,,,Oscularia deltoides,Oscularia deltoides,,Plantae,60102
110379056,2022/04/04 10:05 AM CEST,2022-04-04,2022-04-04 08:05:00 UTC,Paris,1378031,pmallard,2022-04-04 08:06:50 UTC,2022-05-18 09:11:33 UTC,casual,CC0,https://www.inaturalist.org/observations/110379056,https://inaturalist-open-data.s3.amazonaws.com/photos/186192776/medium.jpeg,,"","",0,0,true,,"Fribourg, Suisse",46.792997472,7.156600292,,,,,,,,false,,,Leonurus cardiaca,Leonurus cardiaca,agripaume,Plantae,56171
110379127,2022/04/04 10:07 AM CEST,2022-04-04,2022-04-04 08:07:00 UTC,Paris,1378031,pmallard,2022-04-04 08:09:14 UTC,2022-05-18 09:11:33 UTC,casual,CC0,https://www.inaturalist.org/observations/110379127,https://inaturalist-open-data.s3.amazonaws.com/photos/186193009/medium.jpeg,,"",,0,0,true,,"Fribourg, Suisse",46.7930116913,7.1566172633,1,,,,1,,open,false,,,Ephedra distachya helvetica,Ephedra distachya helvetica,Ephèdre de Suisse,Plantae,340439
110560140,2022-04-06 10:04:20,2022-04-06,2022-04-06 08:04:20 UTC,Zurich,5367650,edouardbruelhart,2022-04-06 08:52:23 UTC,2022-04-06 10:16:43 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/110560140,https://inaturalist-open-data.s3.amazonaws.com/photos/186526029/medium.jpeg,,"",,1,0,true,2,"Fribourg, Suisse",46.7930857303,7.155725956,3,,,,3,,,false,gps,gps,Echeveria elegans,Echeveria elegans,,Plantae,206749
110561024,2022-04-06 09:57:56,2022-04-06,2022-04-06 07:57:56 UTC,Zurich,5367650,edouardbruelhart,2022-04-06 09:23:00 UTC,2022-04-06 09:23:20 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/110561024,https://inaturalist-open-data.s3.amazonaws.com/photos/186527978/medium.jpeg,,"",,0,0,true,2,"Fribourg, Suisse",46.7930074565,7.1566043794,3,,,,3,,,false,gps,gps,agripaume,Leonurus cardiaca,agripaume,Plantae,56171
110561094,2022-04-06 10:00:53,2022-04-06,2022-04-06 08:00:53 UTC,Zurich,5367650,edouardbruelhart,2022-04-06 09:25:00 UTC,2022-04-06 10:07:19 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/110561094,https://inaturalist-open-data.s3.amazonaws.com/photos/186528090/medium.jpeg,,"",,1,0,true,2,"Fribourg, Suisse",46.793010211,7.1566047147,3,,,,3,,open,false,gps,gps,Schweizer Meerträubchen,Ephedra distachya helvetica,Ephèdre de Suisse,Plantae,340439
110561169,2022-04-06 10:08:20,2022-04-06,2022-04-06 08:08:20 UTC,Paris,5367650,edouardbruelhart,2022-04-06 09:26:50 UTC,2022-04-06 09:39:32 UTC,casual,CC-BY-NC,https://www.inaturalist.org/observations/110561169,https://inaturalist-open-data.s3.amazonaws.com/photos/186528195/medium.jpeg,,"",,0,0,true,2,"Fribourg, Suisse",46.7931353113,7.1556428075,4,,,,4,,,false,gps,gps,Deltoid-leaved Dewplant,Oscularia deltoides,,Plantae,60102
