Bracket Type=4
Sample Type,File Name,Sample ID,Path,Instrument Method,Process Method,Calibration File,Position,Inj Vol,Level,Sample Wt,Sample Vol,ISTD Amt,Dil Factor,L1 Study,L2 Client,L3 Laboratory,L4 Company,L5 Phone,Comment,Sample Name
Unknown,20220502_PMA_bk,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_01,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,G:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_03,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,G:A3,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_04,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,G:A4,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_02,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,G:A2,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_bk,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_05,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,G:B1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_07,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,G:B3,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_08,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,G:B4,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_06,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,G:B2,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_bk,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_DDA_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_bk_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_bk_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_bk_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_01_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,G:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_03_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,G:A3,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_04_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,G:A4,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_02_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,G:A2,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_bk_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_bk_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_05_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,G:B1,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_07_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,G:B3,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_08_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,G:B4,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_MAPP_01_18_06_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,G:B2,1,,0,0,0,0,,,,,,,
Unknown,20220502_PMA_bk_tsim,,C:\Xcalibur\Data,C:\Xcalibur\methods\new_methods\Metabo_MAPP\50mm_C18_8min_5to100_tSIM_ELON_pos,,,Y:A1,1,,0,0,0,0,,,,,,,
